1,今井 貴士,今井 貴士.1,2,岡村 慶太,岡村 慶太.1,3,大場 広孝,大場 広孝.1,4,小松 卓司,小松 卓司.1,5,乙藤 智史,乙藤 智史.1,6,原田　才一郎,原田　才一郎.1
2.0,3.0,6.8,1.0,3.0,16.3,1.0,2.0,155.4,1.0,2.0,212.6,1.0,2.0,346.2,1.0,2.0,74.3
2.0,4.0,12.3,1.0,4.0,26.6,1.0,4.0,244.1,1.0,3.0,382.5,1.0,3.0,660.6,1.0,3.0,190.6
2.0,5.0,11.3,1.0,5.0,27.9,1.0,5.0,294.2,1.0,5.0,388.3,1.0,4.0,832.9,1.0,4.0,233.1
2.0,6.0,6.2,1.0,6.0,15.1,1.0,6.0,281.1,1.0,6.0,303.2,1.0,6.0,501.1,1.0,5.0,224.7
3.0,2.0,19.0,3.0,1.0,77.1,2.0,1.0,218.2,2.0,1.0,305.2,2.0,1.0,453.1,2.0,1.0,95.8
3.0,4.0,41.4,3.0,4.0,198.2,2.0,4.0,350.0,2.0,3.0,684.9,2.0,3.0,958.6,2.0,3.0,245.4
3.0,5.0,50.3,3.0,5.0,179.1,2.0,5.0,404.6,2.0,5.0,600.3,2.0,4.0,1022.0,2.0,4.0,274.5
3.0,6.0,40.1,3.0,6.0,127.9,2.0,6.0,402.4,2.0,6.0,506.3,2.0,6.0,736.3,2.0,5.0,269.0
4.0,2.0,37.5,4.0,1.0,120.3,4.0,1.0,395.9,3.0,1.0,579.7,3.0,1.0,1160.0,3.0,1.0,508.2
4.0,3.0,67.7,4.0,3.0,300.5,4.0,2.0,587.9,3.0,2.0,956.9,3.0,2.0,1499.0,3.0,2.0,558.1
4.0,5.0,87.5,4.0,5.0,316.0,4.0,5.0,568.1,3.0,5.0,883.3,3.0,4.0,1435.0,3.0,4.0,905.6
4.0,6.0,66.3,4.0,6.0,210.5,4.0,6.0,893.6,3.0,6.0,1235.0,3.0,6.0,1880.0,3.0,5.0,948.5
5.0,2.0,44.5,5.0,1.0,144.6,5.0,1.0,611.9,5.0,1.0,523.0,4.0,1.0,1058.0,4.0,1.0,649.5
5.0,3.0,104.7,5.0,3.0,354.8,5.0,2.0,697.3,5.0,2.0,642.5,4.0,2.0,1215.0,4.0,2.0,657.4
5.0,4.0,145.2,5.0,4.0,423.6,5.0,4.0,799.6,5.0,3.0,776.6,4.0,3.0,1235.0,4.0,3.0,1229.0
5.0,6.0,82.4,5.0,6.0,232.7,5.0,6.0,1058.0,5.0,6.0,682.3,4.0,6.0,1310.0,4.0,5.0,941.9
6.0,2.0,15.0,6.0,1.0,51.1,6.0,1.0,632.0,6.0,1.0,718.6,6.0,1.0,1026.0,5.0,1.0,584.7
6.0,3.0,34.5,6.0,3.0,127.7,6.0,2.0,727.4,6.0,2.0,801.9,6.0,2.0,1170.0,5.0,2.0,591.8
6.0,4.0,45.9,6.0,4.0,153.7,6.0,4.0,1269.0,6.0,3.0,1391.0,6.0,3.0,2150.0,5.0,3.0,905.6
6.0,5.0,50.1,6.0,5.0,165.4,6.0,5.0,1275.0,6.0,5.0,1012.0,6.0,4.0,1867.0,5.0,4.0,834.2
