1,喜井　つかさ,喜井　つかさ.1,2,前田 紗希,前田 紗希.1,3,金田 幸子,金田 幸子.1,4,間庭 菜摘,間庭 菜摘.1,5,佐藤　ほのか,佐藤　ほのか.1,6,白石 有美,白石 有美.1
2.0,3.0,6.4,1.0,3.0,12.5,1.0,2.0,20.4,1.0,2.0,145.7,1.0,2.0,145.2,1.0,2.0,1671.0
2.0,4.0,15.5,1.0,4.0,24.8,1.0,4.0,32.9,1.0,3.0,177.9,1.0,3.0,130.1,1.0,3.0,3123.0
2.0,5.0,28.7,1.0,5.0,42.5,1.0,5.0,43.9,1.0,5.0,279.4,1.0,4.0,215.9,1.0,4.0,3955.0
2.0,6.0,178.0,1.0,6.0,220.2,1.0,6.0,321.8,1.0,6.0,677.9,1.0,6.0,616.1,1.0,5.0,4516.0
3.0,2.0,9.4,3.0,1.0,16.6,2.0,1.0,21.0,2.0,1.0,147.2,2.0,1.0,157.1,2.0,1.0,2069.0
3.0,4.0,22.2,3.0,4.0,24.3,2.0,4.0,28.9,2.0,3.0,113.9,2.0,3.0,135.7,2.0,3.0,2228.0
3.0,5.0,31.5,3.0,5.0,38.6,2.0,5.0,42.0,2.0,5.0,221.5,2.0,4.0,194.2,2.0,4.0,3393.0
3.0,6.0,235.3,3.0,6.0,220.1,2.0,6.0,243.7,2.0,6.0,650.9,2.0,6.0,618.3,2.0,5.0,4152.0
4.0,2.0,50.1,4.0,1.0,56.6,4.0,1.0,81.9,3.0,1.0,226.9,3.0,1.0,137.4,3.0,1.0,3245.0
4.0,3.0,58.4,4.0,3.0,48.3,4.0,2.0,64.5,3.0,2.0,143.0,3.0,2.0,130.5,3.0,2.0,2621.0
4.0,5.0,122.6,4.0,5.0,104.3,4.0,5.0,114.6,3.0,5.0,315.4,3.0,4.0,175.4,3.0,4.0,4486.0
4.0,6.0,420.1,4.0,6.0,373.4,4.0,6.0,516.2,3.0,6.0,1022.0,3.0,6.0,763.1,3.0,5.0,4486.0
5.0,2.0,87.0,5.0,1.0,109.7,5.0,1.0,91.8,5.0,1.0,366.8,4.0,1.0,308.4,4.0,1.0,4486.0
5.0,3.0,82.9,5.0,3.0,92.0,5.0,2.0,84.9,5.0,2.0,324.9,4.0,2.0,333.9,4.0,2.0,3909.0
5.0,4.0,156.5,5.0,4.0,150.8,5.0,4.0,114.5,5.0,3.0,341.0,4.0,3.0,277.3,4.0,3.0,4642.0
5.0,6.0,640.3,5.0,6.0,600.6,5.0,6.0,601.1,5.0,6.0,807.3,4.0,6.0,1129.0,4.0,5.0,4027.0
6.0,2.0,846.1,6.0,1.0,737.0,6.0,1.0,1231.0,6.0,1.0,1428.0,6.0,1.0,1355.0,5.0,1.0,4610.0
6.0,3.0,1064.0,6.0,3.0,810.2,6.0,2.0,997.7,6.0,2.0,1321.0,6.0,2.0,1240.0,5.0,2.0,4257.0
6.0,4.0,1150.0,6.0,4.0,798.6,6.0,4.0,1740.0,6.0,3.0,1679.0,6.0,3.0,1375.0,5.0,3.0,4285.0
6.0,5.0,1392.0,6.0,5.0,1146.0,6.0,5.0,1731.0,6.0,5.0,1709.0,6.0,4.0,1606.0,5.0,4.0,3024.0
