1,今井 貴士,今井 貴士.1,2,原田　才一郎,原田　才一郎.1,3,岡村 慶太,岡村 慶太.1,4,宮脇 遼太,宮脇 遼太.1,5,前田 将太,前田 将太.1,6,篠崎 元志,篠崎 元志.1
2.0,3.0,8.2,1.0,3.0,34.3,1.0,2.0,111.9,1.0,2.0,66.7,1.0,2.0,150.8,1.0,2.0,596.0
2.0,4.0,11.9,1.0,4.0,40.3,1.0,4.0,124.6,1.0,3.0,117.1,1.0,3.0,178.2,1.0,3.0,941.2
2.0,5.0,12.9,1.0,5.0,44.0,1.0,5.0,108.0,1.0,5.0,59.0,1.0,4.0,168.0,1.0,4.0,882.0
2.0,6.0,30.5,1.0,6.0,74.5,1.0,6.0,172.0,1.0,6.0,85.8,1.0,6.0,137.3,1.0,5.0,643.6
3.0,2.0,15.8,3.0,1.0,90.5,2.0,1.0,175.9,2.0,1.0,105.3,2.0,1.0,276.4,2.0,1.0,1062.0
3.0,4.0,18.9,3.0,4.0,118.9,2.0,4.0,208.9,2.0,3.0,178.5,2.0,3.0,407.8,2.0,3.0,1594.0
3.0,5.0,16.2,3.0,5.0,123.3,2.0,5.0,207.0,2.0,5.0,102.0,2.0,4.0,269.1,2.0,4.0,1307.0
3.0,6.0,33.5,3.0,6.0,192.4,2.0,6.0,308.1,2.0,6.0,142.3,2.0,6.0,293.6,2.0,5.0,1167.0
4.0,2.0,22.1,4.0,1.0,96.5,4.0,1.0,267.9,3.0,1.0,241.1,3.0,1.0,356.6,3.0,1.0,1560.0
4.0,3.0,30.6,4.0,3.0,135.6,4.0,2.0,300.5,3.0,2.0,276.1,3.0,2.0,557.9,3.0,2.0,1639.0
4.0,5.0,30.6,4.0,5.0,115.5,4.0,5.0,300.2,3.0,5.0,235.6,3.0,4.0,652.4,3.0,4.0,1856.0
4.0,6.0,46.5,4.0,6.0,179.3,4.0,6.0,383.7,3.0,6.0,283.8,3.0,6.0,471.4,3.0,5.0,1255.0
5.0,2.0,31.7,5.0,1.0,138.6,5.0,1.0,237.2,5.0,1.0,61.7,4.0,1.0,173.1,4.0,1.0,1127.0
5.0,3.0,35.4,5.0,3.0,196.3,5.0,2.0,329.3,5.0,2.0,70.1,4.0,2.0,184.6,4.0,2.0,1143.0
5.0,4.0,49.9,5.0,4.0,194.5,5.0,4.0,401.5,5.0,3.0,153.7,4.0,3.0,402.7,4.0,3.0,1716.0
5.0,6.0,44.9,5.0,6.0,204.9,5.0,6.0,330.1,5.0,6.0,62.7,4.0,6.0,153.1,4.0,5.0,815.0
6.0,2.0,99.0,6.0,1.0,352.5,6.0,1.0,594.1,6.0,1.0,179.0,6.0,1.0,297.9,5.0,1.0,778.1
6.0,3.0,113.5,6.0,3.0,514.7,6.0,2.0,794.6,6.0,2.0,204.8,6.0,2.0,373.2,5.0,2.0,930.8
6.0,4.0,106.4,6.0,4.0,497.3,6.0,4.0,864.4,6.0,3.0,341.9,6.0,3.0,534.3,5.0,3.0,1108.0
6.0,5.0,92.4,6.0,5.0,405.4,6.0,5.0,648.3,6.0,5.0,148.4,6.0,4.0,361.8,5.0,4.0,872.9
