first,second,third,odds
4,1294,3,154.5
5,1387,4,439.3
3,1360,2,186.6
5,1151,4,444.5
3,1158,2,865.8
4,1034,3,832.5
6,1,1600,6.0
3,2508,2,300.9
4,2229,3,377.1
5,1892,4,668.1
