1,今井 貴士,今井 貴士.1,2,新田 泰章,新田 泰章.1,3,篠崎 仁志,篠崎 仁志.1,4,赤坂 俊輔,赤坂 俊輔.1,5,太田 和美,太田 和美.1,6,下河 誉史,下河 誉史.1
2.0,3.0,9.1,1.0,3.0,67.9,1.0,2.0,53.0,1.0,2.0,157.7,1.0,2.0,215.2,1.0,2.0,1823.0
2.0,4.0,16.3,1.0,4.0,91.0,1.0,4.0,24.3,1.0,3.0,91.6,1.0,3.0,129.1,1.0,3.0,1618.0
2.0,5.0,22.7,1.0,5.0,110.2,1.0,5.0,25.1,1.0,5.0,90.4,1.0,4.0,163.4,1.0,4.0,2126.0
2.0,6.0,86.8,1.0,6.0,337.2,1.0,6.0,132.9,1.0,6.0,229.6,1.0,6.0,360.4,1.0,5.0,2830.0
3.0,2.0,9.4,3.0,1.0,133.8,2.0,1.0,117.5,2.0,1.0,332.8,2.0,1.0,467.8,2.0,1.0,2957.0
3.0,4.0,8.2,3.0,4.0,215.2,2.0,4.0,152.0,2.0,3.0,404.3,2.0,3.0,559.8,2.0,3.0,1721.0
3.0,5.0,8.9,3.0,5.0,204.4,2.0,5.0,137.9,2.0,5.0,330.4,2.0,4.0,533.3,2.0,4.0,2901.0
3.0,6.0,55.8,3.0,6.0,599.1,2.0,6.0,400.1,2.0,6.0,732.2,2.0,6.0,1147.0,2.0,5.0,4613.0
4.0,2.0,25.0,4.0,1.0,274.1,4.0,1.0,46.3,3.0,1.0,115.9,3.0,1.0,193.4,3.0,1.0,1747.0
4.0,3.0,16.5,4.0,3.0,327.8,4.0,2.0,110.8,3.0,2.0,242.9,3.0,2.0,356.2,3.0,2.0,2651.0
4.0,5.0,24.1,4.0,5.0,434.0,4.0,5.0,43.6,3.0,5.0,106.5,3.0,4.0,183.4,3.0,4.0,2651.0
4.0,6.0,81.7,4.0,6.0,913.5,4.0,6.0,182.7,3.0,6.0,396.3,3.0,6.0,624.2,3.0,5.0,2283.0
5.0,2.0,39.2,5.0,1.0,347.9,5.0,1.0,60.0,5.0,1.0,123.4,4.0,1.0,230.0,4.0,1.0,2116.0
5.0,3.0,24.8,5.0,3.0,326.5,5.0,2.0,139.0,5.0,2.0,281.4,4.0,2.0,454.0,4.0,2.0,2713.0
5.0,4.0,38.5,5.0,4.0,625.9,5.0,4.0,62.3,5.0,3.0,138.0,4.0,3.0,229.5,4.0,3.0,3075.0
5.0,6.0,111.3,5.0,6.0,1201.0,5.0,6.0,215.4,5.0,6.0,239.2,4.0,6.0,518.9,4.0,5.0,2796.0
6.0,2.0,315.5,6.0,1.0,1303.0,6.0,1.0,530.8,6.0,1.0,547.2,6.0,1.0,998.5,5.0,1.0,3181.0
6.0,3.0,256.7,6.0,3.0,1497.0,6.0,2.0,930.1,6.0,2.0,1060.0,6.0,2.0,1830.0,5.0,2.0,4156.0
6.0,4.0,285.1,6.0,4.0,1890.0,6.0,4.0,663.8,6.0,3.0,1046.0,6.0,3.0,1201.0,5.0,3.0,2577.0
6.0,5.0,298.0,6.0,5.0,2116.0,6.0,5.0,570.9,6.0,5.0,529.6,6.0,4.0,1176.0,5.0,4.0,2713.0
