1,羽野 直也,羽野 直也.1,2,河合 佑樹,河合 佑樹.1,3,伊藤 将吉,伊藤 将吉.1,4,川上 剛,川上 剛.1,5,木村 亮太,木村 亮太.1,6,向井田　佑紀,向井田　佑紀.1
2.0,3.0,4.3,1.0,3.0,28.3,1.0,2.0,49.2,1.0,2.0,104.1,1.0,2.0,441.8,1.0,2.0,1265.0
2.0,4.0,6.2,1.0,4.0,33.2,1.0,4.0,59.3,1.0,3.0,137.9,1.0,3.0,597.5,1.0,3.0,2205.0
2.0,5.0,19.0,1.0,5.0,83.5,1.0,5.0,126.0,1.0,5.0,208.1,1.0,4.0,644.9,1.0,4.0,2215.0
2.0,6.0,33.5,1.0,6.0,125.6,1.0,6.0,221.7,1.0,6.0,315.2,1.0,6.0,1151.0,1.0,5.0,3481.0
3.0,2.0,6.2,3.0,1.0,87.8,2.0,1.0,103.3,2.0,1.0,202.5,2.0,1.0,712.4,2.0,1.0,1867.0
3.0,4.0,9.0,3.0,4.0,160.8,2.0,4.0,182.0,2.0,3.0,327.4,2.0,3.0,1488.0,2.0,3.0,3331.0
3.0,5.0,21.1,3.0,5.0,475.9,2.0,5.0,425.6,2.0,5.0,534.7,2.0,4.0,1721.0,2.0,4.0,2292.0
3.0,6.0,43.4,3.0,6.0,485.4,2.0,6.0,528.0,2.0,6.0,601.3,2.0,6.0,3331.0,2.0,5.0,5447.0
4.0,2.0,14.0,4.0,1.0,127.1,4.0,1.0,179.9,3.0,1.0,292.1,3.0,1.0,1089.0,3.0,1.0,2912.0
4.0,3.0,18.7,4.0,3.0,182.1,4.0,2.0,237.3,3.0,2.0,368.1,3.0,2.0,1636.0,3.0,2.0,3957.0
4.0,5.0,44.4,4.0,5.0,484.8,4.0,5.0,453.1,3.0,5.0,697.4,3.0,4.0,1913.0,3.0,4.0,3646.0
4.0,6.0,63.9,4.0,6.0,493.6,4.0,6.0,544.7,3.0,6.0,795.6,3.0,6.0,3992.0,3.0,5.0,6257.0
5.0,2.0,60.6,5.0,1.0,490.5,5.0,1.0,483.3,5.0,1.0,444.4,4.0,1.0,958.7,4.0,1.0,3066.0
5.0,3.0,82.0,5.0,3.0,941.2,5.0,2.0,857.5,5.0,2.0,725.8,4.0,2.0,1508.0,4.0,2.0,2894.0
5.0,4.0,112.9,5.0,4.0,1064.0,5.0,4.0,843.4,5.0,3.0,993.7,4.0,3.0,1636.0,4.0,3.0,4026.0
5.0,6.0,213.5,5.0,6.0,1671.0,5.0,6.0,1382.0,5.0,6.0,1031.0,4.0,6.0,2437.0,4.0,5.0,4979.0
6.0,2.0,172.4,6.0,1.0,892.2,6.0,1.0,1079.0,6.0,1.0,1129.0,6.0,1.0,2894.0,5.0,1.0,4327.0
6.0,3.0,245.7,6.0,3.0,1630.0,6.0,2.0,1354.0,6.0,2.0,1040.0,6.0,2.0,4171.0,5.0,2.0,6431.0
6.0,4.0,269.0,6.0,4.0,1241.0,6.0,4.0,1390.0,6.0,3.0,1653.0,6.0,3.0,4410.0,5.0,3.0,6013.0
6.0,5.0,359.5,6.0,5.0,2124.0,6.0,5.0,2205.0,6.0,5.0,1642.0,6.0,4.0,3924.0,5.0,4.0,5447.0
