1,乙津 康志,乙津 康志.1,2,伊達 正利,伊達 正利.1,3,土井 歩夢,土井 歩夢.1,4,出畑 孝典,出畑 孝典.1,5,岡部 大輔,岡部 大輔.1,6,奥田 誠,奥田 誠.1
2.0,3.0,63.9,1.0,3.0,119.0,1.0,2.0,121.7,1.0,2.0,30.7,1.0,2.0,143.7,1.0,2.0,792.0
2.0,4.0,37.0,1.0,4.0,70.1,1.0,4.0,49.2,1.0,3.0,31.3,1.0,3.0,146.3,1.0,3.0,1413.0
2.0,5.0,75.1,1.0,5.0,139.7,1.0,5.0,73.8,1.0,5.0,17.4,1.0,4.0,69.0,1.0,4.0,498.7
2.0,6.0,189.4,1.0,6.0,325.8,1.0,6.0,156.3,1.0,6.0,42.4,1.0,6.0,148.6,1.0,5.0,846.9
3.0,2.0,68.6,3.0,1.0,217.1,2.0,1.0,175.4,2.0,1.0,68.5,2.0,1.0,243.3,2.0,1.0,1069.0
3.0,4.0,28.5,3.0,4.0,141.2,2.0,4.0,112.5,2.0,3.0,89.2,2.0,3.0,362.4,2.0,3.0,1900.0
3.0,5.0,59.0,3.0,5.0,257.2,2.0,5.0,193.9,2.0,5.0,54.7,2.0,4.0,180.4,2.0,4.0,924.7
3.0,6.0,155.1,3.0,6.0,466.1,2.0,6.0,315.0,2.0,6.0,109.9,2.0,6.0,398.7,2.0,5.0,1513.0
4.0,2.0,24.6,4.0,1.0,94.0,4.0,1.0,51.5,3.0,1.0,60.3,3.0,1.0,238.6,3.0,1.0,1437.0
4.0,3.0,23.6,4.0,3.0,106.1,4.0,2.0,79.3,3.0,2.0,90.9,3.0,2.0,376.8,3.0,2.0,1710.0
4.0,5.0,19.2,4.0,5.0,114.3,4.0,5.0,40.1,3.0,5.0,37.4,3.0,4.0,152.8,3.0,4.0,1000.0
4.0,6.0,46.5,4.0,6.0,226.8,4.0,6.0,78.0,3.0,6.0,88.7,3.0,6.0,323.4,3.0,5.0,1474.0
5.0,2.0,93.1,5.0,1.0,224.2,5.0,1.0,114.8,5.0,1.0,14.5,4.0,1.0,52.6,4.0,1.0,389.7
5.0,3.0,79.2,5.0,3.0,316.2,5.0,2.0,191.5,5.0,2.0,27.0,4.0,2.0,84.2,4.0,2.0,551.8
5.0,4.0,46.1,5.0,4.0,193.3,5.0,4.0,72.2,5.0,3.0,26.5,4.0,3.0,93.3,4.0,3.0,846.9
5.0,6.0,123.4,5.0,6.0,520.0,5.0,6.0,161.2,5.0,6.0,14.6,4.0,6.0,63.0,4.0,5.0,361.6
6.0,2.0,262.3,6.0,1.0,681.6,6.0,1.0,539.6,6.0,1.0,79.9,6.0,1.0,269.4,5.0,1.0,718.8
6.0,3.0,294.4,6.0,3.0,1125.0,6.0,2.0,740.6,6.0,2.0,124.7,6.0,2.0,418.2,5.0,2.0,1006.0
6.0,4.0,176.9,6.0,4.0,587.9,6.0,4.0,326.4,6.0,3.0,142.4,6.0,3.0,412.2,5.0,3.0,1239.0
6.0,5.0,281.3,6.0,5.0,905.1,6.0,5.0,457.4,6.0,5.0,52.0,6.0,4.0,166.4,5.0,4.0,390.5
