1,安東 幸治,安東 幸治.1,2,石川 哲秀,石川 哲秀.1,3,三原 司,三原 司.1,4,内山 峻輔,内山 峻輔.1,5,繁野谷　圭介,繁野谷　圭介.1,6,松江 秀徳,松江 秀徳.1
2.0,3.0,40.3,1.0,3.0,332.2,1.0,2.0,345.2,1.0,2.0,185.3,1.0,2.0,88.2,1.0,2.0,593.3
2.0,4.0,36.7,1.0,4.0,286.8,1.0,4.0,179.4,1.0,3.0,122.7,1.0,3.0,59.1,1.0,3.0,430.7
2.0,5.0,25.8,1.0,5.0,211.4,1.0,5.0,81.5,1.0,5.0,42.8,1.0,4.0,48.2,1.0,4.0,365.0
2.0,6.0,55.1,1.0,6.0,371.7,1.0,6.0,169.6,1.0,6.0,71.0,1.0,6.0,29.0,1.0,5.0,168.5
3.0,2.0,39.2,3.0,1.0,616.0,2.0,1.0,509.2,2.0,1.0,371.0,2.0,1.0,205.3,2.0,1.0,1151.0
3.0,4.0,20.2,3.0,4.0,1220.0,2.0,4.0,932.8,2.0,3.0,721.3,2.0,3.0,402.1,2.0,3.0,1717.0
3.0,5.0,12.0,3.0,5.0,739.2,2.0,5.0,548.1,2.0,5.0,337.7,2.0,4.0,392.7,2.0,4.0,1315.0
3.0,6.0,27.0,3.0,6.0,1151.0,2.0,6.0,670.2,2.0,6.0,381.5,2.0,6.0,235.2,2.0,5.0,932.8
4.0,2.0,42.0,4.0,1.0,553.6,4.0,1.0,328.3,3.0,1.0,261.3,3.0,1.0,149.0,3.0,1.0,716.0
4.0,3.0,26.1,4.0,3.0,1470.0,4.0,2.0,1005.0,3.0,2.0,847.3,3.0,2.0,401.7,3.0,2.0,2230.0
4.0,5.0,13.0,4.0,5.0,773.0,4.0,5.0,252.4,3.0,5.0,184.0,3.0,4.0,246.8,3.0,4.0,1255.0
4.0,6.0,26.2,4.0,6.0,1054.0,4.0,6.0,463.6,3.0,6.0,323.6,3.0,6.0,169.0,3.0,5.0,736.3
5.0,2.0,27.7,5.0,1.0,322.0,5.0,1.0,136.2,5.0,1.0,47.9,4.0,1.0,70.7,4.0,1.0,511.9
5.0,3.0,13.9,5.0,3.0,841.8,5.0,2.0,538.2,5.0,2.0,176.6,4.0,2.0,229.2,4.0,2.0,1395.0
5.0,4.0,13.9,5.0,4.0,779.2,5.0,4.0,266.7,5.0,3.0,128.7,4.0,3.0,226.6,4.0,3.0,1040.0
5.0,6.0,11.1,5.0,6.0,576.6,5.0,6.0,210.9,5.0,6.0,44.2,4.0,6.0,61.0,4.0,5.0,296.9
6.0,2.0,91.4,6.0,1.0,725.3,6.0,1.0,381.9,6.0,1.0,128.7,6.0,1.0,47.4,5.0,1.0,177.8
6.0,3.0,62.4,6.0,3.0,1492.0,6.0,2.0,1190.0,6.0,2.0,375.6,6.0,2.0,177.2,5.0,2.0,694.2
6.0,4.0,55.3,6.0,4.0,1390.0,6.0,4.0,742.0,6.0,3.0,336.2,6.0,3.0,134.7,5.0,3.0,519.5
6.0,5.0,26.6,6.0,5.0,860.4,6.0,5.0,373.5,6.0,5.0,97.9,6.0,4.0,72.8,5.0,4.0,240.8
