1,橋口 真樹,橋口 真樹.1,2,長畑 友輔,長畑 友輔.1,3,坂口 周,坂口 周.1,4,榎 幸司,榎 幸司.1,5,高濱 芳久,高濱 芳久.1,6,西澤　日花里,西澤　日花里.1
2.0,3.0,26.7,1.0,3.0,55.8,1.0,2.0,38.6,1.0,2.0,67.1,1.0,2.0,495.7,1.0,2.0,1753.0
2.0,4.0,34.4,1.0,4.0,73.4,1.0,4.0,14.2,1.0,3.0,26.4,1.0,3.0,210.9,1.0,3.0,1159.0
2.0,5.0,81.0,1.0,5.0,167.8,1.0,5.0,29.3,1.0,5.0,44.9,1.0,4.0,263.2,1.0,4.0,905.0
2.0,6.0,140.4,1.0,6.0,272.9,1.0,6.0,70.7,1.0,6.0,80.9,1.0,6.0,539.5,1.0,5.0,2192.0
3.0,2.0,20.4,3.0,1.0,84.9,2.0,1.0,65.4,2.0,1.0,162.1,2.0,1.0,750.2,2.0,1.0,2805.0
3.0,4.0,10.9,3.0,4.0,74.8,2.0,4.0,49.2,2.0,3.0,116.0,2.0,3.0,519.5,2.0,3.0,1921.0
3.0,5.0,25.3,3.0,5.0,172.7,2.0,5.0,107.0,2.0,5.0,149.4,2.0,4.0,570.2,2.0,4.0,1558.0
3.0,6.0,65.5,3.0,6.0,366.2,2.0,6.0,192.9,2.0,6.0,226.6,2.0,6.0,947.8,2.0,5.0,1895.0
4.0,2.0,31.5,4.0,1.0,122.2,4.0,1.0,17.2,3.0,1.0,28.5,3.0,1.0,240.6,3.0,1.0,1031.0
4.0,3.0,15.6,4.0,3.0,110.2,4.0,2.0,39.9,3.0,2.0,62.7,3.0,2.0,438.4,3.0,2.0,1417.0
4.0,5.0,36.0,4.0,5.0,230.7,4.0,5.0,20.6,3.0,5.0,32.9,3.0,4.0,172.5,3.0,4.0,652.5
4.0,6.0,73.2,4.0,6.0,375.1,4.0,6.0,52.6,3.0,6.0,73.6,3.0,6.0,485.4,3.0,5.0,1348.0
5.0,2.0,115.1,5.0,1.0,377.1,5.0,1.0,69.0,5.0,1.0,59.1,4.0,1.0,258.3,4.0,1.0,1122.0
5.0,3.0,71.9,5.0,3.0,353.3,5.0,2.0,128.7,5.0,2.0,130.8,4.0,2.0,409.0,4.0,2.0,1775.0
5.0,4.0,90.1,5.0,4.0,376.1,5.0,4.0,50.4,5.0,3.0,61.4,4.0,3.0,192.1,4.0,3.0,830.1
5.0,6.0,175.1,5.0,6.0,758.3,5.0,6.0,142.4,5.0,6.0,115.8,4.0,6.0,352.4,4.0,5.0,1199.0
6.0,2.0,332.4,6.0,1.0,531.3,6.0,1.0,272.4,6.0,1.0,256.4,6.0,1.0,1024.0,5.0,1.0,2338.0
6.0,3.0,268.2,6.0,3.0,941.5,6.0,2.0,405.4,6.0,2.0,288.0,6.0,2.0,1159.0,5.0,2.0,2805.0
6.0,4.0,313.1,6.0,4.0,501.0,6.0,4.0,201.5,6.0,3.0,210.9,6.0,3.0,723.1,5.0,3.0,1870.0
6.0,5.0,330.8,6.0,5.0,935.2,6.0,5.0,318.8,6.0,5.0,238.9,6.0,4.0,609.9,5.0,4.0,1209.0
