1,重成 一人,重成 一人.1,2,岡村 慶太,岡村 慶太.1,3,中越 博紀,中越 博紀.1,4,志道 吉和,志道 吉和.1,5,檀 将太,檀 将太.1,6,永嶋 裕一,永嶋 裕一.1
2.0,3.0,3.0,1.0,3.0,7.1,1.0,2.0,79.9,1.0,2.0,96.0,1.0,2.0,1006.0,1.0,2.0,388.1
2.0,4.0,7.7,1.0,4.0,15.1,1.0,4.0,236.4,1.0,3.0,268.0,1.0,3.0,2349.0,1.0,3.0,1155.0
2.0,5.0,50.0,1.0,5.0,101.8,1.0,5.0,560.6,1.0,5.0,417.9,1.0,4.0,1649.0,1.0,4.0,1075.0
2.0,6.0,11.1,1.0,6.0,18.1,1.0,6.0,313.6,1.0,6.0,194.8,1.0,6.0,2157.0,1.0,5.0,2766.0
3.0,2.0,10.3,3.0,1.0,30.1,2.0,1.0,80.9,2.0,1.0,101.8,2.0,1.0,1518.0,2.0,1.0,462.3
3.0,4.0,33.9,3.0,4.0,95.5,2.0,4.0,233.0,2.0,3.0,296.0,2.0,3.0,3236.0,2.0,3.0,1151.0
3.0,5.0,126.4,3.0,5.0,443.8,2.0,5.0,662.3,2.0,5.0,559.7,2.0,4.0,1949.0,2.0,4.0,1027.0
3.0,6.0,54.3,3.0,6.0,116.6,2.0,6.0,279.8,2.0,6.0,203.6,2.0,6.0,2835.0,2.0,5.0,2983.0
4.0,2.0,28.8,4.0,1.0,60.1,4.0,1.0,408.9,3.0,1.0,392.5,3.0,1.0,3236.0,3.0,1.0,1633.0
4.0,3.0,62.1,4.0,3.0,160.2,4.0,2.0,542.8,3.0,2.0,487.3,3.0,2.0,3206.0,3.0,2.0,1453.0
4.0,5.0,196.3,4.0,5.0,535.2,4.0,5.0,1524.0,3.0,5.0,1406.0,3.0,4.0,4398.0,3.0,4.0,2416.0
4.0,6.0,91.8,4.0,6.0,144.4,4.0,6.0,991.6,3.0,6.0,695.9,3.0,6.0,4235.0,3.0,5.0,3573.0
5.0,2.0,222.5,5.0,1.0,617.0,5.0,1.0,2334.0,5.0,1.0,584.4,4.0,1.0,1595.0,4.0,1.0,1417.0
5.0,3.0,386.8,5.0,3.0,1089.0,5.0,2.0,1690.0,5.0,2.0,664.9,4.0,2.0,2171.0,4.0,2.0,1199.0
5.0,4.0,426.2,5.0,4.0,1314.0,5.0,4.0,2619.0,5.0,3.0,1174.0,4.0,3.0,3331.0,4.0,3.0,2242.0
5.0,6.0,512.0,5.0,6.0,1329.0,5.0,6.0,2766.0,5.0,6.0,596.6,4.0,6.0,2318.0,4.0,5.0,3009.0
6.0,2.0,83.5,6.0,1.0,129.2,6.0,1.0,905.2,6.0,1.0,345.5,6.0,1.0,3855.0,5.0,1.0,3989.0
6.0,3.0,198.4,6.0,3.0,311.6,6.0,2.0,826.7,6.0,2.0,380.7,6.0,2.0,3236.0,5.0,2.0,2619.0
6.0,4.0,211.3,6.0,4.0,341.0,6.0,4.0,1673.0,6.0,3.0,862.0,6.0,3.0,4084.0,5.0,3.0,4901.0
6.0,5.0,607.2,6.0,5.0,1121.0,6.0,5.0,2366.0,6.0,5.0,947.7,6.0,4.0,3267.0,5.0,4.0,3649.0
