1,寺島 吉彦,寺島 吉彦.1,2,川田 正人,川田 正人.1,3,桑原 将光,桑原 将光.1,4,廣中 良一,廣中 良一.1,5,笹木 香吾,笹木 香吾.1,6,仲本 舜,仲本 舜.1
2.0,3.0,6.0,1.0,3.0,34.5,1.0,2.0,18.8,1.0,2.0,173.8,1.0,2.0,695.2,1.0,2.0,631.0
2.0,4.0,14.4,1.0,4.0,68.5,1.0,4.0,19.3,1.0,3.0,132.5,1.0,3.0,468.4,1.0,3.0,478.5
2.0,5.0,38.6,1.0,5.0,163.8,1.0,5.0,49.7,1.0,5.0,327.7,1.0,4.0,813.4,1.0,4.0,1121.0
2.0,6.0,48.9,1.0,6.0,198.7,1.0,6.0,61.5,1.0,6.0,341.0,1.0,6.0,700.3,1.0,5.0,842.0
3.0,2.0,5.1,3.0,1.0,58.0,2.0,1.0,44.1,2.0,1.0,333.5,2.0,1.0,1281.0,2.0,1.0,870.1
3.0,4.0,6.5,3.0,4.0,150.4,2.0,4.0,92.8,2.0,3.0,437.0,2.0,3.0,1367.0,2.0,3.0,1259.0
3.0,5.0,19.8,3.0,5.0,308.7,2.0,5.0,223.6,2.0,5.0,944.5,2.0,4.0,1840.0,2.0,4.0,1927.0
3.0,6.0,23.6,3.0,6.0,343.8,2.0,6.0,252.5,2.0,6.0,859.7,2.0,6.0,1577.0,2.0,5.0,2610.0
4.0,2.0,27.5,4.0,1.0,197.0,4.0,1.0,51.7,3.0,1.0,179.8,3.0,1.0,723.2,3.0,1.0,763.6
4.0,3.0,20.2,4.0,3.0,274.5,4.0,2.0,99.1,3.0,2.0,345.9,3.0,2.0,1176.0,3.0,2.0,1181.0
4.0,5.0,64.7,4.0,5.0,621.5,4.0,5.0,131.5,3.0,5.0,463.8,3.0,4.0,1270.0,3.0,4.0,1840.0
4.0,6.0,68.5,4.0,6.0,741.9,4.0,6.0,156.6,3.0,6.0,473.8,3.0,6.0,1387.0,3.0,5.0,1719.0
5.0,2.0,118.3,5.0,1.0,652.6,5.0,1.0,194.0,5.0,1.0,690.2,4.0,1.0,1311.0,4.0,1.0,1828.0
5.0,3.0,83.2,5.0,3.0,786.6,5.0,2.0,330.4,5.0,2.0,957.1,4.0,2.0,1994.0,4.0,2.0,2158.0
5.0,4.0,152.4,5.0,4.0,1144.0,5.0,4.0,290.0,5.0,3.0,795.4,4.0,3.0,1457.0,4.0,3.0,2175.0
5.0,6.0,177.2,5.0,6.0,1323.0,5.0,6.0,345.9,5.0,6.0,818.0,4.0,6.0,1335.0,4.0,5.0,2127.0
6.0,2.0,149.8,6.0,1.0,745.8,6.0,1.0,235.3,6.0,1.0,929.2,6.0,1.0,1075.0,5.0,1.0,1144.0
6.0,3.0,94.5,6.0,3.0,1148.0,6.0,2.0,461.6,6.0,2.0,1380.0,6.0,2.0,2260.0,5.0,2.0,2761.0
6.0,4.0,195.4,6.0,4.0,1348.0,6.0,4.0,398.8,6.0,3.0,941.4,6.0,3.0,1689.0,5.0,3.0,2095.0
6.0,5.0,255.0,6.0,5.0,1794.0,6.0,5.0,547.9,6.0,5.0,1083.0,6.0,4.0,1864.0,5.0,4.0,2065.0
