1,高橋 直哉,高橋 直哉.1,2,高濱 芳久,高濱 芳久.1,3,松江 秀徳,松江 秀徳.1,4,松本 怜,松本 怜.1,5,奥村　明日香,奥村　明日香.1,6,繁野谷　圭介,繁野谷　圭介.1
2.0,3.0,10.1,1.0,3.0,16.8,1.0,2.0,38.8,1.0,2.0,558.8,1.0,2.0,1036.0,1.0,2.0,62.2
2.0,4.0,39.2,1.0,4.0,60.4,1.0,4.0,83.1,1.0,3.0,487.9,1.0,3.0,925.0,1.0,3.0,60.9
2.0,5.0,54.0,1.0,5.0,93.6,1.0,5.0,121.0,1.0,5.0,885.7,1.0,4.0,2181.0,1.0,4.0,223.3
2.0,6.0,13.8,1.0,6.0,17.3,1.0,6.0,25.0,1.0,6.0,321.9,1.0,6.0,977.5,1.0,5.0,369.0
3.0,2.0,13.6,3.0,1.0,31.6,2.0,1.0,46.8,2.0,1.0,551.5,2.0,1.0,1188.0,2.0,1.0,85.1
3.0,4.0,41.6,3.0,4.0,80.1,2.0,4.0,85.8,2.0,3.0,558.8,2.0,3.0,1078.0,2.0,3.0,57.6
3.0,5.0,59.4,3.0,5.0,130.8,2.0,5.0,154.7,2.0,5.0,1007.0,2.0,4.0,1961.0,2.0,4.0,281.3
3.0,6.0,13.2,3.0,6.0,23.0,2.0,6.0,26.7,2.0,6.0,331.7,2.0,6.0,749.4,2.0,5.0,397.1
4.0,2.0,98.1,4.0,1.0,240.9,4.0,1.0,209.8,3.0,1.0,621.9,3.0,1.0,1032.0,3.0,1.0,63.6
4.0,3.0,118.0,4.0,3.0,182.6,4.0,2.0,160.5,3.0,2.0,534.3,3.0,2.0,1047.0,3.0,2.0,55.4
4.0,5.0,206.8,4.0,5.0,466.9,4.0,5.0,318.4,3.0,5.0,958.3,3.0,4.0,1948.0,3.0,4.0,175.0
4.0,6.0,105.8,4.0,6.0,185.8,4.0,6.0,111.5,3.0,6.0,355.1,3.0,6.0,749.4,3.0,5.0,284.0
5.0,2.0,257.7,5.0,1.0,421.1,5.0,1.0,400.4,5.0,1.0,1425.0,4.0,1.0,2165.0,4.0,1.0,463.2
5.0,3.0,234.4,5.0,3.0,419.3,5.0,2.0,407.1,5.0,2.0,1580.0,4.0,2.0,2265.0,4.0,2.0,511.0
5.0,4.0,410.5,5.0,4.0,723.5,5.0,4.0,546.3,5.0,3.0,1347.0,4.0,3.0,2519.0,4.0,3.0,399.3
5.0,6.0,219.7,5.0,6.0,300.4,5.0,6.0,229.4,5.0,6.0,759.2,4.0,6.0,1098.0,4.0,5.0,844.8
6.0,2.0,25.4,6.0,1.0,46.6,6.0,1.0,37.9,6.0,1.0,349.2,6.0,1.0,1259.0,5.0,1.0,1155.0
6.0,3.0,24.1,6.0,3.0,35.7,6.0,2.0,33.1,6.0,2.0,442.2,6.0,2.0,994.2,5.0,2.0,877.7
6.0,4.0,100.2,6.0,4.0,128.5,6.0,4.0,80.1,6.0,3.0,375.2,6.0,3.0,945.9,5.0,3.0,681.3
6.0,5.0,147.7,6.0,5.0,201.5,6.0,5.0,140.4,6.0,5.0,596.5,6.0,4.0,1282.0,5.0,4.0,997.6
