1,溝口　海義也,溝口　海義也.1,2,村田 修次,村田 修次.1,3,森 晋太郎,森 晋太郎.1,4,中岡 正彦,中岡 正彦.1,5,出畑 孝典,出畑 孝典.1,6,岡崎 恭裕,岡崎 恭裕.1
2.0,3.0,36.7,1.0,3.0,216.5,1.0,2.0,302.8,1.0,2.0,22.0,1.0,2.0,133.8,1.0,2.0,225.3
2.0,4.0,15.1,1.0,4.0,89.7,1.0,4.0,201.8,1.0,3.0,74.9,1.0,3.0,284.6,1.0,3.0,493.0
2.0,5.0,32.5,1.0,5.0,162.4,1.0,5.0,271.2,1.0,5.0,24.3,1.0,4.0,102.0,1.0,4.0,150.5
2.0,6.0,35.8,1.0,6.0,153.8,1.0,6.0,303.2,1.0,6.0,21.9,1.0,6.0,111.5,1.0,5.0,265.0
3.0,2.0,44.9,3.0,1.0,539.4,2.0,1.0,564.7,2.0,1.0,43.6,2.0,1.0,232.0,2.0,1.0,369.0
3.0,4.0,37.6,3.0,4.0,684.3,2.0,4.0,685.5,2.0,3.0,167.2,2.0,3.0,681.6,2.0,3.0,897.3
3.0,5.0,58.2,3.0,5.0,861.1,2.0,5.0,771.1,2.0,5.0,57.3,2.0,4.0,232.6,2.0,4.0,302.1
3.0,6.0,69.4,3.0,6.0,846.6,2.0,6.0,883.1,2.0,6.0,46.3,2.0,6.0,214.3,2.0,5.0,479.0
4.0,2.0,13.3,4.0,1.0,137.4,4.0,1.0,284.5,3.0,1.0,170.3,3.0,1.0,655.2,3.0,1.0,879.1
4.0,3.0,36.5,4.0,3.0,493.9,4.0,2.0,447.5,3.0,2.0,212.9,3.0,2.0,899.9,3.0,2.0,1109.0
4.0,5.0,19.3,4.0,5.0,255.8,4.0,5.0,343.2,3.0,5.0,202.3,3.0,4.0,693.5,3.0,4.0,779.2
4.0,6.0,17.5,4.0,6.0,194.2,4.0,6.0,331.3,3.0,6.0,175.9,3.0,6.0,645.4,3.0,5.0,991.6
5.0,2.0,46.8,5.0,1.0,321.7,5.0,1.0,507.7,5.0,1.0,25.9,4.0,1.0,75.7,4.0,1.0,116.7
5.0,3.0,81.1,5.0,3.0,785.1,5.0,2.0,682.2,5.0,2.0,35.4,4.0,2.0,97.7,4.0,2.0,176.4
5.0,4.0,46.3,5.0,4.0,411.4,5.0,4.0,555.6,5.0,3.0,118.2,4.0,3.0,328.0,4.0,3.0,431.2
5.0,6.0,56.5,5.0,6.0,374.3,5.0,6.0,568.6,5.0,6.0,19.4,4.0,6.0,55.5,4.0,5.0,114.4
6.0,2.0,64.9,6.0,1.0,367.2,6.0,1.0,658.3,6.0,1.0,31.2,6.0,1.0,161.4,5.0,1.0,319.3
6.0,3.0,122.9,6.0,3.0,923.4,6.0,2.0,915.2,6.0,2.0,40.8,6.0,2.0,189.1,5.0,2.0,377.1
6.0,4.0,51.5,6.0,4.0,347.6,6.0,4.0,610.7,6.0,3.0,129.4,6.0,3.0,380.1,5.0,3.0,645.4
6.0,5.0,82.2,6.0,5.0,508.4,6.0,5.0,717.8,6.0,5.0,29.4,6.0,4.0,105.1,5.0,4.0,167.6
