1,中山 雄太,中山 雄太.1,2,中渡 修作,中渡 修作.1,3,宮武 英司,宮武 英司.1,4,小野 信樹,小野 信樹.1,5,丸岡 正典,丸岡 正典.1,6,大熊 辰弥,大熊 辰弥.1
2.0,3.0,11.7,1.0,3.0,138.3,1.0,2.0,152.4,1.0,2.0,348.0,1.0,2.0,46.4,1.0,2.0,1557.0
2.0,4.0,22.3,1.0,4.0,190.2,1.0,4.0,196.7,1.0,3.0,673.8,1.0,3.0,29.9,1.0,3.0,2794.0
2.0,5.0,9.4,1.0,5.0,126.6,1.0,5.0,65.7,1.0,5.0,260.3,1.0,4.0,94.8,1.0,4.0,2317.0
2.0,6.0,213.8,1.0,6.0,573.5,1.0,6.0,640.5,1.0,6.0,723.4,1.0,6.0,161.8,1.0,5.0,1583.0
3.0,2.0,10.2,3.0,1.0,310.1,2.0,1.0,364.5,2.0,1.0,551.3,2.0,1.0,140.5,2.0,1.0,2355.0
3.0,4.0,18.6,3.0,4.0,812.0,2.0,4.0,1079.0,2.0,3.0,2436.0,2.0,3.0,273.5,2.0,3.0,4914.0
3.0,5.0,4.7,3.0,5.0,492.3,2.0,5.0,629.2,2.0,5.0,1278.0,2.0,4.0,454.6,2.0,4.0,2714.0
3.0,6.0,150.4,3.0,6.0,1301.0,2.0,6.0,2298.0,2.0,6.0,1792.0,2.0,6.0,899.1,2.0,5.0,2740.0
4.0,2.0,41.4,4.0,1.0,463.4,4.0,1.0,669.1,3.0,1.0,1051.0,3.0,1.0,65.3,3.0,1.0,3608.0
4.0,3.0,37.4,4.0,3.0,1383.0,4.0,2.0,1377.0,3.0,2.0,2095.0,3.0,2.0,255.1,3.0,2.0,3904.0
4.0,5.0,26.7,4.0,5.0,1055.0,4.0,5.0,664.4,3.0,5.0,1187.0,3.0,4.0,301.9,3.0,4.0,4453.0
4.0,6.0,241.3,4.0,6.0,1863.0,4.0,6.0,2336.0,3.0,6.0,2663.0,3.0,6.0,776.6,3.0,5.0,3032.0
5.0,2.0,8.9,5.0,1.0,259.6,5.0,1.0,111.9,5.0,1.0,401.4,4.0,1.0,269.1,4.0,1.0,3276.0
5.0,3.0,5.3,5.0,3.0,567.8,5.0,2.0,426.7,5.0,2.0,1113.0,4.0,2.0,514.5,4.0,2.0,3064.0
5.0,4.0,15.5,5.0,4.0,1040.0,5.0,4.0,478.2,5.0,3.0,1018.0,4.0,3.0,579.3,4.0,3.0,5481.0
5.0,6.0,71.6,5.0,6.0,1344.0,5.0,6.0,976.1,5.0,6.0,993.1,4.0,6.0,1029.0,4.0,5.0,2740.0
6.0,2.0,518.2,6.0,1.0,1887.0,6.0,1.0,2007.0,6.0,1.0,1815.0,6.0,1.0,530.8,5.0,1.0,1815.0
6.0,3.0,562.2,6.0,3.0,3563.0,6.0,2.0,3476.0,6.0,2.0,2050.0,6.0,2.0,1071.0,5.0,2.0,2375.0
6.0,4.0,702.0,6.0,4.0,3167.0,6.0,4.0,4385.0,6.0,3.0,3393.0,6.0,3.0,1239.0,5.0,3.0,3064.0
6.0,5.0,322.4,6.0,5.0,2969.0,6.0,5.0,1979.0,6.0,5.0,2036.0,6.0,4.0,1432.0,5.0,4.0,2395.0
