1,松瀬 弘美,松瀬 弘美.1,2,犬童 千秋,犬童 千秋.1,3,宇野 弥生,宇野 弥生.1,4,大瀧　明日香,大瀧　明日香.1,5,池田 紫乃,池田 紫乃.1,6,奥村　明日香,奥村　明日香.1
2.0,3.0,12.9,1.0,3.0,24.0,1.0,2.0,28.8,1.0,2.0,76.6,1.0,2.0,243.2,1.0,2.0,283.6
2.0,4.0,14.6,1.0,4.0,23.2,1.0,4.0,24.0,1.0,3.0,75.6,1.0,3.0,278.6,1.0,3.0,359.8
2.0,5.0,40.1,1.0,5.0,61.7,1.0,5.0,57.5,1.0,5.0,110.6,1.0,4.0,266.7,1.0,4.0,442.6
2.0,6.0,41.5,1.0,6.0,66.5,1.0,6.0,66.6,1.0,6.0,130.7,1.0,6.0,290.0,1.0,5.0,587.3
3.0,2.0,14.2,3.0,1.0,43.1,2.0,1.0,45.1,2.0,1.0,121.3,2.0,1.0,309.4,2.0,1.0,399.7
3.0,4.0,13.5,3.0,4.0,47.1,2.0,4.0,45.9,2.0,3.0,138.6,2.0,3.0,363.9,2.0,3.0,484.4
3.0,5.0,38.4,3.0,5.0,105.8,2.0,5.0,108.0,2.0,5.0,230.9,2.0,4.0,422.8,2.0,4.0,487.5
3.0,6.0,43.1,3.0,6.0,119.8,2.0,6.0,121.4,2.0,6.0,239.9,2.0,6.0,365.8,2.0,5.0,741.2
4.0,2.0,23.3,4.0,1.0,61.6,4.0,1.0,36.8,3.0,1.0,95.5,3.0,1.0,389.9,3.0,1.0,498.8
4.0,3.0,25.0,4.0,3.0,77.8,4.0,2.0,45.8,3.0,2.0,117.4,3.0,2.0,390.4,3.0,2.0,601.3
4.0,5.0,51.3,4.0,5.0,144.0,4.0,5.0,59.0,3.0,5.0,157.0,3.0,4.0,365.8,3.0,4.0,585.0
4.0,6.0,52.7,4.0,6.0,139.8,4.0,6.0,72.8,3.0,6.0,184.3,3.0,6.0,469.0,3.0,5.0,935.9
5.0,2.0,103.0,5.0,1.0,186.2,5.0,1.0,135.9,5.0,1.0,148.1,4.0,1.0,317.8,4.0,1.0,708.2
5.0,3.0,120.6,5.0,3.0,234.8,5.0,2.0,169.4,5.0,2.0,213.9,4.0,2.0,434.7,4.0,2.0,617.2
5.0,4.0,119.5,5.0,4.0,251.5,5.0,4.0,134.2,5.0,3.0,205.2,4.0,3.0,384.9,4.0,3.0,725.2
5.0,6.0,130.6,5.0,6.0,272.8,5.0,6.0,176.1,5.0,6.0,183.1,4.0,6.0,392.4,4.0,5.0,773.3
6.0,2.0,121.1,6.0,1.0,217.5,6.0,1.0,209.6,6.0,1.0,281.2,6.0,1.0,500.0,5.0,1.0,761.7
6.0,3.0,141.1,6.0,3.0,294.1,6.0,2.0,265.9,6.0,2.0,353.5,6.0,2.0,484.8,5.0,2.0,806.3
6.0,4.0,157.2,6.0,4.0,288.2,6.0,4.0,235.9,6.0,3.0,346.4,6.0,3.0,640.8,5.0,3.0,952.1
6.0,5.0,234.5,6.0,5.0,399.4,6.0,5.0,357.6,6.0,5.0,346.2,6.0,4.0,546.0,5.0,4.0,745.7
