1,佐藤　謙史朗,佐藤　謙史朗.1,2,中尾 彩香,中尾 彩香.1,3,山戸 信二,山戸 信二.1,4,林 恵祐,林 恵祐.1,5,吉永 浩則,吉永 浩則.1,6,嶋田 有里,嶋田 有里.1
2.0,3.0,9.6,1.0,3.0,40.8,1.0,2.0,64.3,1.0,2.0,68.9,1.0,2.0,200.6,1.0,2.0,1475.0
2.0,4.0,11.2,1.0,4.0,45.6,1.0,4.0,39.8,1.0,3.0,46.5,1.0,3.0,180.9,1.0,3.0,1328.0
2.0,5.0,17.9,1.0,5.0,56.0,1.0,5.0,56.1,1.0,5.0,47.7,1.0,4.0,176.8,1.0,4.0,2415.0
2.0,6.0,84.2,1.0,6.0,223.2,1.0,6.0,207.5,1.0,6.0,181.2,1.0,6.0,490.1,1.0,5.0,2251.0
3.0,2.0,11.5,3.0,1.0,114.3,2.0,1.0,131.1,2.0,1.0,134.0,2.0,1.0,374.1,2.0,1.0,1982.0
3.0,4.0,8.2,3.0,4.0,221.3,2.0,4.0,210.5,2.0,3.0,245.9,2.0,3.0,746.2,2.0,3.0,3239.0
3.0,5.0,13.9,3.0,5.0,303.2,2.0,5.0,230.2,2.0,5.0,196.4,2.0,4.0,667.4,2.0,4.0,3162.0
3.0,6.0,78.5,3.0,6.0,667.4,2.0,6.0,434.0,2.0,6.0,505.0,2.0,6.0,1302.0,2.0,5.0,3906.0
4.0,2.0,15.0,4.0,1.0,106.0,4.0,1.0,72.5,3.0,1.0,111.3,3.0,1.0,316.2,3.0,1.0,1660.0
4.0,3.0,11.2,4.0,3.0,217.0,4.0,2.0,167.0,3.0,2.0,290.6,3.0,2.0,729.8,3.0,2.0,3795.0
4.0,5.0,14.8,4.0,5.0,228.6,4.0,5.0,95.2,3.0,5.0,169.2,3.0,4.0,385.0,3.0,4.0,2506.0
4.0,6.0,87.5,4.0,6.0,651.1,4.0,6.0,336.2,3.0,6.0,567.6,3.0,6.0,1355.0,3.0,5.0,3089.0
5.0,2.0,37.0,5.0,1.0,205.2,5.0,1.0,133.3,5.0,1.0,102.6,4.0,1.0,232.2,4.0,1.0,2710.0
5.0,3.0,32.8,5.0,3.0,466.0,5.0,2.0,262.5,5.0,2.0,214.2,4.0,2.0,476.0,4.0,2.0,4025.0
5.0,4.0,34.2,5.0,4.0,466.0,5.0,4.0,162.1,5.0,3.0,186.5,4.0,3.0,391.8,4.0,3.0,3239.0
5.0,6.0,138.9,5.0,6.0,1229.0,5.0,6.0,477.8,5.0,6.0,303.9,4.0,6.0,763.3,4.0,5.0,3589.0
6.0,2.0,279.0,6.0,1.0,862.5,6.0,1.0,729.8,6.0,1.0,825.0,6.0,1.0,1207.0,5.0,1.0,1982.0
6.0,3.0,259.9,6.0,3.0,1196.0,6.0,2.0,785.9,6.0,2.0,1021.0,6.0,2.0,2177.0,5.0,2.0,3689.0
6.0,4.0,404.9,6.0,4.0,1771.0,6.0,4.0,1079.0,6.0,3.0,873.8,6.0,3.0,1819.0,5.0,3.0,3795.0
6.0,5.0,408.7,6.0,5.0,1794.0,6.0,5.0,835.4,6.0,5.0,885.5,6.0,4.0,1562.0,5.0,4.0,3906.0
