1,溝口　海義也,溝口　海義也.1,2,山口 隆史,山口 隆史.1,3,岡村 慶太,岡村 慶太.1,4,田中 孝明,田中 孝明.1,5,田中 京介,田中 京介.1,6,柴田 大輔,柴田 大輔.1
2.0,3.0,14.3,1.0,3.0,102.9,1.0,2.0,19.1,1.0,2.0,414.4,1.0,2.0,161.4,1.0,2.0,700.6
2.0,4.0,51.7,1.0,4.0,279.9,1.0,4.0,20.4,1.0,3.0,205.3,1.0,3.0,84.0,1.0,3.0,418.8
2.0,5.0,48.2,1.0,5.0,223.9,1.0,5.0,13.0,1.0,5.0,345.7,1.0,4.0,266.1,1.0,4.0,1181.0
2.0,6.0,95.9,1.0,6.0,369.5,1.0,6.0,27.7,1.0,6.0,517.4,1.0,6.0,197.4,1.0,5.0,915.2
3.0,2.0,5.9,3.0,1.0,176.4,2.0,1.0,77.8,2.0,1.0,778.0,2.0,1.0,363.1,2.0,1.0,1271.0
3.0,4.0,8.1,3.0,4.0,619.7,2.0,4.0,212.3,2.0,3.0,934.1,2.0,3.0,510.7,2.0,3.0,1666.0
3.0,5.0,5.1,3.0,5.0,469.8,2.0,5.0,167.0,2.0,5.0,1155.0,2.0,4.0,948.1,2.0,4.0,3333.0
3.0,6.0,14.5,3.0,6.0,894.5,2.0,6.0,312.9,2.0,6.0,1666.0,2.0,6.0,1222.0,2.0,5.0,2827.0
4.0,2.0,66.0,4.0,1.0,816.1,4.0,1.0,83.5,3.0,1.0,323.7,3.0,1.0,114.8,3.0,1.0,476.9
4.0,3.0,35.2,4.0,3.0,962.5,4.0,2.0,236.5,3.0,2.0,814.0,3.0,2.0,337.2,3.0,2.0,1251.0
4.0,5.0,75.2,4.0,5.0,1452.0,4.0,5.0,124.6,3.0,5.0,547.8,3.0,4.0,418.3,3.0,4.0,1591.0
4.0,6.0,122.1,4.0,6.0,2043.0,4.0,6.0,193.4,3.0,6.0,824.6,3.0,6.0,330.9,3.0,5.0,1062.0
5.0,2.0,53.6,5.0,1.0,611.3,5.0,1.0,41.0,5.0,1.0,644.9,4.0,1.0,770.4,4.0,1.0,2017.0
5.0,3.0,21.3,5.0,3.0,789.7,5.0,2.0,130.6,5.0,2.0,1388.0,4.0,2.0,2278.0,4.0,2.0,4460.0
5.0,4.0,82.7,5.0,4.0,1522.0,5.0,4.0,117.1,5.0,3.0,764.9,4.0,3.0,1028.0,4.0,3.0,3166.0
5.0,6.0,75.9,5.0,6.0,1575.0,5.0,6.0,105.8,5.0,6.0,1028.0,4.0,6.0,1251.0,4.0,5.0,3198.0
6.0,2.0,208.0,6.0,1.0,1376.0,6.0,1.0,146.1,6.0,1.0,1177.0,6.0,1.0,469.1,5.0,1.0,1319.0
6.0,3.0,97.2,6.0,3.0,1830.0,6.0,2.0,385.7,6.0,2.0,2043.0,6.0,2.0,1190.0,5.0,2.0,2753.0
6.0,4.0,267.0,6.0,4.0,1919.0,6.0,4.0,381.5,6.0,3.0,1759.0,6.0,3.0,606.6,5.0,3.0,1426.0
6.0,5.0,187.8,6.0,5.0,1991.0,6.0,5.0,266.7,6.0,5.0,2169.0,6.0,4.0,1413.0,5.0,4.0,2638.0
