1,古澤 光紀,古澤 光紀.1,2,吉川 貴仁,吉川 貴仁.1,3,佐藤　隆太郎,佐藤　隆太郎.1,4,西山 貴浩,西山 貴浩.1,5,下條　雄太郎,下條　雄太郎.1,6,渡邉 和将,渡邉 和将.1
2.0,3.0,15.0,1.0,3.0,52.0,1.0,2.0,49.5,1.0,2.0,114.1,1.0,2.0,229.7,1.0,2.0,1312.0
2.0,4.0,14.9,1.0,4.0,61.3,1.0,4.0,26.9,1.0,3.0,71.7,1.0,3.0,156.8,1.0,3.0,1292.0
2.0,5.0,28.9,1.0,5.0,80.7,1.0,5.0,32.3,1.0,5.0,77.3,1.0,4.0,217.1,1.0,4.0,1237.0
2.0,6.0,71.8,1.0,6.0,154.7,1.0,6.0,81.6,1.0,6.0,154.1,1.0,6.0,326.2,1.0,5.0,1672.0
3.0,2.0,16.0,3.0,1.0,88.9,2.0,1.0,87.0,2.0,1.0,229.8,2.0,1.0,367.2,2.0,1.0,1688.0
3.0,4.0,9.9,3.0,4.0,77.9,2.0,4.0,61.9,2.0,3.0,232.9,2.0,3.0,304.8,2.0,3.0,1625.0
3.0,5.0,15.0,3.0,5.0,86.2,2.0,5.0,65.6,2.0,5.0,255.5,2.0,4.0,430.4,2.0,4.0,1774.0
3.0,6.0,48.9,3.0,6.0,158.8,2.0,6.0,114.9,2.0,6.0,377.2,2.0,6.0,507.7,2.0,5.0,1774.0
4.0,2.0,21.2,4.0,1.0,137.3,4.0,1.0,43.7,3.0,1.0,92.9,3.0,1.0,223.2,3.0,1.0,1402.0
4.0,3.0,15.1,4.0,3.0,130.7,4.0,2.0,65.9,3.0,2.0,178.4,3.0,2.0,278.9,3.0,2.0,1559.0
4.0,5.0,22.3,4.0,5.0,176.4,4.0,5.0,39.8,3.0,5.0,93.6,3.0,4.0,238.3,3.0,4.0,1312.0
4.0,6.0,60.8,4.0,6.0,280.0,4.0,6.0,83.9,3.0,6.0,191.4,3.0,6.0,324.4,3.0,5.0,1155.0
5.0,2.0,52.9,5.0,1.0,237.7,5.0,1.0,65.4,5.0,1.0,131.4,4.0,1.0,297.2,4.0,1.0,1525.0
5.0,3.0,40.3,5.0,3.0,184.9,5.0,2.0,85.7,5.0,2.0,219.9,4.0,2.0,455.8,4.0,2.0,2010.0
5.0,4.0,47.8,5.0,4.0,271.5,5.0,4.0,60.7,5.0,3.0,147.8,4.0,3.0,296.2,4.0,3.0,1921.0
5.0,6.0,101.6,5.0,6.0,402.0,5.0,6.0,97.0,5.0,6.0,199.2,4.0,6.0,454.0,4.0,5.0,1672.0
6.0,2.0,224.2,6.0,1.0,617.7,6.0,1.0,279.8,6.0,1.0,407.2,6.0,1.0,778.0,5.0,1.0,2058.0
6.0,3.0,219.5,6.0,3.0,608.0,6.0,2.0,274.7,6.0,2.0,580.6,6.0,2.0,882.7,5.0,2.0,2201.0
6.0,4.0,200.4,6.0,4.0,674.0,6.0,4.0,232.0,6.0,3.0,477.1,6.0,3.0,613.4,5.0,3.0,1473.0
6.0,5.0,253.8,6.0,5.0,785.1,6.0,5.0,207.7,6.0,5.0,386.4,6.0,4.0,826.1,5.0,4.0,1595.0
