1,立間 充宏,立間 充宏.1,2,相原 利章,相原 利章.1,3,奥田 誠,奥田 誠.1,4,山下 大輝,山下 大輝.1,5,平見 真彦,平見 真彦.1,6,杢野 誓良,杢野 誓良.1
2.0,3.0,11.9,1.0,3.0,51.9,1.0,2.0,223.5,1.0,2.0,80.5,1.0,2.0,65.4,1.0,2.0,653.7
2.0,4.0,6.9,1.0,4.0,33.9,1.0,4.0,299.2,1.0,3.0,235.4,1.0,3.0,224.5,1.0,3.0,1781.0
2.0,5.0,6.2,1.0,5.0,27.3,1.0,5.0,231.2,1.0,5.0,70.6,1.0,4.0,116.1,1.0,4.0,1299.0
2.0,6.0,24.3,1.0,6.0,73.5,1.0,6.0,436.0,1.0,6.0,135.0,1.0,6.0,140.2,1.0,5.0,902.5
3.0,2.0,24.5,3.0,1.0,224.2,2.0,1.0,412.0,2.0,1.0,153.0,2.0,1.0,125.7,2.0,1.0,1048.0
3.0,4.0,30.1,3.0,4.0,450.0,2.0,4.0,562.9,2.0,3.0,459.9,2.0,3.0,474.1,2.0,3.0,3300.0
3.0,5.0,29.6,3.0,5.0,382.5,2.0,5.0,572.5,2.0,5.0,174.0,2.0,4.0,318.5,2.0,4.0,1626.0
3.0,6.0,68.6,3.0,6.0,741.5,2.0,6.0,922.3,2.0,6.0,312.2,2.0,6.0,322.1,2.0,5.0,1809.0
4.0,2.0,12.8,4.0,1.0,131.0,4.0,1.0,761.6,3.0,1.0,720.8,3.0,1.0,532.6,3.0,1.0,2902.0
4.0,3.0,34.4,4.0,3.0,419.7,4.0,2.0,825.1,3.0,2.0,850.1,3.0,2.0,897.7,3.0,2.0,4156.0
4.0,5.0,16.4,4.0,5.0,211.7,4.0,5.0,876.7,3.0,5.0,723.9,3.0,4.0,1023.0,3.0,4.0,4156.0
4.0,6.0,35.0,4.0,6.0,401.2,4.0,6.0,1256.0,3.0,6.0,1082.0,3.0,6.0,1189.0,3.0,5.0,4261.0
5.0,2.0,12.1,5.0,1.0,98.7,5.0,1.0,581.4,5.0,1.0,98.1,4.0,1.0,170.5,4.0,1.0,1444.0
5.0,3.0,38.8,5.0,3.0,381.2,5.0,2.0,1007.0,5.0,2.0,149.9,4.0,2.0,261.3,4.0,2.0,1800.0
5.0,4.0,21.7,5.0,4.0,232.4,5.0,4.0,1023.0,5.0,3.0,440.0,4.0,3.0,761.6,4.0,3.0,2927.0
5.0,6.0,33.9,5.0,6.0,333.9,5.0,6.0,1414.0,5.0,6.0,154.7,4.0,6.0,300.3,4.0,5.0,2091.0
6.0,2.0,90.8,6.0,1.0,401.7,6.0,1.0,1341.0,6.0,1.0,381.6,6.0,1.0,381.6,5.0,1.0,1122.0
6.0,3.0,193.0,6.0,3.0,1265.0,6.0,2.0,2003.0,6.0,2.0,539.5,6.0,2.0,550.9,5.0,2.0,1880.0
6.0,4.0,101.4,6.0,4.0,841.6,6.0,4.0,1957.0,6.0,3.0,1103.0,6.0,3.0,1100.0,5.0,3.0,3782.0
6.0,5.0,107.3,6.0,5.0,733.4,6.0,5.0,2015.0,6.0,5.0,402.2,6.0,4.0,665.3,5.0,4.0,2404.0
