1,眞鳥 章太,眞鳥 章太.1,2,青木　幸太郎,青木　幸太郎.1,3,籾山 佳岳,籾山 佳岳.1,4,米田 隆弘,米田 隆弘.1,5,冨田 秀幸,冨田 秀幸.1,6,中岡 正彦,中岡 正彦.1
2.0,3.0,16.1,1.0,3.0,38.4,1.0,2.0,99.9,1.0,2.0,68.1,1.0,2.0,645.4,1.0,2.0,64.1
2.0,4.0,12.5,1.0,4.0,21.9,1.0,4.0,85.7,1.0,3.0,123.3,1.0,3.0,792.5,1.0,3.0,172.4
2.0,5.0,86.4,1.0,5.0,117.7,1.0,5.0,291.0,1.0,5.0,188.8,1.0,4.0,712.5,1.0,4.0,77.8
2.0,6.0,12.1,1.0,6.0,22.4,1.0,6.0,114.2,1.0,6.0,57.7,1.0,6.0,688.6,1.0,5.0,317.7
3.0,2.0,26.1,3.0,1.0,94.0,2.0,1.0,145.3,2.0,1.0,85.4,2.0,1.0,728.6,2.0,1.0,77.6
3.0,4.0,23.5,3.0,4.0,89.3,2.0,4.0,141.0,2.0,3.0,187.4,2.0,3.0,1055.0,2.0,3.0,174.9
3.0,5.0,107.1,3.0,5.0,258.4,2.0,5.0,443.7,2.0,5.0,283.0,2.0,4.0,872.1,2.0,4.0,68.8
3.0,6.0,31.5,3.0,6.0,90.7,2.0,6.0,172.1,2.0,6.0,66.0,2.0,6.0,697.1,2.0,5.0,388.7
4.0,2.0,20.1,4.0,1.0,49.8,4.0,1.0,153.3,3.0,1.0,228.1,3.0,1.0,1031.0,3.0,1.0,324.0
4.0,3.0,27.7,4.0,3.0,85.2,4.0,2.0,185.9,3.0,2.0,262.3,3.0,2.0,1403.0,3.0,2.0,294.5
4.0,5.0,96.5,4.0,5.0,180.5,4.0,5.0,302.8,3.0,5.0,409.9,3.0,4.0,1146.0,3.0,4.0,254.6
4.0,6.0,21.3,4.0,6.0,34.2,4.0,6.0,111.2,3.0,6.0,159.0,3.0,6.0,1026.0,3.0,5.0,717.1
5.0,2.0,301.1,5.0,1.0,393.5,5.0,1.0,787.0,5.0,1.0,323.6,4.0,1.0,708.1,4.0,1.0,101.7
5.0,3.0,312.4,5.0,3.0,499.7,5.0,2.0,990.7,5.0,2.0,414.4,4.0,2.0,875.5,4.0,2.0,78.2
5.0,4.0,257.8,5.0,4.0,450.8,5.0,4.0,682.4,5.0,3.0,550.9,4.0,3.0,999.5,4.0,3.0,193.3
5.0,6.0,283.7,5.0,6.0,394.2,5.0,6.0,483.7,5.0,6.0,206.2,4.0,6.0,567.5,4.0,5.0,247.4
6.0,2.0,20.9,6.0,1.0,47.4,6.0,1.0,177.1,6.0,1.0,66.0,6.0,1.0,965.3,5.0,1.0,728.6
6.0,3.0,43.3,6.0,3.0,84.7,6.0,2.0,206.2,6.0,2.0,61.3,6.0,2.0,875.5,5.0,2.0,705.9
6.0,4.0,30.3,6.0,4.0,42.8,6.0,4.0,149.5,6.0,3.0,134.2,6.0,3.0,862.1,5.0,3.0,896.3
6.0,5.0,140.8,6.0,5.0,207.6,6.0,5.0,321.3,6.0,5.0,127.4,6.0,4.0,600.7,5.0,4.0,492.1
