1,岡本 慎治,岡本 慎治.1,2,横田 茂,横田 茂.1,3,三好 勇人,三好 勇人.1,4,西尾 亮輔,西尾 亮輔.1,5,佐藤 大騎,佐藤 大騎.1,6,木場　雄二郎,木場　雄二郎.1
2.0,3.0,13.1,1.0,3.0,21.5,1.0,2.0,24.7,1.0,2.0,75.9,1.0,2.0,203.2,1.0,2.0,438.1
2.0,4.0,22.9,1.0,4.0,35.4,1.0,4.0,34.5,1.0,3.0,67.0,1.0,3.0,232.2,1.0,3.0,603.1
2.0,5.0,41.5,1.0,5.0,65.7,1.0,5.0,49.5,1.0,5.0,99.4,1.0,4.0,253.0,1.0,4.0,518.9
2.0,6.0,54.6,1.0,6.0,71.8,1.0,6.0,70.2,1.0,6.0,98.5,1.0,6.0,264.6,1.0,5.0,1067.0
3.0,2.0,14.1,3.0,1.0,37.9,2.0,1.0,34.4,2.0,1.0,88.7,2.0,1.0,265.3,2.0,1.0,513.1
3.0,4.0,19.8,3.0,4.0,57.6,2.0,4.0,51.7,2.0,3.0,87.9,2.0,3.0,305.5,2.0,3.0,527.7
3.0,5.0,34.3,3.0,5.0,86.6,2.0,5.0,63.4,2.0,5.0,127.5,2.0,4.0,362.8,2.0,4.0,459.8
3.0,6.0,49.7,3.0,6.0,114.6,2.0,6.0,94.9,2.0,6.0,102.8,2.0,6.0,342.7,2.0,5.0,787.1
4.0,2.0,35.7,4.0,1.0,75.3,4.0,1.0,45.0,3.0,1.0,93.5,3.0,1.0,285.8,3.0,1.0,615.1
4.0,3.0,32.2,4.0,3.0,76.4,4.0,2.0,47.7,3.0,2.0,96.3,3.0,2.0,284.9,3.0,2.0,414.6
4.0,5.0,71.7,4.0,5.0,172.0,4.0,5.0,66.5,3.0,5.0,88.8,3.0,4.0,367.1,3.0,4.0,478.7
4.0,6.0,80.9,4.0,6.0,147.2,4.0,6.0,69.4,3.0,6.0,91.6,3.0,6.0,367.1,3.0,5.0,774.0
5.0,2.0,93.2,5.0,1.0,189.5,5.0,1.0,98.0,5.0,1.0,91.5,4.0,1.0,243.1,4.0,1.0,518.9
5.0,3.0,86.0,5.0,3.0,178.9,5.0,2.0,88.4,5.0,2.0,115.5,4.0,2.0,277.2,4.0,2.0,426.0
5.0,4.0,126.0,5.0,4.0,271.5,5.0,4.0,106.0,5.0,3.0,94.2,4.0,3.0,337.7,4.0,3.0,543.1
5.0,6.0,171.3,5.0,6.0,342.7,5.0,6.0,116.2,5.0,6.0,77.9,4.0,6.0,238.7,4.0,5.0,587.8
6.0,2.0,161.8,6.0,1.0,270.8,6.0,1.0,206.4,6.0,1.0,132.8,6.0,1.0,390.2,5.0,1.0,1658.0
6.0,3.0,166.7,6.0,3.0,249.6,6.0,2.0,185.7,6.0,2.0,112.3,6.0,2.0,440.2,5.0,2.0,938.2
6.0,4.0,198.4,6.0,4.0,262.3,6.0,4.0,175.9,6.0,3.0,108.0,6.0,3.0,424.1,5.0,3.0,928.8
6.0,5.0,315.9,6.0,5.0,491.4,6.0,5.0,215.0,6.0,5.0,102.0,6.0,4.0,405.6,5.0,4.0,749.0
