1,中辻 崇人,中辻 崇人.1,2,飯山 晃三,飯山 晃三.1,3,星野 太郎,星野 太郎.1,4,常住 蓮,常住 蓮.1,5,村本 大成,村本 大成.1,6,川島 拓郎,川島 拓郎.1
2.0,3.0,20.1,1.0,3.0,280.2,1.0,2.0,99.2,1.0,2.0,80.3,1.0,2.0,1565.0,1.0,2.0,1161.0
2.0,4.0,20.3,1.0,4.0,401.4,1.0,4.0,25.0,1.0,3.0,28.1,1.0,3.0,1299.0,1.0,3.0,693.1
2.0,5.0,125.6,1.0,5.0,1135.0,1.0,5.0,179.4,1.0,5.0,124.9,1.0,4.0,1524.0,1.0,4.0,499.9
2.0,6.0,65.9,1.0,6.0,810.9,1.0,6.0,62.4,1.0,6.0,43.9,1.0,6.0,1530.0,1.0,5.0,2265.0
3.0,2.0,12.9,3.0,1.0,375.1,2.0,1.0,270.3,2.0,1.0,324.1,2.0,1.0,2917.0,2.0,1.0,2156.0
3.0,4.0,3.9,3.0,4.0,738.5,2.0,4.0,518.5,2.0,3.0,513.2,2.0,3.0,3789.0,2.0,3.0,3243.0
3.0,5.0,48.2,3.0,5.0,2633.0,2.0,5.0,1417.0,2.0,5.0,956.3,2.0,4.0,3653.0,2.0,4.0,2330.0
3.0,6.0,14.9,3.0,6.0,1786.0,2.0,6.0,930.0,2.0,6.0,539.9,2.0,6.0,3192.0,2.0,5.0,4770.0
4.0,2.0,12.8,4.0,1.0,681.4,4.0,1.0,50.5,3.0,1.0,56.4,3.0,1.0,1877.0,3.0,1.0,986.5
4.0,3.0,4.3,4.0,3.0,1045.0,4.0,2.0,237.1,3.0,2.0,226.5,3.0,2.0,3495.0,3.0,2.0,2721.0
4.0,5.0,43.2,4.0,5.0,3351.0,4.0,5.0,301.9,3.0,5.0,287.9,3.0,4.0,1921.0,3.0,4.0,868.2
4.0,6.0,11.9,4.0,6.0,1437.0,4.0,6.0,109.7,3.0,6.0,112.3,3.0,6.0,3556.0,3.0,5.0,2875.0
5.0,2.0,352.5,5.0,1.0,3167.0,5.0,1.0,757.9,5.0,1.0,346.8,4.0,1.0,1718.0,4.0,1.0,633.5
5.0,3.0,243.0,5.0,3.0,3936.0,5.0,2.0,1583.0,5.0,2.0,815.8,4.0,2.0,2796.0,4.0,2.0,1851.0
5.0,4.0,249.0,5.0,4.0,4770.0,5.0,4.0,932.1,5.0,3.0,587.6,4.0,3.0,2290.0,4.0,3.0,1084.0
5.0,6.0,332.0,5.0,6.0,4268.0,5.0,6.0,1145.0,5.0,6.0,419.7,4.0,6.0,1940.0,4.0,5.0,2616.0
6.0,2.0,117.4,6.0,1.0,1930.0,6.0,1.0,315.8,6.0,1.0,113.0,6.0,1.0,2487.0,5.0,1.0,3465.0
6.0,3.0,67.6,6.0,3.0,2875.0,6.0,2.0,1078.0,6.0,2.0,343.3,6.0,2.0,4054.0,5.0,2.0,4885.0
6.0,4.0,54.6,6.0,4.0,2191.0,6.0,4.0,313.8,6.0,3.0,155.8,6.0,3.0,3754.0,5.0,3.0,3720.0
6.0,5.0,314.8,6.0,5.0,4268.0,6.0,5.0,970.0,6.0,5.0,374.7,6.0,4.0,3026.0,5.0,4.0,3143.0
