1,守田 俊介,守田 俊介.1,2,小野寺　智洋,小野寺　智洋.1,3,眞鳥 章太,眞鳥 章太.1,4,中村 有裕,中村 有裕.1,5,横田 茂,横田 茂.1,6,山田 佑樹,山田 佑樹.1
2.0,3.0,10.6,1.0,3.0,85.1,1.0,2.0,232.8,1.0,2.0,70.3,1.0,2.0,428.4,1.0,2.0,378.3
2.0,4.0,5.3,1.0,4.0,49.0,1.0,4.0,220.7,1.0,3.0,174.6,1.0,3.0,754.2,1.0,3.0,1071.0
2.0,5.0,17.5,1.0,5.0,124.0,1.0,5.0,436.9,1.0,5.0,119.6,1.0,4.0,445.8,1.0,4.0,384.3
2.0,6.0,12.8,1.0,6.0,96.2,1.0,6.0,409.4,1.0,6.0,86.5,1.0,6.0,333.3,1.0,5.0,512.1
3.0,2.0,18.0,3.0,1.0,352.3,2.0,1.0,514.9,2.0,1.0,161.2,2.0,1.0,857.6,2.0,1.0,684.6
3.0,4.0,17.1,3.0,4.0,510.0,2.0,4.0,716.1,2.0,3.0,510.5,2.0,3.0,1425.0,2.0,3.0,3129.0
3.0,5.0,36.9,3.0,5.0,932.2,2.0,5.0,1377.0,2.0,5.0,501.5,2.0,4.0,1673.0,2.0,4.0,1261.0
3.0,6.0,31.7,3.0,6.0,778.6,2.0,6.0,1139.0,2.0,6.0,320.0,2.0,6.0,1469.0,2.0,5.0,2409.0
4.0,2.0,7.7,4.0,1.0,160.3,4.0,1.0,589.9,3.0,1.0,555.9,3.0,1.0,1492.0,3.0,1.0,1575.0
4.0,3.0,16.1,4.0,3.0,442.5,4.0,2.0,781.1,3.0,2.0,751.9,3.0,2.0,2886.0,3.0,2.0,3825.0
4.0,5.0,18.0,4.0,5.0,518.8,4.0,5.0,1381.0,3.0,5.0,1251.0,3.0,4.0,2769.0,3.0,4.0,3109.0
4.0,6.0,12.1,4.0,6.0,346.7,4.0,6.0,1066.0,3.0,6.0,842.6,3.0,6.0,2273.0,3.0,5.0,2975.0
5.0,2.0,34.0,5.0,1.0,477.2,5.0,1.0,965.8,5.0,1.0,218.0,4.0,1.0,605.5,4.0,1.0,534.9
5.0,3.0,55.8,5.0,3.0,1018.0,5.0,2.0,1882.0,5.0,2.0,395.7,4.0,2.0,1043.0,4.0,2.0,1100.0
5.0,4.0,37.6,5.0,4.0,965.8,5.0,4.0,2042.0,5.0,3.0,848.5,4.0,3.0,1785.0,4.0,3.0,2619.0
5.0,6.0,44.7,5.0,6.0,819.6,5.0,6.0,1373.0,5.0,6.0,280.5,4.0,6.0,825.3,4.0,5.0,1388.0
6.0,2.0,36.0,6.0,1.0,393.4,6.0,1.0,1327.0,6.0,1.0,193.6,6.0,1.0,501.0,5.0,1.0,709.8
6.0,3.0,68.7,6.0,3.0,839.6,6.0,2.0,2059.0,6.0,2.0,375.6,6.0,2.0,1285.0,5.0,2.0,1951.0
6.0,4.0,34.4,6.0,4.0,648.6,6.0,4.0,2008.0,6.0,3.0,796.6,6.0,3.0,2142.0,5.0,3.0,3442.0
6.0,5.0,62.2,6.0,5.0,869.9,6.0,5.0,1839.0,6.0,5.0,363.2,6.0,4.0,1095.0,5.0,4.0,1580.0
