1,高倉 和士,高倉 和士.1,2,春園 功太,春園 功太.1,3,古賀 繁輝,古賀 繁輝.1,4,平本 真之,平本 真之.1,5,市橋 卓士,市橋 卓士.1,6,白神 優,白神 優.1
2.0,3.0,11.2,1.0,3.0,42.2,1.0,2.0,55.0,1.0,2.0,148.2,1.0,2.0,174.6,1.0,2.0,1048.0
2.0,4.0,15.6,1.0,4.0,62.1,1.0,4.0,46.6,1.0,3.0,146.1,1.0,3.0,132.2,1.0,3.0,1001.0
2.0,5.0,17.8,1.0,5.0,53.5,1.0,5.0,39.2,1.0,5.0,138.7,1.0,4.0,216.8,1.0,4.0,1183.0
2.0,6.0,47.8,1.0,6.0,99.9,1.0,6.0,80.4,1.0,6.0,180.2,1.0,6.0,210.1,1.0,5.0,1131.0
3.0,2.0,11.2,3.0,1.0,85.2,2.0,1.0,109.5,2.0,1.0,325.8,2.0,1.0,370.9,2.0,1.0,1685.0
3.0,4.0,10.3,3.0,4.0,131.5,2.0,4.0,141.4,2.0,3.0,461.1,2.0,3.0,383.1,2.0,3.0,1546.0
3.0,5.0,10.6,3.0,5.0,92.6,2.0,5.0,116.9,2.0,5.0,421.3,2.0,4.0,593.1,2.0,4.0,1920.0
3.0,6.0,29.8,3.0,6.0,166.9,2.0,6.0,164.2,2.0,6.0,518.3,2.0,6.0,500.0,2.0,5.0,1768.0
4.0,2.0,23.5,4.0,1.0,211.8,4.0,1.0,100.6,3.0,1.0,217.0,3.0,1.0,212.6,3.0,1.0,1588.0
4.0,3.0,19.4,4.0,3.0,261.1,4.0,2.0,191.0,3.0,2.0,346.3,3.0,2.0,332.5,3.0,2.0,1977.0
4.0,5.0,24.9,4.0,5.0,267.9,4.0,5.0,102.7,3.0,5.0,242.1,3.0,4.0,388.5,3.0,4.0,1599.0
4.0,6.0,49.0,4.0,6.0,341.0,4.0,6.0,163.3,3.0,6.0,313.6,3.0,6.0,350.4,3.0,5.0,1599.0
5.0,2.0,30.3,5.0,1.0,188.1,5.0,1.0,66.9,5.0,1.0,220.4,4.0,1.0,393.0,4.0,1.0,1729.0
5.0,3.0,22.1,5.0,3.0,178.2,5.0,2.0,134.7,5.0,2.0,350.7,4.0,2.0,737.8,4.0,2.0,2366.0
5.0,4.0,36.0,5.0,4.0,279.9,5.0,4.0,117.7,5.0,3.0,292.6,4.0,3.0,532.4,4.0,3.0,1912.0
5.0,6.0,49.3,5.0,6.0,278.5,5.0,6.0,123.8,5.0,6.0,236.2,4.0,6.0,434.2,4.0,5.0,1667.0
6.0,2.0,130.1,6.0,1.0,585.7,6.0,1.0,385.6,6.0,1.0,461.6,6.0,1.0,537.9,5.0,1.0,1210.0
6.0,3.0,108.0,6.0,3.0,614.9,6.0,2.0,514.9,6.0,2.0,662.7,6.0,2.0,735.5,5.0,2.0,1441.0
6.0,4.0,154.1,6.0,4.0,786.1,6.0,4.0,437.0,6.0,3.0,599.1,6.0,3.0,654.4,5.0,3.0,1242.0
6.0,5.0,130.4,6.0,5.0,594.6,6.0,5.0,336.8,6.0,5.0,429.4,6.0,4.0,459.3,5.0,4.0,924.1
