1,岡崎 恭裕,岡崎 恭裕.1,2,下河 雅史,下河 雅史.1,3,宮脇 遼太,宮脇 遼太.1,4,前田　健太郎,前田　健太郎.1,5,宮地 秀祈,宮地 秀祈.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,4.5,1.0,3.0,31.1,1.0,2.0,20.4,1.0,2.0,309.4,1.0,2.0,636.9,1.0,2.0,189.8
2.0,4.0,14.9,1.0,4.0,84.3,1.0,4.0,37.2,1.0,3.0,341.8,1.0,3.0,578.1,1.0,3.0,196.3
2.0,5.0,20.5,1.0,5.0,121.4,1.0,5.0,46.6,1.0,5.0,537.1,1.0,4.0,1222.0,1.0,4.0,597.8
2.0,6.0,31.6,1.0,6.0,115.0,1.0,6.0,44.4,1.0,6.0,573.2,1.0,6.0,1086.0,1.0,5.0,525.2
3.0,2.0,5.4,3.0,1.0,49.3,2.0,1.0,37.7,2.0,1.0,549.0,2.0,1.0,943.2,2.0,1.0,319.0
3.0,4.0,11.3,3.0,4.0,175.4,2.0,4.0,103.3,2.0,3.0,728.8,2.0,3.0,1073.0,2.0,3.0,342.0
3.0,5.0,15.6,3.0,5.0,179.3,2.0,5.0,113.5,2.0,5.0,1219.0,2.0,4.0,2096.0,2.0,4.0,895.2
3.0,6.0,23.2,3.0,6.0,149.9,2.0,6.0,87.3,2.0,6.0,1096.0,2.0,6.0,1662.0,2.0,5.0,901.1
4.0,2.0,52.5,4.0,1.0,300.2,4.0,1.0,82.6,3.0,1.0,421.9,3.0,1.0,658.4,3.0,1.0,239.9
4.0,3.0,50.6,4.0,3.0,371.8,4.0,2.0,131.6,3.0,2.0,601.0,3.0,2.0,827.3,3.0,2.0,292.1
4.0,5.0,117.3,4.0,5.0,808.8,4.0,5.0,162.6,3.0,5.0,778.8,3.0,4.0,1323.0,3.0,4.0,616.0
4.0,6.0,122.0,4.0,6.0,774.4,4.0,6.0,139.4,3.0,6.0,750.9,3.0,6.0,913.2,3.0,5.0,631.7
5.0,2.0,71.3,5.0,1.0,422.9,5.0,1.0,152.3,5.0,1.0,958.1,4.0,1.0,1566.0,4.0,1.0,1323.0
5.0,3.0,77.4,5.0,3.0,488.0,5.0,2.0,206.8,5.0,2.0,1531.0,4.0,2.0,2319.0,4.0,2.0,1446.0
5.0,4.0,184.9,5.0,4.0,968.3,5.0,4.0,254.2,5.0,3.0,1145.0,4.0,3.0,1961.0,4.0,3.0,1227.0
5.0,6.0,193.6,5.0,6.0,872.3,5.0,6.0,209.8,5.0,6.0,1236.0,4.0,6.0,2105.0,4.0,5.0,1725.0
6.0,2.0,76.6,6.0,1.0,326.2,6.0,1.0,104.2,6.0,1.0,1042.0,6.0,1.0,1709.0,5.0,1.0,1356.0
6.0,3.0,80.5,6.0,3.0,351.0,6.0,2.0,135.3,6.0,2.0,1430.0,6.0,2.0,2004.0,5.0,2.0,1703.0
6.0,4.0,225.7,6.0,4.0,951.4,6.0,4.0,222.3,6.0,3.0,1250.0,6.0,3.0,1394.0,5.0,3.0,1276.0
6.0,5.0,216.9,6.0,5.0,1004.0,6.0,5.0,235.6,6.0,5.0,1342.0,6.0,4.0,2252.0,5.0,4.0,2049.0
