1,小林 一樹,小林 一樹.1,2,末永 由楽,末永 由楽.1,3,長尾 章平,長尾 章平.1,4,山ノ内　雅人,山ノ内　雅人.1,5,森永 隆,森永 隆.1,6,松田　大志郎,松田　大志郎.1
2.0,3.0,13.9,1.0,3.0,31.3,1.0,2.0,72.8,1.0,2.0,184.0,1.0,2.0,372.3,1.0,2.0,51.6
2.0,4.0,21.2,1.0,4.0,39.5,1.0,4.0,83.4,1.0,3.0,258.2,1.0,3.0,397.6,1.0,3.0,63.4
2.0,5.0,37.2,1.0,5.0,53.8,1.0,5.0,80.9,1.0,5.0,230.0,1.0,4.0,517.2,1.0,4.0,108.3
2.0,6.0,20.3,1.0,6.0,41.3,1.0,6.0,83.2,1.0,6.0,226.8,1.0,6.0,408.6,1.0,5.0,105.0
3.0,2.0,19.4,3.0,1.0,41.7,2.0,1.0,68.1,2.0,1.0,218.5,2.0,1.0,452.5,2.0,1.0,80.1
3.0,4.0,28.0,3.0,4.0,36.6,2.0,4.0,52.2,2.0,3.0,229.7,2.0,3.0,453.6,2.0,3.0,108.4
3.0,5.0,41.0,3.0,5.0,39.7,2.0,5.0,53.2,2.0,5.0,208.8,2.0,4.0,478.3,2.0,4.0,150.1
3.0,6.0,25.9,3.0,6.0,57.3,2.0,6.0,83.2,2.0,6.0,247.6,2.0,6.0,456.3,2.0,5.0,154.1
4.0,2.0,49.0,4.0,1.0,80.8,4.0,1.0,117.5,3.0,1.0,309.1,3.0,1.0,521.7,3.0,1.0,139.1
4.0,3.0,56.5,4.0,3.0,70.0,4.0,2.0,102.3,3.0,2.0,268.9,3.0,2.0,516.1,3.0,2.0,147.5
4.0,5.0,75.9,4.0,5.0,79.3,4.0,5.0,99.6,3.0,5.0,208.2,3.0,4.0,579.4,3.0,4.0,235.5
4.0,6.0,58.8,4.0,6.0,103.8,4.0,6.0,144.0,3.0,6.0,336.7,3.0,6.0,624.5,3.0,5.0,194.9
5.0,2.0,90.1,5.0,1.0,146.9,5.0,1.0,162.3,5.0,1.0,367.9,4.0,1.0,634.0,4.0,1.0,288.0
5.0,3.0,96.4,5.0,3.0,111.0,5.0,2.0,137.7,5.0,2.0,319.0,4.0,2.0,548.2,4.0,2.0,277.7
5.0,4.0,140.1,5.0,4.0,149.7,5.0,4.0,155.6,5.0,3.0,300.4,4.0,3.0,591.2,4.0,3.0,355.2
5.0,6.0,103.6,5.0,6.0,165.6,5.0,6.0,176.6,5.0,6.0,337.3,4.0,6.0,614.8,4.0,5.0,352.1
6.0,2.0,21.7,6.0,1.0,76.1,6.0,1.0,145.4,6.0,1.0,348.4,6.0,1.0,598.1,5.0,1.0,330.0
6.0,3.0,27.6,6.0,3.0,88.9,6.0,2.0,141.9,6.0,2.0,321.4,6.0,2.0,592.9,5.0,2.0,336.0
6.0,4.0,46.5,6.0,4.0,126.2,6.0,4.0,192.6,6.0,3.0,399.4,6.0,3.0,713.1,5.0,3.0,347.8
6.0,5.0,58.7,6.0,5.0,112.7,6.0,5.0,159.2,6.0,5.0,330.1,6.0,4.0,730.9,5.0,4.0,457.3
