1,井内　将太郎,井内　将太郎.1,2,伊藤 尚汰,伊藤 尚汰.1,3,村岡 賢,村岡 賢.1,4,岡本 大,岡本 大.1,5,鐘ヶ江　真司,鐘ヶ江　真司.1,6,泥谷 一毅,泥谷 一毅.1
2.0,3.0,17.0,1.0,3.0,112.5,1.0,2.0,268.6,1.0,2.0,286.1,1.0,2.0,760.6,1.0,2.0,7.9
2.0,4.0,20.3,1.0,4.0,121.7,1.0,4.0,392.9,1.0,3.0,503.5,1.0,3.0,1253.0,1.0,3.0,20.6
2.0,5.0,148.1,1.0,5.0,442.7,1.0,5.0,980.7,1.0,5.0,1062.0,1.0,4.0,1294.0,1.0,4.0,21.9
2.0,6.0,7.7,1.0,6.0,54.0,1.0,6.0,227.1,1.0,6.0,245.6,1.0,6.0,599.3,1.0,5.0,50.2
3.0,2.0,31.2,3.0,1.0,275.5,2.0,1.0,393.3,2.0,1.0,464.1,2.0,1.0,1137.0,2.0,1.0,17.2
3.0,4.0,47.4,3.0,4.0,631.1,2.0,4.0,1008.0,2.0,3.0,1429.0,2.0,3.0,1648.0,2.0,3.0,46.3
3.0,5.0,310.3,3.0,5.0,1703.0,2.0,5.0,1797.0,2.0,5.0,3296.0,2.0,4.0,1883.0,2.0,4.0,51.4
3.0,6.0,27.8,3.0,6.0,389.4,2.0,6.0,610.6,2.0,6.0,714.8,2.0,6.0,1065.0,2.0,5.0,100.9
4.0,2.0,40.1,4.0,1.0,329.6,4.0,1.0,896.7,3.0,1.0,898.9,3.0,1.0,2184.0,3.0,1.0,59.5
4.0,3.0,72.4,4.0,3.0,710.5,4.0,2.0,1210.0,3.0,2.0,1610.0,3.0,2.0,2405.0,3.0,2.0,91.6
4.0,5.0,457.5,4.0,5.0,1854.0,4.0,5.0,2656.0,3.0,5.0,2738.0,3.0,4.0,2656.0,3.0,4.0,150.1
4.0,6.0,33.6,4.0,6.0,445.5,4.0,6.0,905.8,3.0,6.0,941.7,3.0,6.0,2357.0,3.0,5.0,243.0
5.0,2.0,409.6,5.0,1.0,1358.0,5.0,1.0,2803.0,5.0,1.0,2847.0,4.0,1.0,2489.0,4.0,1.0,61.6
5.0,3.0,508.5,5.0,3.0,2282.0,5.0,2.0,3266.0,5.0,2.0,3955.0,4.0,2.0,3559.0,4.0,2.0,86.0
5.0,4.0,723.5,5.0,4.0,2917.0,5.0,4.0,3787.0,5.0,3.0,3670.0,4.0,3.0,2870.0,4.0,3.0,173.0
5.0,6.0,270.5,5.0,6.0,1807.0,5.0,6.0,2847.0,5.0,6.0,1745.0,4.0,6.0,2045.0,4.0,5.0,250.5
6.0,2.0,6.0,6.0,1.0,74.7,6.0,1.0,324.2,6.0,1.0,257.5,6.0,1.0,604.4,5.0,1.0,99.9
6.0,3.0,13.7,6.0,3.0,242.8,6.0,2.0,568.6,6.0,2.0,364.7,6.0,2.0,936.8,5.0,2.0,133.8
6.0,4.0,14.7,6.0,4.0,260.9,6.0,4.0,746.3,6.0,3.0,581.6,6.0,3.0,1471.0,5.0,3.0,226.1
6.0,5.0,93.8,6.0,5.0,775.5,6.0,5.0,1999.0,6.0,5.0,1025.0,6.0,4.0,1338.0,5.0,4.0,234.0
