1,角浜 修,角浜 修.1,2,小畑 実成,小畑 実成.1,3,金田 大輔,金田 大輔.1,4,冨田 秀幸,冨田 秀幸.1,5,新田 洋一,新田 洋一.1,6,古澤 信二,古澤 信二.1
2.0,3.0,11.6,1.0,3.0,40.1,1.0,2.0,32.0,1.0,2.0,105.2,1.0,2.0,129.2,1.0,2.0,1151.0
2.0,4.0,13.0,1.0,4.0,35.9,1.0,4.0,26.9,1.0,3.0,128.5,1.0,3.0,122.7,1.0,3.0,1522.0
2.0,5.0,17.5,1.0,5.0,62.4,1.0,5.0,29.8,1.0,5.0,151.8,1.0,4.0,158.6,1.0,4.0,2135.0
2.0,6.0,53.4,1.0,6.0,148.6,1.0,6.0,83.1,1.0,6.0,335.2,1.0,6.0,275.3,1.0,5.0,1765.0
3.0,2.0,12.2,3.0,1.0,84.5,2.0,1.0,63.0,2.0,1.0,137.2,2.0,1.0,241.6,2.0,1.0,1576.0
3.0,4.0,12.0,3.0,4.0,121.7,2.0,4.0,66.6,2.0,3.0,282.9,2.0,3.0,329.4,2.0,3.0,1976.0
3.0,5.0,16.1,3.0,5.0,142.5,2.0,5.0,77.0,2.0,5.0,291.0,2.0,4.0,323.7,2.0,4.0,2135.0
3.0,6.0,68.8,3.0,6.0,332.7,2.0,6.0,193.0,2.0,6.0,570.8,2.0,6.0,529.7,2.0,5.0,2407.0
4.0,2.0,25.1,4.0,1.0,86.8,4.0,1.0,41.0,3.0,1.0,108.3,3.0,1.0,109.4,3.0,1.0,1203.0
4.0,3.0,29.1,4.0,3.0,168.7,4.0,2.0,67.0,3.0,2.0,195.0,3.0,2.0,179.9,3.0,2.0,1471.0
4.0,5.0,38.5,4.0,5.0,157.8,4.0,5.0,40.3,3.0,5.0,111.4,3.0,4.0,142.8,3.0,4.0,2283.0
4.0,6.0,122.8,4.0,6.0,503.5,4.0,6.0,94.9,3.0,6.0,209.2,3.0,6.0,221.0,3.0,5.0,2102.0
5.0,2.0,33.0,5.0,1.0,158.2,5.0,1.0,43.3,5.0,1.0,198.5,4.0,1.0,276.4,4.0,1.0,2135.0
5.0,3.0,41.9,5.0,3.0,270.8,5.0,2.0,74.2,5.0,2.0,267.5,4.0,2.0,387.2,4.0,2.0,2942.0
5.0,4.0,55.3,5.0,4.0,234.8,5.0,4.0,49.4,5.0,3.0,197.0,4.0,3.0,265.3,4.0,3.0,2878.0
5.0,6.0,139.2,5.0,6.0,529.7,5.0,6.0,101.1,5.0,6.0,380.5,4.0,6.0,613.1,4.0,5.0,2596.0
6.0,2.0,247.9,6.0,1.0,507.3,6.0,1.0,262.2,6.0,1.0,697.0,6.0,1.0,779.0,5.0,1.0,2498.0
6.0,3.0,320.6,6.0,3.0,779.0,6.0,2.0,406.2,6.0,2.0,877.0,6.0,2.0,973.7,5.0,2.0,2758.0
6.0,4.0,374.0,6.0,4.0,995.7,6.0,4.0,273.6,6.0,3.0,662.1,6.0,3.0,642.8,5.0,3.0,2407.0
6.0,5.0,333.5,6.0,5.0,1018.0,6.0,5.0,247.5,6.0,5.0,793.0,6.0,4.0,1131.0,5.0,4.0,2702.0
