1,大崎 翔,大崎 翔.1,2,立間 充宏,立間 充宏.1,3,松浦 勝,松浦 勝.1,4,田山 和広,田山 和広.1,5,嶋 義信,嶋 義信.1,6,海野　ゆかり,海野　ゆかり.1
2.0,3.0,13.8,1.0,3.0,26.0,1.0,2.0,167.0,1.0,2.0,534.8,1.0,2.0,54.4,1.0,2.0,182.2
2.0,4.0,43.4,1.0,4.0,53.3,1.0,4.0,419.1,1.0,3.0,1277.0,1.0,3.0,130.1,1.0,3.0,571.7
2.0,5.0,8.5,1.0,5.0,11.1,1.0,5.0,152.8,1.0,5.0,573.5,1.0,4.0,296.8,1.0,4.0,882.8
2.0,6.0,14.3,1.0,6.0,18.1,1.0,6.0,183.3,1.0,6.0,641.0,1.0,6.0,64.3,1.0,5.0,223.5
3.0,2.0,26.8,3.0,1.0,69.4,2.0,1.0,194.7,2.0,1.0,534.8,2.0,1.0,62.7,2.0,1.0,166.3
3.0,4.0,107.7,3.0,4.0,166.2,2.0,4.0,387.4,2.0,3.0,1128.0,2.0,3.0,148.6,2.0,3.0,366.3
3.0,5.0,30.2,3.0,5.0,48.8,2.0,5.0,125.3,2.0,5.0,380.3,2.0,4.0,252.3,2.0,4.0,558.8
3.0,6.0,47.7,3.0,6.0,56.0,2.0,6.0,142.8,2.0,6.0,349.4,2.0,6.0,51.2,2.0,5.0,117.5
4.0,2.0,142.3,4.0,1.0,173.0,4.0,1.0,858.9,3.0,1.0,1441.0,3.0,1.0,267.4,3.0,1.0,996.4
4.0,3.0,228.8,4.0,3.0,278.7,4.0,2.0,861.0,3.0,2.0,1484.0,3.0,2.0,249.6,3.0,2.0,674.5
4.0,5.0,175.3,4.0,5.0,117.1,4.0,5.0,811.0,3.0,5.0,1286.0,3.0,4.0,920.1,3.0,4.0,1629.0
4.0,6.0,202.5,4.0,6.0,112.4,4.0,6.0,753.2,3.0,6.0,1346.0,3.0,6.0,262.4,3.0,5.0,1025.0
5.0,2.0,19.2,5.0,1.0,25.0,5.0,1.0,244.9,5.0,1.0,608.6,4.0,1.0,508.3,4.0,1.0,1496.0
5.0,3.0,40.4,5.0,3.0,51.4,5.0,2.0,197.4,5.0,2.0,472.5,4.0,2.0,383.6,4.0,2.0,826.4
5.0,4.0,137.5,5.0,4.0,97.4,5.0,4.0,668.0,5.0,3.0,1013.0,4.0,3.0,963.3,4.0,3.0,1970.0
5.0,6.0,31.1,5.0,6.0,20.3,5.0,6.0,245.9,5.0,6.0,356.2,4.0,6.0,324.4,4.0,5.0,807.2
6.0,2.0,55.2,6.0,1.0,53.4,6.0,1.0,470.6,6.0,1.0,838.3,6.0,1.0,107.7,5.0,1.0,218.7
6.0,3.0,129.9,6.0,3.0,94.5,6.0,2.0,313.3,6.0,2.0,557.9,6.0,2.0,76.2,5.0,2.0,131.8
6.0,4.0,294.2,6.0,4.0,130.8,6.0,4.0,1022.0,6.0,3.0,1336.0,6.0,3.0,252.1,5.0,3.0,603.3
6.0,5.0,70.5,6.0,5.0,37.5,6.0,5.0,408.8,6.0,5.0,468.1,6.0,4.0,301.1,5.0,4.0,591.0
