1,山本 修一,山本 修一.1,2,楠原 正剛,楠原 正剛.1,3,角浜 修,角浜 修.1,4,峰重 侑治,峰重 侑治.1,5,宇野 博之,宇野 博之.1,6,山下 大輝,山下 大輝.1
2.0,3.0,9.8,1.0,3.0,54.7,1.0,2.0,143.5,1.0,2.0,40.8,1.0,2.0,299.6,1.0,2.0,396.7
2.0,4.0,4.7,1.0,4.0,31.5,1.0,4.0,173.4,1.0,3.0,103.4,1.0,3.0,537.7,1.0,3.0,1064.0
2.0,5.0,16.2,1.0,5.0,79.8,1.0,5.0,316.2,1.0,5.0,63.2,1.0,4.0,329.0,1.0,4.0,605.2
2.0,6.0,20.5,1.0,6.0,85.6,1.0,6.0,324.9,1.0,6.0,66.4,1.0,6.0,399.8,1.0,5.0,976.8
3.0,2.0,19.9,3.0,1.0,164.5,2.0,1.0,187.3,2.0,1.0,75.6,2.0,1.0,483.8,2.0,1.0,808.0
3.0,4.0,18.5,3.0,4.0,318.2,2.0,4.0,274.1,2.0,3.0,290.1,2.0,3.0,1265.0,2.0,3.0,1307.0
3.0,5.0,46.2,3.0,5.0,512.7,2.0,5.0,573.7,2.0,5.0,169.2,2.0,4.0,701.5,2.0,4.0,1353.0
3.0,6.0,58.0,3.0,6.0,479.3,2.0,6.0,707.9,2.0,6.0,199.4,2.0,6.0,779.5,2.0,5.0,1659.0
4.0,2.0,6.9,4.0,1.0,78.5,4.0,1.0,296.8,3.0,1.0,280.1,3.0,1.0,1028.0,3.0,1.0,1753.0
4.0,3.0,15.9,4.0,3.0,252.1,4.0,2.0,443.5,3.0,2.0,485.3,3.0,2.0,1607.0,3.0,2.0,2912.0
4.0,5.0,17.9,4.0,5.0,249.7,4.0,5.0,771.7,3.0,5.0,569.5,3.0,4.0,1498.0,3.0,4.0,3086.0
4.0,6.0,18.8,4.0,6.0,277.0,4.0,6.0,659.5,3.0,6.0,488.4,3.0,6.0,1028.0,3.0,5.0,1641.0
5.0,2.0,51.9,5.0,1.0,320.2,5.0,1.0,676.9,5.0,1.0,120.5,4.0,1.0,373.7,4.0,1.0,728.0
5.0,3.0,97.5,5.0,3.0,843.4,5.0,2.0,1094.0,5.0,2.0,183.7,4.0,2.0,557.1,4.0,2.0,1319.0
5.0,4.0,55.0,5.0,4.0,526.7,5.0,4.0,1319.0,5.0,3.0,381.0,4.0,3.0,1008.0,4.0,3.0,2030.0
5.0,6.0,110.0,5.0,6.0,829.7,5.0,6.0,1094.0,5.0,6.0,166.1,4.0,6.0,497.8,4.0,5.0,1126.0
6.0,2.0,75.2,6.0,1.0,433.5,6.0,1.0,825.3,6.0,1.0,175.5,6.0,1.0,629.9,5.0,1.0,1403.0
6.0,3.0,169.4,6.0,3.0,1042.0,6.0,2.0,1118.0,6.0,2.0,313.7,6.0,2.0,1215.0,5.0,2.0,2615.0
6.0,4.0,77.1,6.0,4.0,783.4,6.0,4.0,1196.0,6.0,3.0,651.2,6.0,3.0,1143.0,5.0,3.0,1905.0
6.0,5.0,175.7,6.0,5.0,1102.0,6.0,5.0,989.3,6.0,5.0,280.1,6.0,4.0,970.7,5.0,4.0,1882.0
