1,山室 展弘,山室 展弘.1,2,片橋 幸貴,片橋 幸貴.1,3,新井 英孝,新井 英孝.1,4,田中 辰彦,田中 辰彦.1,5,西岡 顕心,西岡 顕心.1,6,沖島 広和,沖島 広和.1
2.0,3.0,15.1,1.0,3.0,37.8,1.0,2.0,168.9,1.0,2.0,26.3,1.0,2.0,311.3,1.0,2.0,671.6
2.0,4.0,6.1,1.0,4.0,12.6,1.0,4.0,119.8,1.0,3.0,101.4,1.0,3.0,699.0,1.0,3.0,1807.0
2.0,5.0,21.3,1.0,5.0,37.7,1.0,5.0,268.9,1.0,5.0,47.3,1.0,4.0,273.2,1.0,4.0,809.3
2.0,6.0,28.1,1.0,6.0,43.0,1.0,6.0,327.4,1.0,6.0,50.6,1.0,6.0,462.6,1.0,5.0,1891.0
3.0,2.0,30.4,3.0,1.0,127.4,2.0,1.0,247.6,2.0,1.0,41.4,2.0,1.0,460.0,2.0,1.0,979.3
3.0,4.0,27.1,3.0,4.0,119.5,2.0,4.0,197.0,2.0,3.0,139.1,2.0,3.0,1052.0,2.0,3.0,1738.0
3.0,5.0,66.8,3.0,5.0,279.5,2.0,5.0,417.0,2.0,5.0,83.4,2.0,4.0,410.7,2.0,4.0,569.9
3.0,6.0,95.4,3.0,6.0,281.0,2.0,6.0,431.4,2.0,6.0,69.6,2.0,6.0,696.6,2.0,5.0,2344.0
4.0,2.0,8.1,4.0,1.0,26.6,4.0,1.0,221.3,3.0,1.0,244.4,3.0,1.0,1590.0,3.0,1.0,2869.0
4.0,3.0,25.6,4.0,3.0,79.2,4.0,2.0,251.4,3.0,2.0,240.8,3.0,2.0,1548.0,3.0,2.0,2206.0
4.0,5.0,24.6,4.0,5.0,80.3,4.0,5.0,386.0,3.0,5.0,390.4,3.0,4.0,1282.0,3.0,4.0,2041.0
4.0,6.0,28.8,4.0,6.0,57.4,4.0,6.0,436.0,3.0,6.0,390.8,3.0,6.0,1791.0,3.0,5.0,3983.0
5.0,2.0,54.1,5.0,1.0,194.2,5.0,1.0,764.1,5.0,1.0,73.1,4.0,1.0,354.3,4.0,1.0,778.6
5.0,3.0,148.7,5.0,3.0,406.2,5.0,2.0,792.1,5.0,2.0,86.6,4.0,2.0,367.3,4.0,2.0,556.7
5.0,4.0,61.5,5.0,4.0,190.0,5.0,4.0,617.9,5.0,3.0,307.6,4.0,3.0,977.0,4.0,3.0,1609.0
5.0,6.0,159.0,5.0,6.0,361.2,5.0,6.0,981.7,5.0,6.0,96.3,4.0,6.0,439.8,4.0,5.0,1768.0
6.0,2.0,109.3,6.0,1.0,212.2,6.0,1.0,1063.0,6.0,1.0,122.2,6.0,1.0,1124.0,5.0,1.0,2772.0
6.0,3.0,284.3,6.0,3.0,435.1,6.0,2.0,1046.0,6.0,2.0,120.2,6.0,2.0,1169.0,5.0,2.0,2457.0
6.0,4.0,126.1,6.0,4.0,179.9,6.0,4.0,849.5,6.0,3.0,336.6,6.0,3.0,2011.0,5.0,3.0,4144.0
6.0,5.0,266.6,6.0,5.0,499.8,6.0,5.0,1410.0,6.0,5.0,166.6,6.0,4.0,903.8,5.0,4.0,2062.0
