1,柳沢 一,柳沢 一.1,2,仲谷 颯仁,仲谷 颯仁.1,3,中田 竜太,中田 竜太.1,4,山崎 郡,山崎 郡.1,5,永井 彪也,永井 彪也.1,6,瓜生 正義,瓜生 正義.1
2.0,3.0,15.1,1.0,3.0,47.6,1.0,2.0,112.8,1.0,2.0,45.4,1.0,2.0,228.7,1.0,2.0,362.2
2.0,4.0,13.7,1.0,4.0,41.1,1.0,4.0,74.7,1.0,3.0,52.0,1.0,3.0,363.1,1.0,3.0,445.7
2.0,5.0,40.1,1.0,5.0,107.5,1.0,5.0,164.6,1.0,5.0,46.9,1.0,4.0,201.1,1.0,4.0,283.6
2.0,6.0,31.1,1.0,6.0,77.5,1.0,6.0,110.7,1.0,6.0,35.1,1.0,6.0,204.7,1.0,5.0,713.0
3.0,2.0,19.7,3.0,1.0,122.8,2.0,1.0,194.4,2.0,1.0,93.0,2.0,1.0,412.4,2.0,1.0,570.9
3.0,4.0,13.1,3.0,4.0,164.7,2.0,4.0,178.8,2.0,3.0,137.4,2.0,3.0,815.8,2.0,3.0,630.5
3.0,5.0,32.5,3.0,5.0,297.6,2.0,5.0,328.0,2.0,5.0,118.7,2.0,4.0,511.5,2.0,4.0,547.8
3.0,6.0,27.0,3.0,6.0,181.5,2.0,6.0,207.5,2.0,6.0,91.8,2.0,6.0,506.3,2.0,5.0,1140.0
4.0,2.0,15.0,4.0,1.0,104.4,4.0,1.0,107.7,3.0,1.0,111.6,3.0,1.0,679.4,3.0,1.0,687.8
4.0,3.0,14.5,4.0,3.0,168.1,4.0,2.0,138.4,3.0,2.0,178.7,3.0,2.0,953.2,3.0,2.0,679.4
4.0,5.0,29.5,4.0,5.0,293.7,4.0,5.0,195.3,3.0,5.0,175.3,3.0,4.0,914.2,3.0,4.0,706.2
4.0,6.0,20.0,4.0,6.0,146.8,4.0,6.0,118.0,3.0,6.0,134.4,3.0,6.0,837.2,3.0,5.0,1442.0
5.0,2.0,55.9,5.0,1.0,365.2,5.0,1.0,327.0,5.0,1.0,53.1,4.0,1.0,172.2,4.0,1.0,292.2
5.0,3.0,65.5,5.0,3.0,501.7,5.0,2.0,437.4,5.0,2.0,77.2,4.0,2.0,243.7,4.0,2.0,439.5
5.0,4.0,52.4,5.0,4.0,556.0,5.0,4.0,416.2,5.0,3.0,138.3,4.0,3.0,451.5,4.0,3.0,529.0
5.0,6.0,64.2,5.0,6.0,454.8,5.0,6.0,380.8,5.0,6.0,49.3,4.0,6.0,162.0,4.0,5.0,567.3
6.0,2.0,67.1,6.0,1.0,242.3,6.0,1.0,286.5,6.0,1.0,52.1,6.0,1.0,422.1,5.0,1.0,1318.0
6.0,3.0,70.9,6.0,3.0,323.9,6.0,2.0,357.0,6.0,2.0,84.1,6.0,2.0,586.7,5.0,2.0,1608.0
6.0,4.0,57.7,6.0,4.0,293.9,6.0,4.0,287.5,6.0,3.0,128.1,6.0,3.0,971.8,5.0,3.0,1680.0
6.0,5.0,119.6,6.0,5.0,511.5,6.0,5.0,593.7,6.0,5.0,71.4,6.0,4.0,430.7,5.0,4.0,949.1
