1,鶴本 崇文,鶴本 崇文.1,2,鈴木 峻佑,鈴木 峻佑.1,3,大久保信一郎,大久保信一郎.1,4,田中 豪,田中 豪.1,5,天野 誠,天野 誠.1,6,野中 義生,野中 義生.1
2.0,3.0,9.5,1.0,3.0,28.5,1.0,2.0,88.4,1.0,2.0,27.6,1.0,2.0,849.4,1.0,2.0,591.6
2.0,4.0,6.8,1.0,4.0,16.1,1.0,4.0,57.2,1.0,3.0,59.9,1.0,3.0,830.6,1.0,3.0,764.3
2.0,5.0,50.7,1.0,5.0,99.7,1.0,5.0,275.8,1.0,5.0,75.6,1.0,4.0,540.4,1.0,4.0,509.8
2.0,6.0,39.4,1.0,6.0,75.2,1.0,6.0,282.4,1.0,6.0,61.5,1.0,6.0,1175.0,1.0,5.0,2001.0
3.0,2.0,13.2,3.0,1.0,78.6,2.0,1.0,137.2,2.0,1.0,43.3,2.0,1.0,1197.0,2.0,1.0,744.1
3.0,4.0,11.3,3.0,4.0,86.3,2.0,4.0,160.6,2.0,3.0,112.8,2.0,3.0,1745.0,2.0,3.0,1602.0
3.0,5.0,64.6,3.0,5.0,359.3,2.0,5.0,623.5,2.0,5.0,170.4,2.0,4.0,1077.0,2.0,4.0,627.9
3.0,6.0,63.2,3.0,6.0,320.9,2.0,6.0,542.4,2.0,6.0,113.6,2.0,6.0,1765.0,2.0,5.0,2558.0
4.0,2.0,7.7,4.0,1.0,31.4,4.0,1.0,123.2,3.0,1.0,133.3,3.0,1.0,1082.0,3.0,1.0,1800.0
4.0,3.0,11.6,4.0,3.0,73.0,4.0,2.0,204.5,3.0,2.0,190.5,3.0,2.0,2446.0,3.0,2.0,2433.0
4.0,5.0,37.3,4.0,5.0,172.0,4.0,5.0,621.0,3.0,5.0,447.1,3.0,4.0,1949.0,3.0,4.0,2185.0
4.0,6.0,27.4,4.0,6.0,102.4,4.0,6.0,495.8,3.0,6.0,403.0,3.0,6.0,2308.0,3.0,5.0,3815.0
5.0,2.0,170.7,5.0,1.0,408.9,5.0,1.0,660.1,5.0,1.0,147.2,4.0,1.0,610.8,4.0,1.0,670.9
5.0,3.0,185.8,5.0,3.0,852.7,5.0,2.0,1122.0,5.0,2.0,224.1,4.0,2.0,983.0,4.0,2.0,666.0
5.0,4.0,157.7,5.0,4.0,590.0,5.0,4.0,1061.0,5.0,3.0,460.3,4.0,3.0,1631.0,4.0,3.0,1751.0
5.0,6.0,330.3,5.0,6.0,860.8,5.0,6.0,1368.0,5.0,6.0,224.5,4.0,6.0,1157.0,4.0,5.0,2055.0
6.0,2.0,130.3,6.0,1.0,270.7,6.0,1.0,896.8,6.0,1.0,163.7,6.0,1.0,2143.0,5.0,1.0,3105.0
6.0,3.0,196.6,6.0,3.0,550.4,6.0,2.0,1106.0,6.0,2.0,175.6,6.0,2.0,2185.0,5.0,2.0,3630.0
6.0,4.0,120.4,6.0,4.0,283.1,6.0,4.0,893.3,6.0,3.0,428.3,6.0,3.0,2867.0,5.0,3.0,4130.0
6.0,5.0,440.5,6.0,5.0,951.8,6.0,5.0,1924.0,6.0,5.0,354.2,6.0,4.0,1830.0,5.0,4.0,2831.0
