1,峰重 侑治,峰重 侑治.1,2,澤崎 雄哉,澤崎 雄哉.1,3,國分　将太郎,國分　将太郎.1,4,屋良 龍紀,屋良 龍紀.1,5,竹腰 正樹,竹腰 正樹.1,6,宮本 琉正,宮本 琉正.1
2.0,3.0,7.5,1.0,3.0,35.1,1.0,2.0,49.1,1.0,2.0,41.7,1.0,2.0,62.4,1.0,2.0,1220.0
2.0,4.0,13.4,1.0,4.0,52.8,1.0,4.0,87.7,1.0,3.0,51.9,1.0,3.0,96.8,1.0,3.0,1654.0
2.0,5.0,11.3,1.0,5.0,36.4,1.0,5.0,59.4,1.0,5.0,40.3,1.0,4.0,81.5,1.0,4.0,2440.0
2.0,6.0,205.5,1.0,6.0,519.3,1.0,6.0,480.9,1.0,6.0,392.1,1.0,6.0,513.8,1.0,5.0,2219.0
3.0,2.0,10.5,3.0,1.0,85.1,2.0,1.0,117.7,2.0,1.0,80.1,2.0,1.0,112.3,2.0,1.0,1712.0
3.0,4.0,18.8,3.0,4.0,172.5,2.0,4.0,195.2,2.0,3.0,83.4,2.0,3.0,268.9,2.0,3.0,1600.0
3.0,5.0,16.2,3.0,5.0,125.3,2.0,5.0,178.4,2.0,5.0,70.8,2.0,4.0,174.3,2.0,4.0,2503.0
3.0,6.0,224.4,3.0,6.0,659.7,2.0,6.0,813.6,2.0,6.0,768.7,2.0,6.0,820.4,2.0,5.0,2958.0
4.0,2.0,19.3,4.0,1.0,161.1,4.0,1.0,166.3,3.0,1.0,136.9,3.0,1.0,157.9,3.0,1.0,1992.0
4.0,3.0,23.8,4.0,3.0,241.0,4.0,2.0,103.3,3.0,2.0,97.6,3.0,2.0,334.3,3.0,2.0,1914.0
4.0,5.0,30.0,4.0,5.0,254.2,4.0,5.0,197.6,3.0,5.0,157.9,3.0,4.0,351.2,3.0,4.0,2122.0
4.0,6.0,231.9,4.0,6.0,1268.0,4.0,6.0,841.7,3.0,6.0,996.2,3.0,6.0,947.9,3.0,5.0,3254.0
5.0,2.0,19.9,5.0,1.0,83.9,5.0,1.0,125.1,5.0,1.0,36.9,4.0,1.0,74.3,4.0,1.0,2871.0
5.0,3.0,33.1,5.0,3.0,205.5,5.0,2.0,229.1,5.0,2.0,54.3,4.0,2.0,103.6,4.0,2.0,3149.0
5.0,4.0,35.6,5.0,4.0,252.2,5.0,4.0,242.8,5.0,3.0,121.7,4.0,3.0,198.8,4.0,3.0,2712.0
5.0,6.0,413.7,5.0,6.0,1135.0,5.0,6.0,1038.0,5.0,6.0,172.8,4.0,6.0,314.9,4.0,5.0,3616.0
6.0,2.0,646.6,6.0,1.0,1549.0,6.0,1.0,1457.0,6.0,1.0,707.5,6.0,1.0,1220.0,5.0,1.0,3366.0
6.0,3.0,545.4,6.0,3.0,1808.0,6.0,2.0,1148.0,6.0,2.0,734.1,6.0,2.0,1162.0,5.0,2.0,2789.0
6.0,4.0,707.5,6.0,4.0,2381.0,6.0,4.0,1712.0,6.0,3.0,1337.0,6.0,3.0,2122.0,5.0,3.0,3616.0
6.0,5.0,921.1,6.0,5.0,2324.0,6.0,5.0,1712.0,6.0,5.0,793.7,6.0,4.0,1457.0,5.0,4.0,1877.0
