1,石川 真二,石川 真二.1,2,柴田 光,柴田 光.1,3,木下 翔太,木下 翔太.1,4,山田 哲也,山田 哲也.1,5,森定 晃史,森定 晃史.1,6,上田 龍星,上田 龍星.1
2.0,3.0,19.3,1.0,3.0,48.6,1.0,2.0,65.9,1.0,2.0,68.3,1.0,2.0,242.2,1.0,2.0,332.0
2.0,4.0,23.6,1.0,4.0,54.7,1.0,4.0,40.3,1.0,3.0,70.1,1.0,3.0,227.8,1.0,3.0,257.8
2.0,5.0,57.5,1.0,5.0,105.1,1.0,5.0,61.7,1.0,5.0,65.3,1.0,4.0,216.8,1.0,4.0,330.1
2.0,6.0,51.1,1.0,6.0,83.1,1.0,6.0,50.9,1.0,6.0,52.0,1.0,6.0,186.1,1.0,5.0,369.9
3.0,2.0,22.4,3.0,1.0,92.6,2.0,1.0,116.7,2.0,1.0,115.0,2.0,1.0,351.7,2.0,1.0,505.2
3.0,4.0,16.9,3.0,4.0,62.5,2.0,4.0,80.4,2.0,3.0,123.5,2.0,3.0,347.8,2.0,3.0,423.8
3.0,5.0,38.5,3.0,5.0,98.0,2.0,5.0,104.2,2.0,5.0,108.2,2.0,4.0,331.6,2.0,4.0,406.5
3.0,6.0,30.6,3.0,6.0,82.0,2.0,6.0,90.4,2.0,6.0,86.5,2.0,6.0,245.5,2.0,5.0,514.3
4.0,2.0,33.0,4.0,1.0,98.4,4.0,1.0,63.6,3.0,1.0,106.3,3.0,1.0,315.4,3.0,1.0,378.2
4.0,3.0,31.8,4.0,3.0,80.4,4.0,2.0,81.7,3.0,2.0,129.7,3.0,2.0,388.0,3.0,2.0,425.2
4.0,5.0,55.1,4.0,5.0,111.3,4.0,5.0,68.2,3.0,5.0,79.0,3.0,4.0,302.9,3.0,4.0,335.2
4.0,6.0,39.2,4.0,6.0,83.2,4.0,6.0,54.4,3.0,6.0,65.6,3.0,6.0,202.8,3.0,5.0,295.1
5.0,2.0,98.1,5.0,1.0,249.4,5.0,1.0,154.4,5.0,1.0,58.0,4.0,1.0,167.5,4.0,1.0,347.0
5.0,3.0,85.3,5.0,3.0,210.0,5.0,2.0,163.4,5.0,2.0,71.0,4.0,2.0,172.3,4.0,2.0,330.3
5.0,4.0,106.1,5.0,4.0,222.5,5.0,4.0,147.7,5.0,3.0,81.5,4.0,3.0,200.1,4.0,3.0,272.8
5.0,6.0,96.0,5.0,6.0,223.8,5.0,6.0,97.6,5.0,6.0,32.1,4.0,6.0,89.0,4.0,5.0,211.1
6.0,2.0,107.2,6.0,1.0,259.4,6.0,1.0,147.8,6.0,1.0,71.6,6.0,1.0,297.5,5.0,1.0,478.0
6.0,3.0,87.4,6.0,3.0,212.6,6.0,2.0,159.1,6.0,2.0,79.2,6.0,2.0,335.3,5.0,2.0,499.1
6.0,4.0,104.4,6.0,4.0,184.1,6.0,4.0,121.9,6.0,3.0,76.3,6.0,3.0,248.6,5.0,3.0,315.5
6.0,5.0,142.5,6.0,5.0,300.4,6.0,5.0,118.6,6.0,5.0,46.2,6.0,4.0,154.6,5.0,4.0,255.6
