1,高橋 勲,高橋 勲.1,2,中嶋 達也,中嶋 達也.1,3,山本 修一,山本 修一.1,4,河野 真也,河野 真也.1,5,藤田 竜弘,藤田 竜弘.1,6,上田 隆章,上田 隆章.1
2.0,3.0,22.4,1.0,3.0,51.2,1.0,2.0,32.8,1.0,2.0,110.2,1.0,2.0,460.4,1.0,2.0,1733.0
2.0,4.0,31.6,1.0,4.0,70.4,1.0,4.0,12.5,1.0,3.0,53.1,1.0,3.0,238.4,1.0,3.0,1403.0
2.0,5.0,58.8,1.0,5.0,118.3,1.0,5.0,23.7,1.0,5.0,74.4,1.0,4.0,340.5,1.0,4.0,1856.0
2.0,6.0,154.8,1.0,6.0,264.5,1.0,6.0,103.1,1.0,6.0,189.7,1.0,6.0,638.0,1.0,5.0,2616.0
3.0,2.0,16.2,3.0,1.0,79.0,2.0,1.0,68.0,2.0,1.0,184.8,2.0,1.0,705.3,2.0,1.0,2248.0
3.0,4.0,8.2,3.0,4.0,67.5,2.0,4.0,45.3,2.0,3.0,124.1,2.0,3.0,486.9,2.0,3.0,3737.0
3.0,5.0,16.5,3.0,5.0,111.2,2.0,5.0,71.2,2.0,5.0,189.9,2.0,4.0,681.9,2.0,4.0,3197.0
3.0,6.0,68.6,3.0,6.0,364.2,2.0,6.0,203.0,2.0,6.0,391.0,2.0,6.0,1081.0,2.0,5.0,4295.0
4.0,2.0,30.0,4.0,1.0,142.2,4.0,1.0,19.3,3.0,1.0,59.0,3.0,1.0,259.7,3.0,1.0,2147.0
4.0,3.0,15.5,4.0,3.0,106.9,4.0,2.0,36.0,3.0,2.0,90.2,3.0,2.0,437.3,3.0,2.0,3029.0
4.0,5.0,30.5,4.0,5.0,212.8,4.0,5.0,19.1,3.0,5.0,54.1,3.0,4.0,175.0,3.0,4.0,1094.0
4.0,6.0,109.2,4.0,6.0,487.7,4.0,6.0,74.8,3.0,6.0,135.2,3.0,6.0,514.8,3.0,5.0,1302.0
5.0,2.0,92.4,5.0,1.0,344.6,5.0,1.0,63.1,5.0,1.0,109.8,4.0,1.0,326.6,4.0,1.0,2320.0
5.0,3.0,51.7,5.0,3.0,267.9,5.0,2.0,101.7,5.0,2.0,157.8,4.0,2.0,486.9,4.0,2.0,2213.0
5.0,4.0,69.6,5.0,4.0,396.9,5.0,4.0,44.2,5.0,3.0,81.3,4.0,3.0,180.3,4.0,3.0,1194.0
5.0,6.0,196.4,5.0,6.0,943.5,5.0,6.0,149.4,5.0,6.0,137.2,4.0,6.0,398.0,4.0,5.0,1308.0
6.0,2.0,405.8,6.0,1.0,949.7,6.0,1.0,370.3,6.0,1.0,462.6,6.0,1.0,1199.0,5.0,1.0,2592.0
6.0,3.0,271.2,6.0,3.0,1042.0,6.0,2.0,474.8,6.0,2.0,636.6,6.0,2.0,1370.0,5.0,2.0,2740.0
6.0,4.0,360.6,6.0,4.0,1214.0,6.0,4.0,263.2,6.0,3.0,353.5,6.0,3.0,715.8,5.0,3.0,1498.0
6.0,5.0,382.6,6.0,5.0,1653.0,6.0,5.0,336.9,6.0,5.0,337.3,6.0,4.0,771.5,5.0,4.0,1410.0
