1,古場 輝義,古場 輝義.1,2,渡辺 浩司,渡辺 浩司.1,3,蒲原 健太,蒲原 健太.1,4,水原 慎,水原 慎.1,5,田中 辰彦,田中 辰彦.1,6,待鳥 雄紀,待鳥 雄紀.1
2.0,3.0,10.6,1.0,3.0,12.2,1.0,2.0,74.9,1.0,2.0,158.5,1.0,2.0,97.5,1.0,2.0,329.5
2.0,4.0,16.7,1.0,4.0,23.8,1.0,4.0,216.5,1.0,3.0,349.0,1.0,3.0,252.7,1.0,3.0,716.8
2.0,5.0,9.6,1.0,5.0,10.5,1.0,5.0,129.5,1.0,5.0,172.8,1.0,4.0,281.7,1.0,4.0,904.3
2.0,6.0,18.5,1.0,6.0,18.9,1.0,6.0,211.6,1.0,6.0,225.7,1.0,6.0,171.4,1.0,5.0,613.4
3.0,2.0,25.0,3.0,1.0,43.4,2.0,1.0,88.7,2.0,1.0,177.5,2.0,1.0,96.5,2.0,1.0,389.5
3.0,4.0,56.0,3.0,4.0,109.4,2.0,4.0,225.4,2.0,3.0,361.1,2.0,3.0,217.0,2.0,3.0,1008.0
3.0,5.0,36.2,3.0,5.0,56.3,2.0,5.0,114.7,2.0,5.0,180.2,2.0,4.0,258.4,2.0,4.0,768.2
3.0,6.0,68.1,3.0,6.0,91.8,2.0,6.0,213.9,2.0,6.0,219.9,2.0,6.0,136.2,2.0,5.0,466.1
4.0,2.0,44.4,4.0,1.0,73.4,4.0,1.0,446.1,3.0,1.0,590.5,3.0,1.0,434.9,3.0,1.0,1382.0
4.0,3.0,87.7,4.0,3.0,158.5,4.0,2.0,415.3,3.0,2.0,678.7,3.0,2.0,402.3,3.0,2.0,1430.0
4.0,5.0,73.4,4.0,5.0,81.1,4.0,5.0,466.1,3.0,5.0,684.3,3.0,4.0,945.5,3.0,4.0,2061.0
4.0,6.0,98.8,4.0,6.0,103.7,4.0,6.0,622.7,3.0,6.0,737.5,3.0,6.0,625.0,3.0,5.0,1693.0
5.0,2.0,28.6,5.0,1.0,29.1,5.0,1.0,273.6,5.0,1.0,193.5,4.0,1.0,358.4,4.0,1.0,1354.0
5.0,3.0,58.1,5.0,3.0,67.4,5.0,2.0,225.0,5.0,2.0,195.5,4.0,2.0,313.4,4.0,2.0,859.8
5.0,4.0,91.8,5.0,4.0,92.2,5.0,4.0,528.5,5.0,3.0,493.1,4.0,3.0,821.5,4.0,3.0,1619.0
5.0,6.0,60.0,5.0,6.0,41.4,5.0,6.0,349.3,5.0,6.0,210.7,4.0,6.0,347.5,4.0,5.0,1206.0
6.0,2.0,79.3,6.0,1.0,75.8,6.0,1.0,637.0,6.0,1.0,386.8,6.0,1.0,274.0,5.0,1.0,823.5
6.0,3.0,163.3,6.0,3.0,192.2,6.0,2.0,489.5,6.0,2.0,352.3,6.0,2.0,236.0,5.0,2.0,513.7
6.0,4.0,239.6,6.0,4.0,194.4,6.0,4.0,1027.0,6.0,3.0,731.0,6.0,3.0,620.3,5.0,3.0,1588.0
6.0,5.0,127.1,6.0,5.0,81.7,6.0,5.0,531.8,6.0,5.0,396.5,6.0,4.0,522.6,5.0,4.0,1156.0
