1,鈴木 賢一,鈴木 賢一.1,2,来田 衣織,来田 衣織.1,3,浦野 海,浦野 海.1,4,阪本 勇介,阪本 勇介.1,5,安田 吉宏,安田 吉宏.1,6,森 智也,森 智也.1
2.0,3.0,11.1,1.0,3.0,36.6,1.0,2.0,30.4,1.0,2.0,119.0,1.0,2.0,346.0,1.0,2.0,670.6
2.0,4.0,19.0,1.0,4.0,54.0,1.0,4.0,19.9,1.0,3.0,89.4,1.0,3.0,272.2,1.0,3.0,553.1
2.0,5.0,37.7,1.0,5.0,76.8,1.0,5.0,40.5,1.0,5.0,126.0,1.0,4.0,376.4,1.0,4.0,722.7
2.0,6.0,42.6,1.0,6.0,137.2,1.0,6.0,35.5,1.0,6.0,109.0,1.0,6.0,423.6,1.0,5.0,1258.0
3.0,2.0,9.5,3.0,1.0,62.9,2.0,1.0,61.1,2.0,1.0,199.0,2.0,1.0,463.5,2.0,1.0,970.0
3.0,4.0,8.0,3.0,4.0,91.0,2.0,4.0,79.9,2.0,3.0,222.8,2.0,3.0,592.3,2.0,3.0,1297.0
3.0,5.0,21.1,3.0,5.0,140.1,2.0,5.0,133.7,2.0,5.0,319.6,2.0,4.0,706.0,2.0,4.0,948.0
3.0,6.0,18.1,3.0,6.0,196.2,2.0,6.0,147.1,2.0,6.0,307.8,2.0,6.0,906.9,2.0,5.0,1859.0
4.0,2.0,27.0,4.0,1.0,153.9,4.0,1.0,38.6,3.0,1.0,102.1,3.0,1.0,385.5,3.0,1.0,652.3
4.0,3.0,21.0,4.0,3.0,153.4,4.0,2.0,70.3,3.0,2.0,167.9,3.0,2.0,582.0,3.0,2.0,1216.0
4.0,5.0,50.0,4.0,5.0,299.8,4.0,5.0,69.7,3.0,5.0,154.3,3.0,4.0,532.8,3.0,4.0,662.6
4.0,6.0,44.0,4.0,6.0,293.2,4.0,6.0,60.3,3.0,6.0,145.5,3.0,6.0,757.1,3.0,5.0,1528.0
5.0,2.0,90.1,5.0,1.0,269.0,5.0,1.0,116.2,5.0,1.0,159.8,4.0,1.0,452.8,4.0,1.0,808.3
5.0,3.0,74.6,5.0,3.0,322.0,5.0,2.0,190.5,5.0,2.0,255.8,4.0,2.0,635.0,4.0,2.0,849.3
5.0,4.0,121.2,5.0,4.0,454.6,5.0,4.0,148.9,5.0,3.0,207.7,4.0,3.0,483.6,4.0,3.0,712.0
5.0,6.0,132.5,5.0,6.0,635.0,5.0,6.0,189.8,5.0,6.0,183.3,4.0,6.0,510.1,4.0,5.0,1042.0
6.0,2.0,136.0,6.0,1.0,512.4,6.0,1.0,139.7,6.0,1.0,213.1,6.0,1.0,981.3,5.0,1.0,1640.0
6.0,3.0,91.5,6.0,3.0,729.0,6.0,2.0,300.6,6.0,2.0,362.9,6.0,2.0,1234.0,5.0,2.0,1761.0
6.0,4.0,121.6,6.0,4.0,635.0,6.0,4.0,154.8,6.0,3.0,272.2,6.0,3.0,1079.0,5.0,3.0,1799.0
6.0,5.0,208.1,6.0,5.0,1049.0,6.0,5.0,274.3,6.0,5.0,305.0,6.0,4.0,845.0,5.0,4.0,1186.0
