1,井上 一輝,井上 一輝.1,2,深川 和仁,深川 和仁.1,3,松崎　祐太郎,松崎　祐太郎.1,4,尾嶋 一広,尾嶋 一広.1,5,濱崎 誠,濱崎 誠.1,6,稗田 聖也,稗田 聖也.1
2.0,3.0,6.4,1.0,3.0,118.1,1.0,2.0,37.5,1.0,2.0,272.3,1.0,2.0,310.7,1.0,2.0,1024.0
2.0,4.0,15.5,1.0,4.0,218.7,1.0,4.0,30.1,1.0,3.0,160.0,1.0,3.0,243.5,1.0,3.0,900.4
2.0,5.0,22.4,1.0,5.0,310.1,1.0,5.0,51.3,1.0,5.0,306.0,1.0,4.0,544.1,1.0,4.0,1675.0
2.0,6.0,44.0,1.0,6.0,440.7,1.0,6.0,75.3,1.0,6.0,406.6,1.0,6.0,522.3,1.0,5.0,1723.0
3.0,2.0,5.0,3.0,1.0,225.7,2.0,1.0,129.5,2.0,1.0,574.5,2.0,1.0,890.4,2.0,1.0,2002.0
3.0,4.0,5.4,3.0,4.0,698.4,2.0,4.0,358.5,2.0,3.0,980.9,2.0,3.0,1800.0,2.0,3.0,3656.0
3.0,5.0,10.8,3.0,5.0,842.3,2.0,5.0,509.1,2.0,5.0,1411.0,2.0,4.0,2462.0,2.0,4.0,3892.0
3.0,6.0,18.7,3.0,6.0,1546.0,2.0,6.0,562.5,2.0,6.0,1280.0,2.0,6.0,1835.0,2.0,5.0,4731.0
4.0,2.0,22.7,4.0,1.0,676.9,4.0,1.0,118.4,3.0,1.0,237.1,3.0,1.0,473.1,3.0,1.0,1165.0
4.0,3.0,14.5,4.0,3.0,1122.0,4.0,2.0,287.1,3.0,2.0,695.4,3.0,2.0,1537.0,3.0,2.0,2961.0
4.0,5.0,40.9,4.0,5.0,1630.0,4.0,5.0,274.3,3.0,5.0,671.2,3.0,4.0,1440.0,3.0,4.0,2437.0
4.0,6.0,47.1,4.0,6.0,1870.0,4.0,6.0,310.7,3.0,6.0,779.7,3.0,6.0,1266.0,3.0,5.0,3217.0
5.0,2.0,35.7,5.0,1.0,830.7,5.0,1.0,208.3,5.0,1.0,553.4,4.0,1.0,1026.0,4.0,1.0,2365.0
5.0,3.0,28.3,5.0,3.0,1856.0,5.0,2.0,546.6,5.0,2.0,1394.0,4.0,2.0,2224.0,4.0,2.0,3800.0
5.0,4.0,70.2,5.0,4.0,2567.0,5.0,4.0,559.2,5.0,3.0,912.3,4.0,3.0,1699.0,4.0,3.0,2961.0
5.0,6.0,87.7,5.0,6.0,2806.0,5.0,6.0,614.0,5.0,6.0,1104.0,4.0,6.0,2036.0,4.0,5.0,4387.0
6.0,2.0,140.1,6.0,1.0,1266.0,6.0,1.0,384.2,6.0,1.0,1011.0,6.0,1.0,1060.0,5.0,1.0,2107.0
6.0,3.0,90.5,6.0,3.0,2757.0,6.0,2.0,912.3,6.0,2.0,1814.0,6.0,2.0,1821.0,5.0,2.0,3830.0
6.0,4.0,165.1,6.0,4.0,3575.0,6.0,4.0,768.5,6.0,3.0,1423.0,6.0,3.0,1603.0,5.0,3.0,3175.0
6.0,5.0,201.8,6.0,5.0,4233.0,6.0,5.0,969.1,6.0,5.0,2116.0,6.0,4.0,2475.0,5.0,4.0,3472.0
