1,正木 聖賢,正木 聖賢.1,2,尾嶋 一広,尾嶋 一広.1,3,為本 智也,為本 智也.1,4,山根 大樹,山根 大樹.1,5,川辺 郭人,川辺 郭人.1,6,山崎 善庸,山崎 善庸.1
2.0,3.0,3.4,1.0,3.0,6.6,1.0,2.0,17.0,1.0,2.0,232.1,1.0,2.0,1724.0,1.0,2.0,534.6
2.0,4.0,14.8,1.0,4.0,24.1,1.0,4.0,71.5,1.0,3.0,363.4,1.0,3.0,1985.0,1.0,3.0,909.8
2.0,5.0,92.2,1.0,5.0,176.5,1.0,5.0,280.3,1.0,5.0,1073.0,1.0,4.0,2397.0,1.0,4.0,1724.0
2.0,6.0,18.9,1.0,6.0,32.2,1.0,6.0,68.3,1.0,6.0,629.0,1.0,6.0,3203.0,1.0,5.0,3124.0
3.0,2.0,6.4,3.0,1.0,16.1,2.0,1.0,24.3,2.0,1.0,359.6,2.0,1.0,2475.0,2.0,1.0,699.4
3.0,4.0,28.1,3.0,4.0,44.5,2.0,4.0,77.8,2.0,3.0,425.9,2.0,3.0,3258.0,2.0,3.0,920.8
3.0,5.0,135.4,3.0,5.0,246.4,2.0,5.0,364.8,2.0,5.0,1629.0,2.0,4.0,4143.0,2.0,4.0,1636.0
3.0,6.0,32.7,3.0,6.0,54.3,2.0,6.0,76.2,2.0,6.0,786.0,2.0,6.0,4950.0,2.0,5.0,4099.0
4.0,2.0,60.3,4.0,1.0,96.3,4.0,1.0,179.9,3.0,1.0,548.5,3.0,1.0,2071.0,3.0,1.0,1262.0
4.0,3.0,82.5,4.0,3.0,120.6,4.0,2.0,165.3,3.0,2.0,488.1,3.0,2.0,3812.0,3.0,2.0,960.2
4.0,5.0,488.1,4.0,5.0,722.0,4.0,5.0,660.6,3.0,5.0,1433.0,3.0,4.0,3150.0,3.0,4.0,2491.0
4.0,6.0,183.3,4.0,6.0,222.5,4.0,6.0,305.2,3.0,6.0,920.8,3.0,6.0,4887.0,3.0,5.0,4099.0
5.0,2.0,444.3,5.0,1.0,941.2,5.0,1.0,894.8,5.0,1.0,1850.0,4.0,1.0,4055.0,4.0,1.0,2324.0
5.0,3.0,524.3,5.0,3.0,1070.0,5.0,2.0,927.5,5.0,2.0,1686.0,4.0,2.0,4432.0,4.0,2.0,1824.0
5.0,4.0,866.4,5.0,4.0,1337.0,5.0,4.0,1024.0,5.0,3.0,1064.0,4.0,3.0,3562.0,4.0,3.0,2703.0
5.0,6.0,1086.0,5.0,6.0,1198.0,5.0,6.0,1191.0,5.0,6.0,1629.0,4.0,6.0,3812.0,4.0,5.0,4432.0
6.0,2.0,104.1,6.0,1.0,167.6,6.0,1.0,243.5,6.0,1.0,948.3,6.0,1.0,4538.0,5.0,1.0,4143.0
6.0,3.0,135.7,6.0,3.0,200.9,6.0,2.0,215.2,6.0,2.0,936.6,6.0,2.0,4706.0,5.0,2.0,4706.0
6.0,4.0,329.2,6.0,4.0,341.2,6.0,4.0,480.7,6.0,3.0,1249.0,6.0,3.0,5016.0,5.0,3.0,4593.0
6.0,5.0,856.6,6.0,5.0,1073.0,6.0,5.0,1283.0,6.0,5.0,2216.0,6.0,4.0,3971.0,5.0,4.0,4484.0
