1,山田 丈,山田 丈.1,2,香月 大介,香月 大介.1,3,幸野 史明,幸野 史明.1,4,中島 真二,中島 真二.1,5,檀 将太,檀 将太.1,6,江藤 敦宏,江藤 敦宏.1
2.0,3.0,12.2,1.0,3.0,43.4,1.0,2.0,79.4,1.0,2.0,74.8,1.0,2.0,116.0,1.0,2.0,540.8
2.0,4.0,12.4,1.0,4.0,46.1,1.0,4.0,49.4,1.0,3.0,79.5,1.0,3.0,97.0,1.0,3.0,535.2
2.0,5.0,25.4,1.0,5.0,96.0,1.0,5.0,59.1,1.0,5.0,66.2,1.0,4.0,92.9,1.0,4.0,354.3
2.0,6.0,55.9,1.0,6.0,194.4,1.0,6.0,139.9,1.0,6.0,85.1,1.0,6.0,225.7,1.0,5.0,683.1
3.0,2.0,13.7,3.0,1.0,114.7,2.0,1.0,140.7,2.0,1.0,146.2,2.0,1.0,369.5,2.0,1.0,736.4
3.0,4.0,8.3,3.0,4.0,132.1,2.0,4.0,188.1,2.0,3.0,217.6,2.0,3.0,521.7,2.0,3.0,1462.0
3.0,5.0,12.8,3.0,5.0,175.3,2.0,5.0,186.4,2.0,5.0,253.2,2.0,4.0,596.7,2.0,4.0,998.4
3.0,6.0,44.4,3.0,6.0,420.3,2.0,6.0,511.5,2.0,6.0,349.6,2.0,6.0,763.5,2.0,5.0,1821.0
4.0,2.0,15.6,4.0,1.0,142.0,4.0,1.0,108.2,3.0,1.0,138.2,3.0,1.0,232.8,3.0,1.0,665.6
4.0,3.0,12.6,4.0,3.0,180.5,4.0,2.0,152.9,3.0,2.0,227.2,3.0,2.0,625.5,3.0,2.0,1422.0
4.0,5.0,17.6,4.0,5.0,292.4,4.0,5.0,193.3,3.0,5.0,278.3,3.0,4.0,459.4,3.0,4.0,1597.0
4.0,6.0,26.5,4.0,6.0,415.3,4.0,6.0,295.8,3.0,6.0,372.1,3.0,6.0,1141.0,3.0,5.0,1959.0
5.0,2.0,39.4,5.0,1.0,283.7,5.0,1.0,157.5,5.0,1.0,111.8,4.0,1.0,209.7,4.0,1.0,425.5
5.0,3.0,33.8,5.0,3.0,386.0,5.0,2.0,314.6,5.0,2.0,273.2,4.0,2.0,519.1,4.0,2.0,1018.0
5.0,4.0,32.0,5.0,4.0,418.6,5.0,4.0,257.6,5.0,3.0,278.3,4.0,3.0,589.9,4.0,3.0,1597.0
5.0,6.0,76.5,5.0,6.0,701.5,5.0,6.0,527.0,5.0,6.0,215.8,4.0,6.0,393.3,4.0,5.0,1730.0
6.0,2.0,156.3,6.0,1.0,459.4,6.0,1.0,461.4,6.0,1.0,204.8,6.0,1.0,494.4,5.0,1.0,780.7
6.0,3.0,125.8,6.0,3.0,1028.0,6.0,2.0,961.4,6.0,2.0,529.7,6.0,2.0,910.8,5.0,2.0,1483.0
6.0,4.0,79.2,6.0,4.0,780.7,6.0,4.0,935.4,6.0,3.0,583.3,6.0,3.0,988.9,5.0,3.0,1648.0
6.0,5.0,133.1,6.0,5.0,1166.0,6.0,5.0,1141.0,6.0,5.0,349.6,6.0,4.0,674.2,5.0,4.0,2257.0
