first,second,third,odds
3,1,1555,2.0
4,1,2135,3.0
5,1,1032,5.0
3,2,1899,2.0
6,1,2700,6.0
6,1,3024,6.0
6,1,3857,5.0
3,2,3566,2.0
3,1500,2,5906.0
4,1518,3,3818.0
5,1138,4,2842.0
