1,渡辺 浩司,渡辺 浩司.1,2,山ノ内　雅人,山ノ内　雅人.1,3,安藤 裕貴,安藤 裕貴.1,4,大須賀 友,大須賀 友.1,5,松本 真広,松本 真広.1,6,佐藤 旭,佐藤 旭.1
2.0,3.0,11.6,1.0,3.0,134.0,1.0,2.0,206.0,1.0,2.0,27.3,1.0,2.0,1003.0,1.0,2.0,208.5
2.0,4.0,5.7,1.0,4.0,65.2,1.0,4.0,146.1,1.0,3.0,70.4,1.0,3.0,1373.0,1.0,3.0,334.5
2.0,5.0,58.5,1.0,5.0,340.2,1.0,5.0,363.8,1.0,5.0,73.0,1.0,4.0,611.6,1.0,4.0,158.5
2.0,6.0,10.7,1.0,6.0,110.8,1.0,6.0,225.9,1.0,6.0,31.7,1.0,6.0,762.3,1.0,5.0,573.4
3.0,2.0,19.7,3.0,1.0,288.3,2.0,1.0,421.8,2.0,1.0,80.9,2.0,1.0,1771.0,2.0,1.0,400.1
3.0,4.0,16.8,3.0,4.0,422.5,2.0,4.0,585.2,2.0,3.0,280.4,2.0,3.0,3171.0,2.0,3.0,898.2
3.0,5.0,95.3,3.0,5.0,1088.0,2.0,5.0,930.8,2.0,5.0,344.8,2.0,4.0,2356.0,2.0,4.0,504.7
3.0,6.0,31.4,3.0,6.0,670.7,2.0,6.0,802.8,2.0,6.0,143.8,2.0,6.0,2494.0,2.0,5.0,1317.0
4.0,2.0,6.0,4.0,1.0,121.5,4.0,1.0,284.8,3.0,1.0,258.2,3.0,1.0,2378.0,3.0,1.0,800.3
4.0,3.0,13.2,4.0,3.0,385.7,4.0,2.0,508.7,3.0,2.0,463.7,3.0,2.0,4507.0,3.0,2.0,1626.0
4.0,5.0,51.3,4.0,5.0,753.4,4.0,5.0,856.3,3.0,5.0,815.5,3.0,4.0,4077.0,3.0,4.0,1141.0
4.0,6.0,10.1,4.0,6.0,270.7,4.0,6.0,504.7,3.0,6.0,392.8,3.0,6.0,3952.0,3.0,5.0,2648.0
5.0,2.0,176.6,5.0,1.0,1241.0,5.0,1.0,1167.0,5.0,1.0,143.3,4.0,1.0,605.9,4.0,1.0,213.7
5.0,3.0,245.3,5.0,3.0,2071.0,5.0,2.0,1476.0,5.0,2.0,283.5,4.0,2.0,1511.0,4.0,2.0,462.9
5.0,4.0,151.3,5.0,4.0,1809.0,5.0,4.0,2123.0,5.0,3.0,486.5,4.0,3.0,2446.0,4.0,3.0,792.9
5.0,6.0,192.2,5.0,6.0,1759.0,5.0,6.0,2214.0,5.0,6.0,157.2,4.0,6.0,818.1,4.0,5.0,780.8
6.0,2.0,29.4,6.0,1.0,405.8,6.0,1.0,531.9,6.0,1.0,63.5,6.0,1.0,2022.0,5.0,1.0,1520.0
6.0,3.0,62.0,6.0,3.0,1015.0,6.0,2.0,991.9,6.0,2.0,118.3,6.0,2.0,3471.0,5.0,2.0,2423.0
6.0,4.0,31.9,6.0,4.0,529.7,6.0,4.0,924.1,6.0,3.0,256.3,6.0,3.0,4940.0,5.0,3.0,3252.0
6.0,5.0,150.5,6.0,5.0,1451.0,6.0,5.0,1822.0,6.0,5.0,145.5,6.0,4.0,1690.0,5.0,4.0,1381.0
