1,益田 啓司,益田 啓司.1,2,宗行 治哉,宗行 治哉.1,3,山田 佑樹,山田 佑樹.1,4,石塚 裕介,石塚 裕介.1,5,西澤　日花里,西澤　日花里.1,6,小川　日紀太,小川　日紀太.1
2.0,3.0,3.8,1.0,3.0,22.5,1.0,2.0,51.5,1.0,2.0,113.0,1.0,2.0,874.4,1.0,2.0,1552.0
2.0,4.0,5.4,1.0,4.0,21.8,1.0,4.0,55.0,1.0,3.0,186.2,1.0,3.0,639.7,1.0,3.0,2211.0
2.0,5.0,26.8,1.0,5.0,84.7,1.0,5.0,133.0,1.0,5.0,264.7,1.0,4.0,1128.0,1.0,4.0,2115.0
2.0,6.0,34.6,1.0,6.0,130.6,1.0,6.0,187.4,1.0,6.0,318.9,1.0,6.0,723.0,1.0,5.0,4177.0
3.0,2.0,6.7,3.0,1.0,89.6,2.0,1.0,128.4,2.0,1.0,190.8,2.0,1.0,1603.0,2.0,1.0,1869.0
3.0,4.0,10.7,3.0,4.0,169.6,2.0,4.0,204.1,2.0,3.0,447.0,2.0,3.0,1829.0,2.0,3.0,2271.0
3.0,5.0,33.8,3.0,5.0,378.1,2.0,5.0,382.3,2.0,5.0,713.9,2.0,4.0,2141.0,2.0,4.0,2183.0
3.0,6.0,49.1,3.0,6.0,573.5,2.0,6.0,503.5,2.0,6.0,770.8,2.0,6.0,2434.0,2.0,5.0,4028.0
4.0,2.0,12.2,4.0,1.0,93.1,4.0,1.0,154.9,3.0,1.0,334.0,3.0,1.0,1901.0,3.0,1.0,2843.0
4.0,3.0,19.6,4.0,3.0,217.6,4.0,2.0,236.1,3.0,2.0,551.1,3.0,2.0,2317.0,3.0,2.0,2350.0
4.0,5.0,50.7,4.0,5.0,417.2,4.0,5.0,418.3,3.0,5.0,964.1,3.0,4.0,2603.0,3.0,4.0,3562.0
4.0,6.0,67.1,4.0,6.0,573.5,4.0,6.0,491.8,3.0,6.0,1147.0,3.0,6.0,3021.0,3.0,5.0,4512.0
5.0,2.0,91.3,5.0,1.0,560.2,5.0,1.0,439.4,5.0,1.0,503.5,4.0,1.0,1510.0,4.0,1.0,2141.0
5.0,3.0,105.9,5.0,3.0,964.1,5.0,2.0,1034.0,5.0,2.0,865.4,4.0,2.0,1859.0,4.0,2.0,2820.0
5.0,4.0,178.3,5.0,4.0,1162.0,5.0,4.0,568.7,5.0,3.0,1098.0,4.0,3.0,2333.0,4.0,3.0,3600.0
5.0,6.0,238.6,5.0,6.0,1709.0,5.0,6.0,1272.0,5.0,6.0,783.3,4.0,6.0,2115.0,4.0,5.0,4635.0
6.0,2.0,164.6,6.0,1.0,752.0,6.0,1.0,726.1,6.0,1.0,823.3,6.0,1.0,1179.0,5.0,1.0,4834.0
6.0,3.0,252.7,6.0,3.0,1321.0,6.0,2.0,1253.0,6.0,2.0,1267.0,6.0,2.0,3562.0,5.0,2.0,5287.0
6.0,4.0,266.6,6.0,4.0,1545.0,6.0,4.0,1552.0,6.0,3.0,1762.0,6.0,3.0,1084.0,5.0,3.0,4230.0
6.0,5.0,443.5,6.0,5.0,2452.0,6.0,5.0,1944.0,6.0,5.0,1440.0,6.0,4.0,3418.0,5.0,4.0,5640.0
