1,村田 修次,村田 修次.1,2,中山 雄太,中山 雄太.1,3,鈴木 猛,鈴木 猛.1,4,川崎 智幸,川崎 智幸.1,5,石田 豪,石田 豪.1,6,安河内 将,安河内 将.1
2.0,3.0,18.0,1.0,3.0,26.8,1.0,2.0,211.8,1.0,2.0,94.7,1.0,2.0,1655.0,1.0,2.0,37.1
2.0,4.0,8.7,1.0,4.0,13.6,1.0,4.0,228.6,1.0,3.0,232.2,1.0,3.0,1428.0,1.0,3.0,134.6
2.0,5.0,112.5,1.0,5.0,138.2,1.0,5.0,563.2,1.0,5.0,356.9,1.0,4.0,1298.0,1.0,4.0,55.7
2.0,6.0,9.1,1.0,6.0,11.1,1.0,6.0,221.1,1.0,6.0,80.3,1.0,6.0,1441.0,1.0,5.0,327.4
3.0,2.0,31.9,3.0,1.0,103.7,2.0,1.0,244.3,2.0,1.0,105.2,2.0,1.0,2055.0,2.0,1.0,45.8
3.0,4.0,40.9,3.0,4.0,104.8,2.0,4.0,234.7,2.0,3.0,268.8,2.0,3.0,2947.0,2.0,3.0,135.7
3.0,5.0,139.1,3.0,5.0,324.7,2.0,5.0,633.3,2.0,5.0,462.6,2.0,4.0,2139.0,2.0,4.0,56.3
3.0,6.0,44.7,3.0,6.0,88.7,2.0,6.0,206.9,2.0,6.0,83.7,2.0,6.0,1969.0,2.0,5.0,355.0
4.0,2.0,19.0,4.0,1.0,38.8,4.0,1.0,340.3,3.0,1.0,429.9,3.0,1.0,1845.0,3.0,1.0,321.8
4.0,3.0,45.3,4.0,3.0,87.2,4.0,2.0,360.7,3.0,2.0,469.5,3.0,2.0,3023.0,3.0,2.0,284.3
4.0,5.0,161.6,4.0,5.0,238.0,4.0,5.0,980.4,3.0,5.0,1273.0,3.0,4.0,3004.0,3.0,4.0,345.8
4.0,6.0,22.4,4.0,6.0,34.2,4.0,6.0,354.2,3.0,6.0,431.5,3.0,6.0,3124.0,3.0,5.0,1032.0
5.0,2.0,359.9,5.0,1.0,556.5,5.0,1.0,1189.0,5.0,1.0,672.3,4.0,1.0,1366.0,4.0,1.0,107.8
5.0,3.0,409.2,5.0,3.0,652.7,5.0,2.0,1301.0,5.0,2.0,786.3,4.0,2.0,1604.0,4.0,2.0,87.0
5.0,4.0,452.3,5.0,4.0,712.2,5.0,4.0,1768.0,5.0,3.0,1230.0,4.0,3.0,1837.0,4.0,3.0,242.3
5.0,6.0,381.6,5.0,6.0,559.9,5.0,6.0,1567.0,5.0,6.0,517.8,4.0,6.0,1230.0,4.0,5.0,450.6
6.0,2.0,18.3,6.0,1.0,28.2,6.0,1.0,333.3,6.0,1.0,94.7,6.0,1.0,1526.0,5.0,1.0,691.2
6.0,3.0,57.1,6.0,3.0,74.1,6.0,2.0,371.0,6.0,2.0,92.3,6.0,2.0,1716.0,5.0,2.0,748.6
6.0,4.0,26.8,6.0,4.0,32.7,6.0,4.0,412.5,6.0,3.0,281.8,6.0,3.0,2756.0,5.0,3.0,929.8
6.0,5.0,225.3,6.0,5.0,252.6,6.0,5.0,1230.0,6.0,5.0,337.1,6.0,4.0,1531.0,5.0,4.0,710.0
