1,西村 秀樹,西村 秀樹.1,2,岡 暢祐,岡 暢祐.1,3,大賀　龍之介,大賀　龍之介.1,4,上村　慎太郎,上村　慎太郎.1,5,廣中 良一,廣中 良一.1,6,小林 礼央,小林 礼央.1
2.0,3.0,13.4,1.0,3.0,31.2,1.0,2.0,28.7,1.0,2.0,94.6,1.0,2.0,207.5,1.0,2.0,1267.0
2.0,4.0,18.1,1.0,4.0,44.4,1.0,4.0,19.1,1.0,3.0,63.8,1.0,3.0,105.9,1.0,3.0,1041.0
2.0,5.0,33.3,1.0,5.0,87.1,1.0,5.0,22.1,1.0,5.0,72.4,1.0,4.0,182.3,1.0,4.0,1392.0
2.0,6.0,212.9,1.0,6.0,315.4,1.0,6.0,154.2,1.0,6.0,398.2,1.0,6.0,484.3,1.0,5.0,1445.0
3.0,2.0,12.0,3.0,1.0,57.0,2.0,1.0,58.6,2.0,1.0,178.3,2.0,1.0,369.7,2.0,1.0,1828.0
3.0,4.0,7.9,3.0,4.0,95.8,2.0,4.0,86.9,2.0,3.0,270.9,2.0,3.0,386.7,2.0,3.0,2488.0
3.0,5.0,10.8,3.0,5.0,146.3,2.0,5.0,109.8,2.0,5.0,275.6,2.0,4.0,641.5,2.0,4.0,2466.0
3.0,6.0,113.9,3.0,6.0,439.9,2.0,6.0,325.0,2.0,6.0,853.3,2.0,6.0,1200.0,2.0,5.0,2829.0
4.0,2.0,21.7,4.0,1.0,129.7,4.0,1.0,39.1,3.0,1.0,89.7,3.0,1.0,135.8,3.0,1.0,1311.0
4.0,3.0,13.8,4.0,3.0,182.1,4.0,2.0,85.2,3.0,2.0,207.5,3.0,2.0,316.9,3.0,2.0,2317.0
4.0,5.0,22.4,4.0,5.0,272.6,4.0,5.0,48.5,3.0,5.0,105.4,3.0,4.0,207.5,3.0,4.0,1629.0
4.0,6.0,198.8,4.0,6.0,861.5,4.0,6.0,287.4,3.0,6.0,464.2,3.0,6.0,781.4,3.0,5.0,1906.0
5.0,2.0,54.6,5.0,1.0,216.9,5.0,1.0,55.8,5.0,1.0,116.6,4.0,1.0,262.2,4.0,1.0,2036.0
5.0,3.0,29.0,5.0,3.0,270.9,5.0,2.0,122.4,5.0,2.0,221.2,4.0,2.0,515.9,4.0,2.0,2635.0
5.0,4.0,46.4,5.0,4.0,415.4,5.0,4.0,75.0,5.0,3.0,142.0,4.0,3.0,243.4,4.0,3.0,2800.0
5.0,6.0,302.0,5.0,6.0,1286.0,5.0,6.0,325.8,5.0,6.0,517.9,4.0,6.0,908.1,4.0,5.0,2116.0
6.0,2.0,438.5,6.0,1.0,1244.0,6.0,1.0,683.9,6.0,1.0,970.4,6.0,1.0,1267.0,5.0,1.0,2021.0
6.0,3.0,423.9,6.0,3.0,1553.0,6.0,2.0,1256.0,6.0,2.0,1422.0,6.0,2.0,1734.0,5.0,2.0,1639.0
6.0,4.0,574.3,6.0,4.0,1879.0,6.0,4.0,946.4,6.0,3.0,1422.0,6.0,3.0,1350.0,5.0,3.0,2116.0
6.0,5.0,730.4,6.0,5.0,2036.0,6.0,5.0,1066.0,6.0,5.0,1244.0,6.0,4.0,1619.0,5.0,4.0,2005.0
