1,川崎 智稔,川崎 智稔.1,2,上村　慎太郎,上村　慎太郎.1,3,高橋 龍治,高橋 龍治.1,4,森 貴洋,森 貴洋.1,5,大野 芳顕,大野 芳顕.1,6,小林 京平,小林 京平.1
2.0,3.0,46.1,1.0,3.0,160.9,1.0,2.0,257.5,1.0,2.0,41.3,1.0,2.0,61.4,1.0,2.0,1519.0
2.0,4.0,13.6,1.0,4.0,56.9,1.0,4.0,150.9,1.0,3.0,92.0,1.0,3.0,99.0,1.0,3.0,2822.0
2.0,5.0,16.0,1.0,5.0,66.0,1.0,5.0,161.1,1.0,5.0,13.4,1.0,4.0,25.7,1.0,4.0,1712.0
2.0,6.0,137.7,1.0,6.0,321.0,1.0,6.0,631.0,1.0,6.0,124.4,1.0,6.0,146.2,1.0,5.0,1808.0
3.0,2.0,53.8,3.0,1.0,371.1,2.0,1.0,407.6,2.0,1.0,87.5,2.0,1.0,138.4,2.0,1.0,2158.0
3.0,4.0,33.0,3.0,4.0,561.9,2.0,4.0,564.4,2.0,3.0,358.6,2.0,3.0,407.0,2.0,3.0,3617.0
3.0,5.0,38.5,3.0,5.0,632.5,2.0,5.0,617.3,2.0,5.0,75.3,2.0,4.0,138.3,2.0,4.0,3518.0
3.0,6.0,216.9,3.0,6.0,1783.0,2.0,6.0,1121.0,2.0,6.0,428.7,2.0,6.0,457.7,2.0,5.0,3566.0
4.0,2.0,12.5,4.0,1.0,115.3,4.0,1.0,199.3,3.0,1.0,207.2,3.0,1.0,265.5,3.0,1.0,3292.0
4.0,3.0,26.5,4.0,3.0,474.7,4.0,2.0,431.6,3.0,2.0,475.5,3.0,2.0,608.5,3.0,2.0,4669.0
4.0,5.0,7.0,4.0,5.0,124.4,4.0,5.0,203.5,3.0,5.0,178.7,3.0,4.0,265.8,3.0,4.0,4586.0
4.0,6.0,96.0,4.0,6.0,683.0,4.0,6.0,864.7,3.0,6.0,820.5,3.0,6.0,940.7,3.0,5.0,4586.0
5.0,2.0,19.6,5.0,1.0,140.1,5.0,1.0,236.4,5.0,1.0,14.8,4.0,1.0,25.1,4.0,1.0,1975.0
5.0,3.0,33.3,5.0,3.0,509.5,5.0,2.0,621.8,5.0,2.0,36.6,4.0,2.0,59.4,4.0,2.0,2493.0
5.0,4.0,10.3,5.0,4.0,158.2,5.0,4.0,259.6,5.0,3.0,83.9,4.0,3.0,116.9,4.0,3.0,4210.0
5.0,6.0,100.5,5.0,6.0,705.5,5.0,6.0,787.8,5.0,6.0,64.9,4.0,6.0,108.3,4.0,5.0,1116.0
6.0,2.0,430.9,6.0,1.0,1116.0,6.0,1.0,1344.0,6.0,1.0,413.5,6.0,1.0,433.8,5.0,1.0,1821.0
6.0,3.0,589.0,6.0,3.0,2761.0,6.0,2.0,2822.0,6.0,2.0,885.5,6.0,2.0,831.1,5.0,2.0,3021.0
6.0,4.0,359.1,6.0,4.0,1808.0,6.0,4.0,2334.0,6.0,3.0,1222.0,6.0,3.0,930.5,5.0,3.0,3833.0
6.0,5.0,335.7,6.0,5.0,1605.0,6.0,5.0,2377.0,6.0,5.0,294.1,6.0,4.0,343.3,5.0,4.0,1131.0
