1,藤田 美代,藤田 美代.1,2,筒井 美琴,筒井 美琴.1,3,福山　恵里奈,福山　恵里奈.1,4,福島 陽子,福島 陽子.1,5,伊藤 玲奈,伊藤 玲奈.1,6,川原 愛未,川原 愛未.1
2.0,3.0,24.4,1.0,3.0,68.8,1.0,2.0,77.0,1.0,2.0,103.6,1.0,2.0,113.3,1.0,2.0,580.2
2.0,4.0,27.3,1.0,4.0,63.6,1.0,4.0,43.8,1.0,3.0,78.0,1.0,3.0,73.2,1.0,3.0,670.9
2.0,5.0,27.2,1.0,5.0,65.1,1.0,5.0,29.9,1.0,5.0,46.4,1.0,4.0,63.4,1.0,4.0,680.8
2.0,6.0,86.5,1.0,6.0,175.3,1.0,6.0,116.9,1.0,6.0,144.1,1.0,6.0,115.7,1.0,5.0,442.4
3.0,2.0,24.7,3.0,1.0,104.1,2.0,1.0,126.9,2.0,1.0,189.0,2.0,1.0,220.1,2.0,1.0,854.2
3.0,4.0,14.2,3.0,4.0,124.2,2.0,4.0,137.5,2.0,3.0,230.9,2.0,3.0,305.4,2.0,3.0,941.3
3.0,5.0,12.6,3.0,5.0,116.4,2.0,5.0,137.3,2.0,5.0,205.2,2.0,4.0,309.0,2.0,4.0,1146.0
3.0,6.0,56.2,3.0,6.0,258.7,2.0,6.0,290.5,2.0,6.0,393.4,2.0,6.0,416.4,2.0,5.0,904.4
4.0,2.0,28.7,4.0,1.0,104.5,4.0,1.0,69.3,3.0,1.0,130.1,3.0,1.0,103.9,3.0,1.0,1019.0
4.0,3.0,18.4,4.0,3.0,154.6,4.0,2.0,134.1,3.0,2.0,279.5,3.0,2.0,268.5,3.0,2.0,1098.0
4.0,5.0,13.2,4.0,5.0,130.2,4.0,5.0,63.3,3.0,5.0,132.9,3.0,4.0,164.8,3.0,4.0,1072.0
4.0,6.0,55.6,4.0,6.0,242.1,4.0,6.0,161.0,3.0,6.0,325.4,3.0,6.0,207.3,3.0,5.0,827.3
5.0,2.0,36.1,5.0,1.0,133.2,5.0,1.0,54.3,5.0,1.0,62.8,4.0,1.0,92.3,4.0,1.0,1091.0
5.0,3.0,18.7,5.0,3.0,170.6,5.0,2.0,142.4,5.0,2.0,175.2,4.0,2.0,259.5,4.0,2.0,1221.0
5.0,4.0,17.8,5.0,4.0,194.6,5.0,4.0,68.4,5.0,3.0,123.8,4.0,3.0,174.2,4.0,3.0,1230.0
5.0,6.0,44.6,5.0,6.0,273.3,5.0,6.0,100.9,5.0,6.0,135.5,4.0,6.0,211.8,4.0,5.0,756.1
6.0,2.0,207.5,6.0,1.0,465.9,6.0,1.0,315.9,6.0,1.0,348.7,6.0,1.0,209.4,5.0,1.0,524.1
6.0,3.0,168.5,6.0,3.0,661.3,6.0,2.0,580.2,6.0,2.0,585.7,6.0,2.0,465.9,5.0,2.0,960.9
6.0,4.0,167.5,6.0,4.0,410.0,6.0,4.0,363.2,6.0,3.0,580.2,6.0,3.0,297.1,5.0,3.0,753.0
6.0,5.0,113.1,6.0,5.0,512.5,6.0,5.0,247.9,6.0,5.0,305.9,6.0,4.0,355.5,5.0,4.0,698.8
