1,竹井 貴史,竹井 貴史.1,2,佐藤 博亮,佐藤 博亮.1,3,新開 航,新開 航.1,4,中田 竜太,中田 竜太.1,5,原田 幸哉,原田 幸哉.1,6,君島 秀三,君島 秀三.1
2.0,3.0,9.1,1.0,3.0,43.6,1.0,2.0,47.9,1.0,2.0,96.8,1.0,2.0,499.8,1.0,2.0,498.6
2.0,4.0,8.1,1.0,4.0,40.3,1.0,4.0,36.4,1.0,3.0,98.6,1.0,3.0,378.6,1.0,3.0,557.2
2.0,5.0,24.1,1.0,5.0,106.3,1.0,5.0,58.7,1.0,5.0,124.9,1.0,4.0,576.5,1.0,4.0,506.5
2.0,6.0,25.4,1.0,6.0,86.3,1.0,6.0,74.1,1.0,6.0,93.0,1.0,6.0,718.7,1.0,5.0,1211.0
3.0,2.0,12.5,3.0,1.0,107.2,2.0,1.0,121.1,2.0,1.0,175.8,2.0,1.0,695.9,2.0,1.0,596.3
3.0,4.0,9.7,3.0,4.0,146.3,2.0,4.0,129.2,2.0,3.0,318.4,2.0,3.0,1408.0,2.0,3.0,1024.0
3.0,5.0,20.4,3.0,5.0,343.9,2.0,5.0,300.9,2.0,5.0,425.3,2.0,4.0,1398.0,2.0,4.0,1170.0
3.0,6.0,29.6,3.0,6.0,309.6,2.0,6.0,298.6,2.0,6.0,307.8,2.0,6.0,1852.0,2.0,5.0,1877.0
4.0,2.0,11.4,4.0,1.0,117.7,4.0,1.0,86.8,3.0,1.0,193.4,3.0,1.0,643.2,3.0,1.0,759.2
4.0,3.0,12.7,4.0,3.0,176.2,4.0,2.0,147.0,3.0,2.0,322.1,3.0,2.0,1499.0,3.0,2.0,1201.0
4.0,5.0,28.4,4.0,5.0,431.5,4.0,5.0,170.0,3.0,5.0,362.4,3.0,4.0,1055.0,3.0,4.0,999.6
4.0,6.0,26.0,4.0,6.0,320.9,4.0,6.0,155.1,3.0,6.0,282.4,3.0,6.0,2137.0,3.0,5.0,1929.0
5.0,2.0,62.7,5.0,1.0,378.6,5.0,1.0,243.9,5.0,1.0,210.7,4.0,1.0,773.3,4.0,1.0,565.6
5.0,3.0,57.5,5.0,3.0,648.2,5.0,2.0,406.2,5.0,2.0,364.3,4.0,2.0,1180.0,4.0,2.0,1142.0
5.0,4.0,66.9,5.0,4.0,835.3,5.0,4.0,348.5,5.0,3.0,420.2,4.0,3.0,1074.0,4.0,3.0,861.2
5.0,6.0,99.6,5.0,6.0,936.7,5.0,6.0,484.1,5.0,6.0,242.9,4.0,6.0,825.4,4.0,5.0,1298.0
6.0,2.0,79.4,6.0,1.0,325.4,6.0,1.0,314.8,6.0,1.0,195.1,6.0,1.0,1526.0,5.0,1.0,2094.0
6.0,3.0,92.6,6.0,3.0,681.1,6.0,2.0,472.6,6.0,2.0,323.3,6.0,2.0,2217.0,5.0,2.0,2423.0
6.0,4.0,82.1,6.0,4.0,640.3,6.0,4.0,356.2,6.0,3.0,397.7,6.0,3.0,2182.0,5.0,3.0,2341.0
6.0,5.0,157.6,6.0,5.0,980.8,6.0,5.0,657.4,6.0,5.0,303.6,6.0,4.0,1394.0,5.0,4.0,1549.0
