1,菅 章哉,菅 章哉.1,2,吉田 俊彦,吉田 俊彦.1,3,山崎 哲司,山崎 哲司.1,4,三苫 晃幸,三苫 晃幸.1,5,平田 忠則,平田 忠則.1,6,梶山 涼斗,梶山 涼斗.1
2.0,3.0,6.4,1.0,3.0,45.5,1.0,2.0,44.3,1.0,2.0,224.9,1.0,2.0,112.6,1.0,2.0,1095.0
2.0,4.0,13.5,1.0,4.0,65.7,1.0,4.0,48.9,1.0,3.0,246.3,1.0,3.0,118.0,1.0,3.0,997.7
2.0,5.0,8.9,1.0,5.0,52.0,1.0,5.0,35.7,1.0,5.0,195.1,1.0,4.0,198.7,1.0,4.0,1590.0
2.0,6.0,51.7,1.0,6.0,188.4,1.0,6.0,98.4,1.0,6.0,385.1,1.0,6.0,266.9,1.0,5.0,1415.0
3.0,2.0,7.8,3.0,1.0,138.5,2.0,1.0,113.2,2.0,1.0,438.1,2.0,1.0,250.2,2.0,1.0,1787.0
3.0,4.0,12.6,3.0,4.0,251.2,2.0,4.0,187.4,2.0,3.0,661.1,2.0,3.0,365.3,2.0,3.0,2187.0
3.0,5.0,9.4,3.0,5.0,191.2,2.0,5.0,121.0,2.0,5.0,551.6,2.0,4.0,563.7,2.0,4.0,3120.0
3.0,6.0,39.6,3.0,6.0,574.3,2.0,6.0,356.2,2.0,6.0,1014.0,2.0,6.0,836.0,2.0,5.0,2951.0
4.0,2.0,26.8,4.0,1.0,254.8,4.0,1.0,143.6,3.0,1.0,468.3,3.0,1.0,237.4,3.0,1.0,1575.0
4.0,3.0,28.8,4.0,3.0,389.4,4.0,2.0,227.6,3.0,2.0,725.7,3.0,2.0,451.1,3.0,2.0,2691.0
4.0,5.0,35.8,4.0,5.0,333.2,4.0,5.0,166.2,3.0,5.0,601.8,3.0,4.0,663.8,3.0,4.0,3550.0
4.0,6.0,81.7,4.0,6.0,831.7,4.0,6.0,328.7,3.0,6.0,1093.0,3.0,6.0,742.2,3.0,5.0,2767.0
5.0,2.0,20.1,5.0,1.0,189.8,5.0,1.0,101.2,5.0,1.0,303.5,4.0,1.0,439.3,4.0,1.0,3378.0
5.0,3.0,21.3,5.0,3.0,289.0,5.0,2.0,166.0,5.0,2.0,467.0,4.0,2.0,567.0,4.0,2.0,4260.0
5.0,4.0,41.8,5.0,4.0,401.8,5.0,4.0,182.1,5.0,3.0,593.1,4.0,3.0,664.7,4.0,3.0,4048.0
5.0,6.0,67.1,5.0,6.0,777.6,5.0,6.0,290.5,5.0,6.0,557.9,4.0,6.0,938.5,4.0,5.0,3739.0
6.0,2.0,185.4,6.0,1.0,1035.0,6.0,1.0,544.3,6.0,1.0,905.5,6.0,1.0,757.1,5.0,1.0,1999.0
6.0,3.0,180.4,6.0,3.0,1535.0,6.0,2.0,945.7,6.0,2.0,1462.0,6.0,2.0,1128.0,5.0,2.0,3474.0
6.0,4.0,249.5,6.0,4.0,1877.0,6.0,4.0,726.8,6.0,3.0,1762.0,6.0,3.0,1462.0,5.0,3.0,2413.0
6.0,5.0,221.0,6.0,5.0,1695.0,6.0,5.0,787.6,6.0,5.0,1269.0,6.0,4.0,1718.0,5.0,4.0,3005.0
