1,池田 紫乃,池田 紫乃.1,2,松尾 基成,松尾 基成.1,3,鈴木 智啓,鈴木 智啓.1,4,渡邉 翼,渡邉 翼.1,5,安達 美帆,安達 美帆.1,6,大場 広孝,大場 広孝.1
2.0,3.0,24.8,1.0,3.0,87.4,1.0,2.0,58.1,1.0,2.0,51.7,1.0,2.0,513.6,1.0,2.0,591.6
2.0,4.0,27.4,1.0,4.0,82.2,1.0,4.0,28.9,1.0,3.0,27.7,1.0,3.0,400.1,1.0,3.0,513.6
2.0,5.0,82.8,1.0,5.0,241.5,1.0,5.0,76.9,1.0,5.0,32.8,1.0,4.0,261.9,1.0,4.0,291.8
2.0,6.0,56.6,1.0,6.0,162.5,1.0,6.0,59.1,1.0,6.0,31.7,1.0,6.0,442.9,1.0,5.0,701.3
3.0,2.0,18.2,3.0,1.0,174.7,2.0,1.0,138.3,2.0,1.0,109.2,2.0,1.0,959.2,2.0,1.0,959.2
3.0,4.0,8.7,3.0,4.0,165.9,2.0,4.0,125.1,2.0,3.0,125.4,2.0,3.0,1191.0,2.0,3.0,995.8
3.0,5.0,31.3,3.0,5.0,477.8,2.0,5.0,384.8,2.0,5.0,177.9,2.0,4.0,828.3,2.0,4.0,776.5
3.0,6.0,27.8,3.0,6.0,307.6,2.0,6.0,203.6,2.0,6.0,125.3,2.0,6.0,1291.0,2.0,5.0,1571.0
4.0,2.0,17.8,4.0,1.0,146.0,4.0,1.0,40.0,3.0,1.0,43.5,3.0,1.0,588.9,3.0,1.0,778.8
4.0,3.0,10.2,4.0,3.0,173.2,4.0,2.0,84.9,3.0,2.0,93.4,3.0,2.0,1052.0,3.0,2.0,861.1
4.0,5.0,21.7,4.0,5.0,399.5,4.0,5.0,88.8,3.0,5.0,89.6,3.0,4.0,530.3,3.0,4.0,516.6
4.0,6.0,27.9,4.0,6.0,275.8,4.0,6.0,68.9,3.0,6.0,59.2,3.0,6.0,938.5,3.0,5.0,1119.0
5.0,2.0,124.4,5.0,1.0,749.7,5.0,1.0,239.8,5.0,1.0,47.5,4.0,1.0,238.7,4.0,1.0,277.5
5.0,3.0,83.1,5.0,3.0,948.7,5.0,2.0,436.3,5.0,2.0,113.6,4.0,2.0,497.9,4.0,2.0,541.3
5.0,4.0,72.4,5.0,4.0,833.5,5.0,4.0,209.9,5.0,3.0,88.8,4.0,3.0,412.8,4.0,3.0,414.8
5.0,6.0,119.7,5.0,6.0,1039.0,5.0,6.0,329.4,5.0,6.0,46.5,4.0,6.0,272.0,4.0,5.0,400.7
6.0,2.0,138.1,6.0,1.0,672.4,6.0,1.0,247.3,6.0,1.0,49.8,6.0,1.0,592.9,5.0,1.0,872.6
6.0,3.0,93.7,6.0,3.0,690.2,6.0,2.0,361.8,6.0,2.0,107.0,6.0,2.0,1003.0,5.0,2.0,1248.0
6.0,4.0,94.5,6.0,4.0,535.7,6.0,4.0,191.8,6.0,3.0,76.5,6.0,3.0,938.5,5.0,3.0,1064.0
6.0,5.0,173.8,6.0,5.0,1056.0,6.0,5.0,432.6,6.0,5.0,61.4,6.0,4.0,391.1,5.0,4.0,456.1
