1,高山 秀雄,高山 秀雄.1,2,熊本 英一,熊本 英一.1,3,岡部 貴司,岡部 貴司.1,4,溝口　海義也,溝口　海義也.1,5,金子 順一,金子 順一.1,6,山本 浩輔,山本 浩輔.1
2.0,3.0,40.4,1.0,3.0,68.4,1.0,2.0,67.6,1.0,2.0,30.6,1.0,2.0,430.7,1.0,2.0,405.4
2.0,4.0,36.1,1.0,4.0,56.8,1.0,4.0,25.1,1.0,3.0,14.5,1.0,3.0,765.7,1.0,3.0,330.4
2.0,5.0,174.1,1.0,5.0,284.6,1.0,5.0,142.3,1.0,5.0,52.6,1.0,4.0,484.8,1.0,4.0,259.3
2.0,6.0,99.6,1.0,6.0,139.2,1.0,6.0,66.8,1.0,6.0,24.8,1.0,6.0,725.4,1.0,5.0,699.1
3.0,2.0,38.7,3.0,1.0,137.6,2.0,1.0,112.0,2.0,1.0,55.6,2.0,1.0,784.4,2.0,1.0,527.2
3.0,4.0,14.9,3.0,4.0,107.3,2.0,4.0,90.3,2.0,3.0,60.0,2.0,3.0,1378.0,2.0,3.0,618.5
3.0,5.0,111.1,3.0,5.0,402.0,2.0,5.0,317.3,2.0,5.0,137.6,2.0,4.0,1121.0,2.0,4.0,515.9
3.0,6.0,52.6,3.0,6.0,245.5,2.0,6.0,184.8,2.0,6.0,73.4,2.0,6.0,1581.0,2.0,5.0,1121.0
4.0,2.0,24.5,4.0,1.0,85.6,4.0,1.0,22.1,3.0,1.0,16.7,3.0,1.0,1096.0,3.0,1.0,352.1
4.0,3.0,12.6,4.0,3.0,111.0,4.0,2.0,52.8,3.0,2.0,41.5,3.0,2.0,1162.0,3.0,2.0,477.6
4.0,5.0,67.7,4.0,5.0,301.5,4.0,5.0,62.0,3.0,5.0,54.4,3.0,4.0,643.2,3.0,4.0,220.2
4.0,6.0,30.1,4.0,6.0,181.7,4.0,6.0,28.9,3.0,6.0,21.5,3.0,6.0,1507.0,3.0,5.0,720.0
5.0,2.0,324.8,5.0,1.0,560.9,5.0,1.0,372.5,5.0,1.0,77.1,4.0,1.0,554.5,4.0,1.0,193.7
5.0,3.0,365.4,5.0,3.0,901.7,5.0,2.0,328.1,5.0,2.0,99.5,4.0,2.0,831.7,4.0,2.0,314.2
5.0,4.0,257.9,5.0,4.0,574.3,5.0,4.0,228.6,5.0,3.0,100.7,4.0,3.0,588.3,4.0,3.0,189.5
5.0,6.0,397.0,5.0,6.0,1440.0,5.0,6.0,385.9,5.0,6.0,63.7,4.0,6.0,574.3,4.0,5.0,426.9
6.0,2.0,196.5,6.0,1.0,551.3,6.0,1.0,147.7,6.0,1.0,35.5,6.0,1.0,1440.0,5.0,1.0,1005.0
6.0,3.0,133.4,6.0,3.0,581.2,6.0,2.0,209.7,6.0,2.0,61.0,6.0,2.0,1663.0,5.0,2.0,1191.0
6.0,4.0,94.3,6.0,4.0,442.6,6.0,4.0,95.3,6.0,3.0,36.7,6.0,3.0,1663.0,5.0,3.0,1191.0
6.0,5.0,365.4,6.0,5.0,1507.0,6.0,5.0,318.4,6.0,5.0,59.8,6.0,4.0,831.7,5.0,4.0,753.8
