1,中野 仁照,中野 仁照.1,2,坂井 滉哉,坂井 滉哉.1,3,楠 将太郎,楠 将太郎.1,4,永松 良教,永松 良教.1,5,品川　二千翔,品川　二千翔.1,6,重冨 勇哉,重冨 勇哉.1
2.0,3.0,9.5,1.0,3.0,74.6,1.0,2.0,68.8,1.0,2.0,204.5,1.0,2.0,62.1,1.0,2.0,782.0
2.0,4.0,23.0,1.0,4.0,129.6,1.0,4.0,86.1,1.0,3.0,248.1,1.0,3.0,75.7,1.0,3.0,719.1
2.0,5.0,9.9,1.0,5.0,70.4,1.0,5.0,46.4,1.0,5.0,139.9,1.0,4.0,138.2,1.0,4.0,1345.0
2.0,6.0,38.1,1.0,6.0,215.1,1.0,6.0,136.8,1.0,6.0,269.2,1.0,6.0,79.4,1.0,5.0,531.7
3.0,2.0,9.5,3.0,1.0,153.2,2.0,1.0,168.1,2.0,1.0,383.4,2.0,1.0,157.3,2.0,1.0,1360.0
3.0,4.0,17.8,3.0,4.0,436.5,2.0,4.0,369.4,2.0,3.0,738.9,2.0,3.0,320.2,2.0,3.0,2317.0
3.0,5.0,8.0,3.0,5.0,238.6,2.0,5.0,200.6,2.0,5.0,522.8,2.0,4.0,574.8,2.0,4.0,2486.0
3.0,6.0,31.0,3.0,6.0,715.0,2.0,6.0,476.9,2.0,6.0,938.4,2.0,6.0,349.2,2.0,5.0,1729.0
4.0,2.0,35.1,4.0,1.0,353.4,4.0,1.0,209.1,3.0,1.0,363.0,3.0,1.0,157.0,3.0,1.0,1169.0
4.0,3.0,34.7,4.0,3.0,640.5,4.0,2.0,453.3,3.0,2.0,752.2,3.0,2.0,326.1,3.0,2.0,2145.0
4.0,5.0,36.3,4.0,5.0,545.6,4.0,5.0,211.4,3.0,5.0,371.6,3.0,4.0,476.9,3.0,4.0,2051.0
4.0,6.0,63.8,4.0,6.0,922.3,4.0,6.0,416.6,3.0,6.0,585.6,3.0,6.0,371.6,3.0,5.0,1501.0
5.0,2.0,13.1,5.0,1.0,172.8,5.0,1.0,99.2,5.0,1.0,186.7,4.0,1.0,228.0,4.0,1.0,1915.0
5.0,3.0,13.1,5.0,3.0,304.7,5.0,2.0,183.8,5.0,2.0,343.7,4.0,2.0,473.9,4.0,2.0,3680.0
5.0,4.0,33.7,5.0,4.0,520.6,5.0,4.0,209.2,5.0,3.0,355.4,4.0,3.0,491.3,4.0,3.0,2536.0
5.0,6.0,24.1,5.0,6.0,502.5,5.0,6.0,235.2,5.0,6.0,263.6,4.0,6.0,341.8,4.0,5.0,1905.0
6.0,2.0,78.3,6.0,1.0,717.7,6.0,1.0,481.8,6.0,1.0,612.3,6.0,1.0,180.8,5.0,1.0,596.8
6.0,3.0,76.3,6.0,3.0,1538.0,6.0,2.0,943.1,6.0,2.0,1045.0,6.0,2.0,365.5,5.0,2.0,1165.0
6.0,4.0,133.0,6.0,4.0,1996.0,6.0,4.0,940.8,6.0,3.0,1028.0,6.0,3.0,428.5,5.0,3.0,1169.0
6.0,5.0,57.9,6.0,5.0,957.6,6.0,5.0,489.4,6.0,5.0,519.2,6.0,4.0,540.9,5.0,4.0,1416.0
