1,木下 翔太,木下 翔太.1,2,森定 晃史,森定 晃史.1,3,安田 吉宏,安田 吉宏.1,4,丹下 将,丹下 将.1,5,中本 大樹,中本 大樹.1,6,沼田 七華,沼田 七華.1
2.0,3.0,7.8,1.0,3.0,38.3,1.0,2.0,115.5,1.0,2.0,25.3,1.0,2.0,341.6,1.0,2.0,1232.0
2.0,4.0,3.3,1.0,4.0,16.9,1.0,4.0,115.2,1.0,3.0,73.3,1.0,3.0,572.1,1.0,3.0,2932.0
2.0,5.0,24.8,1.0,5.0,93.0,1.0,5.0,306.0,1.0,5.0,61.5,1.0,4.0,381.5,1.0,4.0,2549.0
2.0,6.0,156.8,1.0,6.0,338.0,1.0,6.0,885.2,1.0,6.0,255.9,1.0,6.0,979.5,1.0,5.0,4057.0
3.0,2.0,16.9,3.0,1.0,108.9,2.0,1.0,163.8,2.0,1.0,41.2,2.0,1.0,494.2,2.0,1.0,1545.0
3.0,4.0,16.9,3.0,4.0,162.6,2.0,4.0,252.3,2.0,3.0,156.0,2.0,3.0,932.6,2.0,3.0,3404.0
3.0,5.0,54.7,3.0,5.0,405.3,2.0,5.0,481.0,2.0,5.0,131.2,2.0,4.0,614.7,2.0,4.0,3101.0
3.0,6.0,348.5,3.0,6.0,1018.0,2.0,6.0,1196.0,2.0,6.0,479.1,2.0,6.0,1488.0,2.0,5.0,4091.0
4.0,2.0,5.6,4.0,1.0,37.7,4.0,1.0,231.9,3.0,1.0,192.5,3.0,1.0,973.7,3.0,1.0,3311.0
4.0,3.0,14.3,4.0,3.0,133.0,4.0,2.0,308.3,3.0,2.0,269.2,3.0,2.0,1153.0,3.0,2.0,4386.0
4.0,5.0,29.8,4.0,5.0,204.0,4.0,5.0,559.6,3.0,5.0,483.9,3.0,4.0,1444.0,3.0,4.0,4868.0
4.0,6.0,188.7,4.0,6.0,695.5,4.0,6.0,1511.0,3.0,6.0,1322.0,3.0,6.0,2446.0,3.0,5.0,4593.0
5.0,2.0,78.6,5.0,1.0,334.1,5.0,1.0,604.7,5.0,1.0,127.0,4.0,1.0,466.7,4.0,1.0,3081.0
5.0,3.0,129.8,5.0,3.0,608.5,5.0,2.0,691.5,5.0,2.0,159.8,4.0,2.0,572.1,4.0,2.0,1995.0
5.0,4.0,102.8,5.0,4.0,440.5,5.0,4.0,802.0,5.0,3.0,380.0,4.0,3.0,1058.0,4.0,3.0,4726.0
5.0,6.0,508.2,5.0,6.0,1121.0,5.0,6.0,1298.0,5.0,6.0,455.4,4.0,6.0,1322.0,4.0,5.0,4091.0
6.0,2.0,650.0,6.0,1.0,1367.0,6.0,1.0,3553.0,6.0,1.0,802.0,6.0,1.0,3380.0,5.0,1.0,4820.0
6.0,3.0,872.5,6.0,3.0,3289.0,6.0,2.0,2750.0,6.0,2.0,977.6,6.0,2.0,3062.0,5.0,2.0,5350.0
6.0,4.0,752.4,6.0,4.0,1837.0,6.0,4.0,3404.0,6.0,3.0,1726.0,6.0,3.0,4197.0,5.0,3.0,5235.0
6.0,5.0,1121.0,6.0,5.0,2253.0,6.0,5.0,3224.0,6.0,5.0,967.9,6.0,4.0,3005.0,5.0,4.0,4426.0
