1,大庭 元明,大庭 元明.1,2,神里 琴音,神里 琴音.1,3,三苫 晃幸,三苫 晃幸.1,4,松田　大志郎,松田　大志郎.1,5,戸敷 晃美,戸敷 晃美.1,6,内山 七海,内山 七海.1
2.0,3.0,70.1,1.0,3.0,402.3,1.0,2.0,170.1,1.0,2.0,38.9,1.0,2.0,638.3,1.0,2.0,2937.0
2.0,4.0,40.5,1.0,4.0,253.6,1.0,4.0,27.3,1.0,3.0,10.8,1.0,3.0,271.5,1.0,3.0,2372.0
2.0,5.0,140.1,1.0,5.0,691.9,1.0,5.0,69.6,1.0,5.0,14.6,1.0,4.0,191.7,1.0,4.0,1609.0
2.0,6.0,321.1,1.0,6.0,1189.0,1.0,6.0,231.5,1.0,6.0,42.6,1.0,6.0,608.7,1.0,5.0,2837.0
3.0,2.0,49.9,3.0,1.0,616.7,2.0,1.0,546.1,2.0,1.0,112.2,2.0,1.0,1288.0,2.0,1.0,4330.0
3.0,4.0,6.9,3.0,4.0,569.9,2.0,4.0,448.7,2.0,3.0,176.5,2.0,3.0,1584.0,2.0,3.0,5316.0
3.0,5.0,28.0,3.0,5.0,1193.0,2.0,5.0,828.4,2.0,5.0,171.6,2.0,4.0,1253.0,2.0,4.0,3589.0
3.0,6.0,104.8,3.0,6.0,2258.0,2.0,6.0,1544.0,2.0,6.0,222.8,2.0,6.0,1527.0,2.0,5.0,3387.0
4.0,2.0,19.7,4.0,1.0,308.6,4.0,1.0,33.6,3.0,1.0,21.1,3.0,1.0,408.5,3.0,1.0,3000.0
4.0,3.0,5.2,4.0,3.0,508.4,4.0,2.0,183.3,3.0,2.0,124.0,3.0,2.0,1621.0,3.0,2.0,5526.0
4.0,5.0,11.0,4.0,5.0,684.0,4.0,5.0,66.0,3.0,5.0,40.3,3.0,4.0,429.0,3.0,4.0,2386.0
4.0,6.0,44.0,4.0,6.0,1099.0,4.0,6.0,185.8,3.0,6.0,98.5,3.0,6.0,2038.0,3.0,5.0,5060.0
5.0,2.0,173.4,5.0,1.0,1414.0,5.0,1.0,185.5,5.0,1.0,21.1,4.0,1.0,174.6,4.0,1.0,1700.0
5.0,3.0,76.6,5.0,3.0,1428.0,5.0,2.0,560.0,5.0,2.0,77.6,4.0,2.0,570.6,4.0,2.0,3088.0
5.0,4.0,53.1,5.0,4.0,1320.0,5.0,4.0,198.6,5.0,3.0,36.8,4.0,3.0,294.7,4.0,3.0,1962.0
5.0,6.0,262.8,5.0,6.0,1700.0,5.0,6.0,831.7,5.0,6.0,54.2,4.0,6.0,455.0,4.0,5.0,2079.0
6.0,2.0,608.7,6.0,1.0,2500.0,6.0,1.0,1265.0,6.0,1.0,92.5,6.0,1.0,1235.0,5.0,1.0,2916.0
6.0,3.0,462.0,6.0,3.0,4117.0,6.0,2.0,2372.0,6.0,2.0,210.4,6.0,2.0,1802.0,5.0,2.0,3387.0
6.0,4.0,313.2,6.0,4.0,2576.0,6.0,4.0,1034.0,6.0,3.0,164.8,6.0,3.0,2132.0,5.0,3.0,4117.0
6.0,5.0,608.7,6.0,5.0,2441.0,6.0,5.0,1735.0,6.0,5.0,117.2,6.0,4.0,1228.0,5.0,4.0,2515.0
