1,牧 宏次,牧 宏次.1,2,森野 正弘,森野 正弘.1,3,岡崎 恭裕,岡崎 恭裕.1,4,山本 浩輔,山本 浩輔.1,5,吉田 宗弘,吉田 宗弘.1,6,若林 義人,若林 義人.1
2.0,3.0,9.3,1.0,3.0,13.2,1.0,2.0,19.1,1.0,2.0,531.0,1.0,2.0,713.7,1.0,2.0,251.2
2.0,4.0,38.0,1.0,4.0,65.1,1.0,4.0,48.7,1.0,3.0,382.4,1.0,3.0,742.1,1.0,3.0,240.4
2.0,5.0,93.1,1.0,5.0,96.6,1.0,5.0,63.5,1.0,5.0,1245.0,1.0,4.0,1578.0,1.0,4.0,966.0
2.0,6.0,29.4,1.0,6.0,30.4,1.0,6.0,23.7,1.0,6.0,416.5,1.0,6.0,836.2,1.0,5.0,1204.0
3.0,2.0,9.8,3.0,1.0,15.9,2.0,1.0,20.5,2.0,1.0,568.8,2.0,1.0,926.1,2.0,1.0,255.2
3.0,4.0,26.7,3.0,4.0,35.9,2.0,4.0,48.3,2.0,3.0,571.7,2.0,3.0,757.1,2.0,3.0,121.0
3.0,5.0,46.4,3.0,5.0,39.8,2.0,5.0,38.6,2.0,5.0,1350.0,2.0,4.0,1455.0,2.0,4.0,817.9
3.0,6.0,19.7,3.0,6.0,15.9,2.0,6.0,16.4,2.0,6.0,615.7,2.0,6.0,842.5,2.0,5.0,619.1
4.0,2.0,112.6,4.0,1.0,243.6,4.0,1.0,129.2,3.0,1.0,605.7,3.0,1.0,889.3,3.0,1.0,242.5
4.0,3.0,116.7,4.0,3.0,174.2,4.0,2.0,121.0,3.0,2.0,633.1,3.0,2.0,772.8,3.0,2.0,117.2
4.0,5.0,216.3,4.0,5.0,577.6,4.0,5.0,249.0,3.0,5.0,1600.0,3.0,4.0,1697.0,3.0,4.0,468.8
4.0,6.0,203.0,4.0,6.0,250.1,4.0,6.0,123.6,3.0,6.0,523.6,3.0,6.0,941.6,3.0,5.0,633.1
5.0,2.0,255.8,5.0,1.0,320.1,5.0,1.0,161.4,5.0,1.0,1837.0,4.0,1.0,1965.0,4.0,1.0,1494.0
5.0,3.0,196.9,5.0,3.0,209.8,5.0,2.0,160.3,5.0,2.0,1867.0,4.0,2.0,2606.0,4.0,2.0,1318.0
5.0,4.0,474.8,5.0,4.0,667.0,5.0,4.0,305.3,5.0,3.0,1672.0,4.0,3.0,2546.0,4.0,3.0,868.6
5.0,6.0,291.0,5.0,6.0,268.7,5.0,6.0,164.7,5.0,6.0,1179.0,4.0,6.0,2334.0,4.0,5.0,2155.0
6.0,2.0,78.7,6.0,1.0,86.0,6.0,1.0,57.5,6.0,1.0,696.0,6.0,1.0,1436.0,5.0,1.0,1578.0
6.0,3.0,65.5,6.0,3.0,47.6,6.0,2.0,38.0,6.0,2.0,687.4,6.0,2.0,1218.0,5.0,2.0,1400.0
6.0,4.0,299.6,6.0,4.0,259.3,6.0,4.0,123.9,6.0,3.0,543.9,6.0,3.0,1245.0,5.0,3.0,1418.0
6.0,5.0,309.5,6.0,5.0,211.8,6.0,5.0,144.7,6.0,5.0,1120.0,6.0,4.0,2001.0,5.0,4.0,2286.0
