1,桂林 寛,桂林 寛.1,2,表 健太,表 健太.1,3,乙津 康志,乙津 康志.1,4,笹木 香吾,笹木 香吾.1,5,大庭 元明,大庭 元明.1,6,榮田 将彦,榮田 将彦.1
2.0,3.0,24.6,1.0,3.0,126.2,1.0,2.0,58.1,1.0,2.0,206.0,1.0,2.0,128.7,1.0,2.0,522.5
2.0,4.0,42.2,1.0,4.0,257.5,1.0,4.0,47.1,1.0,3.0,127.2,1.0,3.0,37.0,1.0,3.0,222.8
2.0,5.0,33.1,1.0,5.0,155.7,1.0,5.0,19.2,1.0,5.0,79.4,1.0,4.0,99.6,1.0,4.0,443.9
2.0,6.0,73.1,1.0,6.0,305.0,1.0,6.0,40.6,1.0,6.0,136.5,1.0,6.0,56.4,1.0,5.0,207.2
3.0,2.0,16.0,3.0,1.0,258.1,2.0,1.0,182.6,2.0,1.0,557.1,2.0,1.0,323.1,2.0,1.0,859.9
3.0,4.0,18.1,3.0,4.0,603.3,2.0,4.0,384.5,2.0,3.0,917.7,2.0,3.0,447.5,2.0,3.0,1200.0
3.0,5.0,6.6,3.0,5.0,379.2,2.0,5.0,227.0,2.0,5.0,554.3,2.0,4.0,704.5,2.0,4.0,1315.0
3.0,6.0,18.0,3.0,6.0,686.8,2.0,6.0,370.2,2.0,6.0,718.4,2.0,6.0,522.5,2.0,5.0,1161.0
4.0,2.0,48.3,4.0,1.0,557.1,4.0,1.0,122.2,3.0,1.0,225.6,3.0,1.0,64.1,3.0,1.0,341.2
4.0,3.0,32.0,4.0,3.0,769.0,4.0,2.0,353.4,3.0,2.0,606.7,3.0,2.0,263.1,3.0,2.0,949.6
4.0,5.0,25.1,4.0,5.0,728.0,4.0,5.0,127.1,3.0,5.0,212.8,3.0,4.0,184.4,3.0,4.0,814.9
4.0,6.0,47.6,4.0,6.0,700.0,4.0,6.0,203.7,3.0,6.0,324.0,3.0,6.0,124.6,3.0,5.0,383.1
5.0,2.0,35.5,5.0,1.0,407.4,5.0,1.0,36.1,5.0,1.0,91.6,4.0,1.0,125.2,4.0,1.0,742.9
5.0,3.0,10.9,5.0,3.0,571.7,5.0,2.0,161.0,5.0,2.0,272.3,4.0,2.0,494.1,4.0,2.0,1882.0
5.0,4.0,36.6,5.0,4.0,902.5,5.0,4.0,108.7,5.0,3.0,184.7,4.0,3.0,243.7,4.0,3.0,1103.0
5.0,6.0,23.1,5.0,6.0,808.9,5.0,6.0,71.1,5.0,6.0,115.2,4.0,6.0,166.9,4.0,5.0,557.1
6.0,2.0,139.1,6.0,1.0,880.7,6.0,1.0,145.6,6.0,1.0,285.8,6.0,1.0,111.3,5.0,1.0,224.7
6.0,3.0,64.2,6.0,3.0,1081.0,6.0,2.0,487.5,6.0,2.0,682.5,6.0,2.0,358.0,5.0,2.0,797.1
6.0,4.0,157.8,6.0,4.0,1269.0,6.0,4.0,387.2,6.0,3.0,470.7,6.0,3.0,172.8,5.0,3.0,348.9
6.0,5.0,70.1,6.0,5.0,1040.0,6.0,5.0,150.0,6.0,5.0,234.3,6.0,4.0,249.3,5.0,4.0,474.8
