1,岡崎 恭裕,岡崎 恭裕.1,2,田中 宏樹,田中 宏樹.1,3,池永 太,池永 太.1,4,安東 幸治,安東 幸治.1,5,小林 文彦,小林 文彦.1,6,篠原 飛翔,篠原 飛翔.1
2.0,3.0,6.8,1.0,3.0,33.7,1.0,2.0,44.4,1.0,2.0,171.9,1.0,2.0,585.8,1.0,2.0,1522.0
2.0,4.0,10.6,1.0,4.0,40.3,1.0,4.0,28.2,1.0,3.0,128.2,1.0,3.0,512.2,1.0,3.0,1248.0
2.0,5.0,33.1,1.0,5.0,100.3,1.0,5.0,54.5,1.0,5.0,216.2,1.0,4.0,703.5,1.0,4.0,1700.0
2.0,6.0,47.9,1.0,6.0,140.6,1.0,6.0,94.2,1.0,6.0,334.1,1.0,6.0,1008.0,1.0,5.0,3025.0
3.0,2.0,7.1,3.0,1.0,75.6,2.0,1.0,91.8,2.0,1.0,294.7,2.0,1.0,1103.0,2.0,1.0,2615.0
3.0,4.0,5.6,3.0,4.0,100.7,2.0,4.0,128.5,2.0,3.0,379.0,2.0,3.0,1436.0,2.0,3.0,3187.0
3.0,5.0,14.6,3.0,5.0,172.9,2.0,5.0,186.6,2.0,5.0,576.8,2.0,4.0,1615.0,2.0,4.0,3013.0
3.0,6.0,28.1,3.0,6.0,295.2,2.0,6.0,303.7,2.0,6.0,658.1,2.0,6.0,1676.0,2.0,5.0,3719.0
4.0,2.0,16.0,4.0,1.0,139.2,4.0,1.0,82.5,3.0,1.0,199.0,3.0,1.0,792.5,3.0,1.0,1909.0
4.0,3.0,13.7,4.0,3.0,189.2,4.0,2.0,168.0,3.0,2.0,397.1,3.0,2.0,1562.0,3.0,2.0,3416.0
4.0,5.0,36.5,4.0,5.0,323.4,4.0,5.0,171.0,3.0,5.0,390.8,3.0,4.0,1454.0,3.0,4.0,2274.0
4.0,6.0,48.6,4.0,6.0,405.5,4.0,6.0,249.1,3.0,6.0,534.1,3.0,6.0,2052.0,3.0,5.0,3132.0
5.0,2.0,78.3,5.0,1.0,451.1,5.0,1.0,265.3,5.0,1.0,471.6,4.0,1.0,1017.0,4.0,1.0,2231.0
5.0,3.0,57.3,5.0,3.0,570.8,5.0,2.0,474.4,5.0,2.0,889.2,4.0,2.0,1831.0,4.0,2.0,3306.0
5.0,4.0,85.9,5.0,4.0,733.9,5.0,4.0,372.5,5.0,3.0,667.3,4.0,3.0,1448.0,4.0,3.0,2514.0
5.0,6.0,141.7,5.0,6.0,901.6,5.0,6.0,560.0,5.0,6.0,783.8,4.0,6.0,1583.0,4.0,5.0,3202.0
6.0,2.0,168.8,6.0,1.0,758.0,6.0,1.0,513.7,6.0,1.0,842.0,6.0,1.0,2259.0,5.0,1.0,4104.0
6.0,3.0,132.5,6.0,3.0,1135.0,6.0,2.0,990.4,6.0,2.0,1365.0,6.0,2.0,2704.0,5.0,2.0,3989.0
6.0,4.0,165.7,6.0,4.0,1115.0,6.0,4.0,726.4,6.0,3.0,1231.0,6.0,3.0,2177.0,5.0,3.0,3923.0
6.0,5.0,232.0,6.0,5.0,1324.0,6.0,5.0,967.6,6.0,5.0,1352.0,6.0,4.0,2596.0,5.0,4.0,3606.0
