1,山本　景士郎,山本　景士郎.1,2,藤丸 光一,藤丸 光一.1,3,伊藤 啓三,伊藤 啓三.1,4,益田 啓司,益田 啓司.1,5,清水 敦揮,清水 敦揮.1,6,香月 大輝,香月 大輝.1
2.0,3.0,31.1,1.0,3.0,144.5,1.0,2.0,111.6,1.0,2.0,68.0,1.0,2.0,98.2,1.0,2.0,3102.0
2.0,4.0,23.8,1.0,4.0,115.4,1.0,4.0,30.7,1.0,3.0,41.8,1.0,3.0,70.6,1.0,3.0,3657.0
2.0,5.0,29.3,1.0,5.0,138.6,1.0,5.0,32.0,1.0,5.0,23.8,1.0,4.0,51.4,1.0,4.0,3011.0
2.0,6.0,347.4,1.0,6.0,916.3,1.0,6.0,605.0,1.0,6.0,297.8,1.0,6.0,531.2,1.0,5.0,3385.0
3.0,2.0,24.1,3.0,1.0,314.1,2.0,1.0,275.2,2.0,1.0,177.6,2.0,1.0,250.6,2.0,1.0,5184.0
3.0,4.0,9.9,3.0,4.0,307.4,2.0,4.0,267.7,2.0,3.0,221.6,2.0,3.0,409.5,2.0,3.0,5534.0
3.0,5.0,9.7,3.0,5.0,381.3,2.0,5.0,243.3,2.0,5.0,129.0,2.0,4.0,257.4,2.0,4.0,6501.0
3.0,6.0,278.0,3.0,6.0,2226.0,2.0,6.0,1905.0,2.0,6.0,982.2,2.0,6.0,1557.0,2.0,5.0,6301.0
4.0,2.0,22.7,4.0,1.0,226.5,4.0,1.0,55.3,3.0,1.0,63.1,3.0,1.0,117.7,3.0,1.0,4876.0
4.0,3.0,12.1,4.0,3.0,371.0,4.0,2.0,145.2,3.0,2.0,144.1,3.0,2.0,303.8,3.0,2.0,6301.0
4.0,5.0,9.0,4.0,5.0,265.2,4.0,5.0,44.6,3.0,5.0,42.0,3.0,4.0,93.1,3.0,4.0,3757.0
4.0,6.0,255.3,4.0,6.0,2250.0,4.0,6.0,713.5,3.0,6.0,694.2,3.0,6.0,1296.0,3.0,5.0,5534.0
5.0,2.0,34.5,5.0,1.0,288.4,5.0,1.0,86.3,5.0,1.0,26.3,4.0,1.0,53.1,4.0,1.0,3592.0
5.0,3.0,22.2,5.0,3.0,493.4,5.0,2.0,193.1,5.0,2.0,61.8,4.0,2.0,114.8,4.0,2.0,5851.0
5.0,4.0,20.1,5.0,4.0,342.4,5.0,4.0,68.6,5.0,3.0,33.7,4.0,3.0,64.0,4.0,3.0,3689.0
5.0,6.0,288.4,5.0,6.0,2497.0,5.0,6.0,918.3,5.0,6.0,169.7,4.0,6.0,322.5,4.0,5.0,2694.0
6.0,2.0,867.7,6.0,1.0,3250.0,6.0,1.0,2100.0,6.0,1.0,950.3,6.0,1.0,1407.0,5.0,1.0,4222.0
6.0,3.0,844.5,6.0,3.0,4266.0,6.0,2.0,3413.0,6.0,2.0,1252.0,6.0,2.0,2482.0,5.0,2.0,5534.0
6.0,4.0,886.5,6.0,4.0,4550.0,6.0,4.0,2167.0,6.0,3.0,1427.0,6.0,3.0,1836.0,5.0,3.0,4876.0
6.0,5.0,772.8,6.0,5.0,4654.0,6.0,5.0,2027.0,6.0,5.0,706.1,6.0,4.0,1264.0,5.0,4.0,2844.0
