1,松尾 昂明,松尾 昂明.1,2,川上 清人,川上 清人.1,3,三好 勇人,三好 勇人.1,4,宮野 仁,宮野 仁.1,5,岡瀬 正人,岡瀬 正人.1,6,嘉手苅　徹哉,嘉手苅　徹哉.1
2.0,3.0,16.3,1.0,3.0,155.8,1.0,2.0,78.0,1.0,2.0,179.5,1.0,2.0,121.6,1.0,2.0,2470.0
2.0,4.0,28.6,1.0,4.0,274.8,1.0,4.0,34.8,1.0,3.0,108.0,1.0,3.0,48.5,1.0,3.0,1992.0
2.0,5.0,22.5,1.0,5.0,215.6,1.0,5.0,19.1,1.0,5.0,77.3,1.0,4.0,86.3,1.0,4.0,2179.0
2.0,6.0,256.6,1.0,6.0,842.1,1.0,6.0,234.5,1.0,6.0,451.8,1.0,6.0,237.2,1.0,5.0,1597.0
3.0,2.0,11.2,3.0,1.0,289.0,2.0,1.0,222.6,2.0,1.0,442.1,2.0,1.0,367.6,2.0,1.0,4411.0
3.0,4.0,7.9,3.0,4.0,582.6,2.0,4.0,332.6,2.0,3.0,738.1,2.0,3.0,502.0,2.0,3.0,5007.0
3.0,5.0,5.1,3.0,5.0,511.8,2.0,5.0,246.0,2.0,5.0,513.2,2.0,4.0,664.0,2.0,4.0,2646.0
3.0,6.0,99.9,3.0,6.0,1654.0,2.0,6.0,873.9,2.0,6.0,1295.0,2.0,6.0,1235.0,2.0,5.0,4027.0
4.0,2.0,28.5,4.0,1.0,659.3,4.0,1.0,94.5,3.0,1.0,169.8,3.0,1.0,74.7,3.0,1.0,2894.0
4.0,3.0,13.5,4.0,3.0,945.2,4.0,2.0,289.4,3.0,2.0,467.8,3.0,2.0,253.4,3.0,2.0,4308.0
4.0,5.0,15.9,4.0,5.0,788.3,4.0,5.0,98.9,3.0,5.0,216.4,3.0,4.0,211.4,3.0,4.0,4875.0
4.0,6.0,201.6,4.0,6.0,1699.0,4.0,6.0,544.9,3.0,6.0,1129.0,3.0,6.0,563.1,3.0,5.0,3308.0
5.0,2.0,24.8,5.0,1.0,516.0,5.0,1.0,41.3,5.0,1.0,109.1,4.0,1.0,167.2,4.0,1.0,2287.0
5.0,3.0,10.4,5.0,3.0,630.1,5.0,2.0,144.8,5.0,2.0,299.3,4.0,2.0,518.9,4.0,2.0,2129.0
5.0,4.0,20.0,5.0,4.0,819.7,5.0,4.0,84.0,5.0,3.0,206.0,4.0,3.0,325.6,4.0,3.0,4027.0
5.0,6.0,115.2,5.0,6.0,2894.0,5.0,6.0,329.6,5.0,6.0,455.2,4.0,6.0,671.2,4.0,5.0,1506.0
6.0,2.0,681.1,6.0,1.0,3562.0,6.0,1.0,1083.0,6.0,1.0,1102.0,6.0,1.0,775.2,5.0,1.0,1715.0
6.0,3.0,439.0,6.0,3.0,4210.0,6.0,2.0,1764.0,6.0,2.0,1494.0,6.0,2.0,1871.0,5.0,2.0,4117.0
6.0,4.0,514.6,6.0,4.0,2013.0,6.0,4.0,1611.0,6.0,3.0,2287.0,6.0,3.0,1393.0,5.0,3.0,2765.0
6.0,5.0,463.1,6.0,5.0,3495.0,6.0,5.0,1556.0,6.0,5.0,895.0,6.0,4.0,935.7,5.0,4.0,1195.0
