1,古賀 智之,古賀 智之.1,2,乙藤 智史,乙藤 智史.1,3,米丸 乃絵,米丸 乃絵.1,4,大場 広孝,大場 広孝.1,5,西山 貴浩,西山 貴浩.1,6,水摩 敦,水摩 敦.1
2.0,3.0,31.3,1.0,3.0,47.2,1.0,2.0,111.8,1.0,2.0,166.2,1.0,2.0,35.7,1.0,2.0,809.5
2.0,4.0,35.6,1.0,4.0,50.7,1.0,4.0,120.3,1.0,3.0,219.8,1.0,3.0,52.0,1.0,3.0,1365.0
2.0,5.0,16.6,1.0,5.0,27.5,1.0,5.0,53.7,1.0,5.0,121.1,1.0,4.0,67.8,1.0,4.0,1235.0
2.0,6.0,117.0,1.0,6.0,138.9,1.0,6.0,283.0,1.0,6.0,388.2,1.0,6.0,91.8,1.0,5.0,515.7
3.0,2.0,33.5,3.0,1.0,82.1,2.0,1.0,134.7,2.0,1.0,175.0,2.0,1.0,48.0,2.0,1.0,908.1
3.0,4.0,41.9,3.0,4.0,76.2,2.0,4.0,129.7,2.0,3.0,205.9,2.0,3.0,58.3,2.0,3.0,1200.0
3.0,5.0,20.6,3.0,5.0,34.3,2.0,5.0,58.2,2.0,5.0,83.0,2.0,4.0,59.8,2.0,4.0,916.0
3.0,6.0,140.5,3.0,6.0,180.3,2.0,6.0,270.2,2.0,6.0,225.0,2.0,6.0,65.0,2.0,5.0,372.3
4.0,2.0,55.8,4.0,1.0,89.4,4.0,1.0,193.9,3.0,1.0,309.4,3.0,1.0,90.4,3.0,1.0,1570.0
4.0,3.0,69.8,4.0,3.0,86.1,4.0,2.0,189.5,3.0,2.0,298.3,3.0,2.0,79.1,3.0,2.0,1207.0
4.0,5.0,38.2,4.0,5.0,36.4,4.0,5.0,97.3,3.0,5.0,182.2,3.0,4.0,125.2,3.0,4.0,1670.0
4.0,6.0,190.4,4.0,6.0,130.5,4.0,6.0,393.3,3.0,6.0,656.8,3.0,6.0,156.5,3.0,5.0,765.0
5.0,2.0,17.2,5.0,1.0,31.9,5.0,1.0,59.2,5.0,1.0,94.5,4.0,1.0,109.2,4.0,1.0,1864.0
5.0,3.0,21.0,5.0,3.0,29.0,5.0,2.0,56.9,5.0,2.0,78.0,4.0,2.0,81.7,4.0,2.0,1129.0
5.0,4.0,34.8,5.0,4.0,33.2,5.0,4.0,82.2,5.0,3.0,124.5,4.0,3.0,135.5,4.0,3.0,1881.0
5.0,6.0,62.2,5.0,6.0,52.7,5.0,6.0,130.4,5.0,6.0,114.8,4.0,6.0,120.2,4.0,5.0,705.6
6.0,2.0,363.2,6.0,1.0,445.3,6.0,1.0,806.4,6.0,1.0,735.4,6.0,1.0,145.4,5.0,1.0,514.4
6.0,3.0,472.5,6.0,3.0,493.7,6.0,2.0,616.1,6.0,2.0,559.9,6.0,2.0,106.6,5.0,2.0,345.2
6.0,4.0,551.1,6.0,4.0,341.2,6.0,4.0,759.5,6.0,3.0,971.4,6.0,3.0,206.1,5.0,3.0,631.0
6.0,5.0,198.9,6.0,5.0,148.3,6.0,5.0,353.4,6.0,5.0,364.5,6.0,4.0,180.9,5.0,4.0,539.7
