1,吉田 彩乃,吉田 彩乃.1,2,村本 大成,村本 大成.1,3,長尾　京志郎,長尾　京志郎.1,4,石川 哲秀,石川 哲秀.1,5,宮本 夏樹,宮本 夏樹.1,6,久保田　凪紗,久保田　凪紗.1
2.0,3.0,19.7,1.0,3.0,63.4,1.0,2.0,70.4,1.0,2.0,58.4,1.0,2.0,71.9,1.0,2.0,2006.0
2.0,4.0,28.7,1.0,4.0,65.6,1.0,4.0,37.6,1.0,3.0,37.3,1.0,3.0,52.4,1.0,3.0,2961.0
2.0,5.0,32.6,1.0,5.0,63.9,1.0,5.0,35.0,1.0,5.0,25.3,1.0,4.0,45.4,1.0,4.0,2827.0
2.0,6.0,405.1,1.0,6.0,547.9,1.0,6.0,668.7,1.0,6.0,253.8,1.0,6.0,301.1,1.0,5.0,2961.0
3.0,2.0,24.3,3.0,1.0,107.5,2.0,1.0,111.7,2.0,1.0,103.4,2.0,1.0,123.0,2.0,1.0,2487.0
3.0,4.0,12.9,3.0,4.0,134.0,2.0,4.0,123.7,2.0,3.0,108.5,2.0,3.0,145.3,2.0,3.0,4012.0
3.0,5.0,14.9,3.0,5.0,130.6,2.0,5.0,115.9,2.0,5.0,83.3,2.0,4.0,130.9,2.0,4.0,3189.0
3.0,6.0,430.4,3.0,6.0,1003.0,2.0,6.0,995.1,2.0,6.0,727.4,2.0,6.0,753.8,2.0,5.0,3109.0
4.0,2.0,28.1,4.0,1.0,116.5,4.0,1.0,57.2,3.0,1.0,58.8,3.0,1.0,70.3,3.0,1.0,3887.0
4.0,3.0,17.4,4.0,3.0,142.8,4.0,2.0,99.6,3.0,2.0,89.8,3.0,2.0,132.6,3.0,2.0,4012.0
4.0,5.0,21.2,4.0,5.0,118.5,4.0,5.0,47.8,3.0,5.0,50.8,3.0,4.0,75.8,3.0,4.0,3887.0
4.0,6.0,427.4,4.0,6.0,882.2,4.0,6.0,727.4,3.0,6.0,683.4,3.0,6.0,651.2,3.0,5.0,3769.0
5.0,2.0,43.3,5.0,1.0,147.0,5.0,1.0,55.6,5.0,1.0,23.0,4.0,1.0,40.5,4.0,1.0,3455.0
5.0,3.0,26.5,5.0,3.0,181.0,5.0,2.0,104.9,5.0,2.0,42.2,4.0,2.0,57.4,4.0,2.0,2591.0
5.0,4.0,32.9,5.0,4.0,191.3,5.0,4.0,54.2,5.0,3.0,32.5,4.0,3.0,54.3,4.0,3.0,4012.0
5.0,6.0,426.0,5.0,6.0,942.3,5.0,6.0,637.9,5.0,6.0,168.0,4.0,6.0,219.0,4.0,5.0,2303.0
6.0,2.0,1045.0,6.0,1.0,1141.0,6.0,1.0,1636.0,6.0,1.0,723.2,6.0,1.0,763.1,5.0,1.0,3658.0
6.0,3.0,942.3,6.0,3.0,1974.0,6.0,2.0,2347.0,6.0,2.0,1446.0,6.0,2.0,1269.0,5.0,2.0,2108.0
6.0,4.0,1054.0,6.0,4.0,2108.0,6.0,4.0,2303.0,6.0,3.0,1243.0,6.0,3.0,1196.0,5.0,3.0,3455.0
6.0,5.0,1256.0,6.0,5.0,1943.0,6.0,5.0,1802.0,6.0,5.0,615.8,6.0,4.0,818.3,5.0,4.0,2439.0
