1,戸敷 晃美,戸敷 晃美.1,2,益田 啓司,益田 啓司.1,3,花本 夏樹,花本 夏樹.1,4,三嶌　こころ,三嶌　こころ.1,5,谷村 啓司,谷村 啓司.1,6,松尾 祭,松尾 祭.1
2.0,3.0,4.4,1.0,3.0,8.4,1.0,2.0,77.4,1.0,2.0,558.7,1.0,2.0,324.0,1.0,2.0,77.0
2.0,4.0,28.1,1.0,4.0,42.6,1.0,4.0,408.4,1.0,3.0,729.1,1.0,3.0,544.1,1.0,3.0,174.6
2.0,5.0,18.6,1.0,5.0,28.9,1.0,5.0,278.3,1.0,5.0,1113.0,1.0,4.0,1080.0,1.0,4.0,583.3
2.0,6.0,8.6,1.0,6.0,10.7,1.0,6.0,164.9,1.0,6.0,763.5,1.0,6.0,390.9,1.0,5.0,353.9
3.0,2.0,15.3,3.0,1.0,26.2,2.0,1.0,80.8,2.0,1.0,605.1,2.0,1.0,377.7,2.0,1.0,76.6
3.0,4.0,77.9,3.0,4.0,148.0,2.0,4.0,287.6,2.0,3.0,725.5,2.0,3.0,678.2,2.0,3.0,110.4
3.0,5.0,61.2,3.0,5.0,83.4,2.0,5.0,229.2,2.0,5.0,1290.0,2.0,4.0,1822.0,2.0,4.0,350.5
3.0,6.0,36.9,3.0,6.0,31.4,2.0,6.0,106.6,2.0,6.0,595.2,2.0,6.0,411.9,2.0,5.0,254.0
4.0,2.0,117.7,4.0,1.0,176.7,4.0,1.0,788.2,3.0,1.0,1166.0,3.0,1.0,1205.0,3.0,1.0,260.8
4.0,3.0,203.3,4.0,3.0,278.8,4.0,2.0,526.4,3.0,2.0,1235.0,3.0,2.0,946.9,3.0,2.0,182.5
4.0,5.0,253.6,4.0,5.0,426.4,4.0,5.0,1473.0,3.0,5.0,2651.0,3.0,4.0,2751.0,3.0,4.0,775.6
4.0,6.0,176.5,4.0,6.0,191.1,4.0,6.0,1019.0,3.0,6.0,1997.0,3.0,6.0,1113.0,3.0,5.0,518.9
5.0,2.0,77.4,5.0,1.0,110.6,5.0,1.0,623.2,5.0,1.0,1756.0,4.0,1.0,2651.0,4.0,1.0,1246.0
5.0,3.0,123.1,5.0,3.0,156.3,5.0,2.0,460.0,5.0,2.0,1602.0,4.0,2.0,2651.0,4.0,2.0,868.0
5.0,4.0,263.7,5.0,4.0,436.6,5.0,4.0,1157.0,5.0,3.0,1997.0,4.0,3.0,3941.0,4.0,3.0,1997.0
5.0,6.0,144.6,5.0,6.0,127.1,5.0,6.0,615.3,5.0,6.0,1473.0,4.0,6.0,2514.0,4.0,5.0,2113.0
6.0,2.0,33.7,6.0,1.0,29.1,6.0,1.0,283.7,6.0,1.0,1012.0,6.0,1.0,571.8,5.0,1.0,612.7
6.0,3.0,71.4,6.0,3.0,44.5,6.0,2.0,161.4,6.0,2.0,852.8,6.0,2.0,511.6,5.0,2.0,426.4
6.0,4.0,203.6,6.0,4.0,118.6,6.0,4.0,1121.0,6.0,3.0,1551.0,6.0,3.0,823.9,5.0,3.0,578.6
6.0,5.0,129.8,6.0,5.0,87.5,6.0,5.0,588.0,6.0,5.0,1869.0,6.0,4.0,1800.0,5.0,4.0,1130.0
