1,寺嶋 雄,寺嶋 雄.1,2,土井 歩夢,土井 歩夢.1,3,嶋田 貴支,嶋田 貴支.1,4,宮崎 奨,宮崎 奨.1,5,川村 正輝,川村 正輝.1,6,宮野 仁,宮野 仁.1
2.0,3.0,19.0,1.0,3.0,48.4,1.0,2.0,103.4,1.0,2.0,35.3,1.0,2.0,281.7,1.0,2.0,766.0
2.0,4.0,13.0,1.0,4.0,30.3,1.0,4.0,54.7,1.0,3.0,39.1,1.0,3.0,267.6,1.0,3.0,1332.0
2.0,5.0,31.0,1.0,5.0,65.1,1.0,5.0,120.2,1.0,5.0,37.7,1.0,4.0,189.7,1.0,4.0,851.1
2.0,6.0,104.9,1.0,6.0,202.9,1.0,6.0,252.1,1.0,6.0,82.7,1.0,6.0,478.7,1.0,5.0,1591.0
3.0,2.0,19.8,3.0,1.0,85.3,2.0,1.0,161.4,2.0,1.0,59.2,2.0,1.0,389.0,2.0,1.0,875.4
3.0,4.0,10.9,3.0,4.0,53.7,2.0,4.0,94.0,2.0,3.0,84.7,2.0,3.0,666.1,2.0,3.0,2150.0
3.0,5.0,26.6,3.0,5.0,111.8,2.0,5.0,154.5,2.0,5.0,68.3,2.0,4.0,294.6,2.0,4.0,1225.0
3.0,6.0,97.5,3.0,6.0,251.1,2.0,6.0,340.4,2.0,6.0,147.4,2.0,6.0,901.2,2.0,5.0,1392.0
4.0,2.0,11.6,4.0,1.0,40.1,4.0,1.0,85.3,3.0,1.0,80.3,3.0,1.0,603.7,3.0,1.0,1776.0
4.0,3.0,12.5,4.0,3.0,49.1,4.0,2.0,119.9,3.0,2.0,117.2,3.0,2.0,742.8,3.0,2.0,2312.0
4.0,5.0,17.8,4.0,5.0,52.8,4.0,5.0,118.9,3.0,5.0,99.8,3.0,4.0,383.0,3.0,4.0,1392.0
4.0,6.0,50.1,4.0,6.0,155.9,4.0,6.0,216.5,3.0,6.0,176.1,3.0,6.0,1004.0,3.0,5.0,2150.0
5.0,2.0,49.0,5.0,1.0,208.0,5.0,1.0,284.3,5.0,1.0,53.9,4.0,1.0,220.8,4.0,1.0,1012.0
5.0,3.0,48.9,5.0,3.0,283.0,5.0,2.0,366.9,5.0,2.0,76.1,4.0,2.0,264.7,4.0,2.0,1377.0
5.0,4.0,38.0,5.0,4.0,127.0,5.0,4.0,220.8,5.0,3.0,92.4,4.0,3.0,314.2,4.0,3.0,1361.0
5.0,6.0,170.2,5.0,6.0,411.2,5.0,6.0,467.8,5.0,6.0,76.8,4.0,6.0,286.3,4.0,5.0,1056.0
6.0,2.0,345.2,6.0,1.0,666.1,6.0,1.0,609.7,6.0,1.0,198.0,6.0,1.0,1004.0,5.0,1.0,1885.0
6.0,3.0,324.2,6.0,3.0,901.2,6.0,2.0,1225.0,6.0,2.0,298.2,6.0,2.0,1551.0,5.0,2.0,1945.0
6.0,4.0,267.6,6.0,4.0,506.4,6.0,4.0,680.9,6.0,3.0,269.9,6.0,3.0,1459.0,5.0,3.0,2501.0
6.0,5.0,371.4,6.0,5.0,594.9,6.0,5.0,1124.0,6.0,5.0,162.9,6.0,4.0,863.1,5.0,4.0,1134.0
